cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.0067605633802816905,0.0028689831048772712,0.006644518272425249,0.002785515320334262,0.032397408207343416,0.011729323308270676,0.009070294784580499,0.0,0.024193548387096774,0.007488986784140969,0.011904761904761904,0.024709302325581394,0.0070063694267515925,0.0,0.013186813186813187,0.0,0.0,0.006977992485238862,0.01910828025477707,0.0,0.005026273703449852,0.01284796573875803,0.018979833926453145,0.012135922330097087,0.002680965147453083,0.0,0.020958083832335328,0.04187604690117253,0.005178365937859608,0.011420740063956145,0.011553273427471117,0.010273972602739725,0.007532956685499058
-11,0.005002779321845469,0.0023988005997001498,0.003389830508474576,0.0018066847335140017,0.0192090395480226,0.013011152416356878,0.00931098696461825,0.0,0.033766233766233764,0.006313131313131313,0.007990867579908675,0.027142857142857142,0.008849557522123894,0.0,0.017167381974248927,0.00684931506849315,0.0,0.008533333333333334,0.018633540372670808,0.0,0.005874222529371113,0.00851063829787234,0.015294117647058824,0.0024875621890547263,0.002578427159432746,0.0,0.023391812865497075,0.0483619344773791,0.010968921389396709,0.011019283746556474,0.013404825737265416,0.0,0.003780718336483932
-10,0.0034522439585730723,0.0003026634382566586,0.0031545741324921135,0.001702127659574468,0.03259604190919674,0.015463917525773196,0.01253812267028126,0.019417475728155338,0.02564102564102564,0.006351726875744343,0.0036452004860267314,0.04327666151468315,0.011065006915629323,0.01904761904761905,0.006036217303822937,0.0,0.0,0.006964907581034021,0.013513513513513514,0.0,0.0068672334859385216,0.0069605568445475635,0.0057405281285878304,0.01809954751131222,0.0036231884057971015,0.0,0.02263374485596708,0.04659498207885305,0.006218905472636816,0.009555661729574774,0.009150326797385621,0.004975124378109453,0.0018832391713747645
-9,0.006094182825484765,0.0030854674483184203,0.010067114093959731,0.0018018018018018018,0.020214030915576695,0.014990630855715179,0.012463102656608724,0.03636363636363636,0.018867924528301886,0.0036202735317779565,0.012485811577752554,0.03350083752093802,0.008904109589041096,0.0,0.006756756756756757,0.0,0.0,0.0056134723336006415,0.014388489208633094,0.0,0.008457374830852503,0.010660980810234541,0.006418485237483954,0.01348314606741573,0.004484304932735426,0.0,0.01608325449385052,0.03727714748784441,0.00785498489425982,0.00930460333006856,0.012517385257301807,0.004866180048661801,0.005681818181818182
-8,0.0037764350453172208,0.002103491796381994,0.0038910505836575876,0.0023612750885478157,0.015558698727015558,0.015086206896551725,0.007532122286220647,0.030927835051546393,0.02280130293159609,0.007684426229508197,0.006954102920723227,0.01948051948051948,0.01327433628318584,0.0,0.0169971671388102,0.00408997955010225,0.0,0.005792903692976104,0.007352941176470588,0.0,0.004966139954853273,0.01098901098901099,0.009216589861751152,0.01059001512859304,0.003443526170798898,0.0,0.0206794682422452,0.05417607223476298,0.008445945945945946,0.0064808813998703824,0.010526315789473684,0.0,0.0024449877750611247
-7,0.004704301075268817,0.0022530980097634247,0.003134796238244514,0.0027347310847766638,0.018335684062059238,0.013255360623781676,0.009584664536741214,0.0,0.021148036253776436,0.006903353057199211,0.010899182561307902,0.027237354085603113,0.0060882800608828,0.0,0.019002375296912115,0.0,0.0,0.006176853055916775,0.00684931506849315,0.0,0.007203389830508475,0.019801980198019802,0.005681818181818182,0.008670520231213872,0.0036923076923076922,0.0,0.011780104712041885,0.05514705882352941,0.0058997050147492625,0.008318739054290718,0.010447761194029851,0.0031545741324921135,0.0
-6,0.004343105320304018,0.002901915264074289,0.0030211480362537764,0.002257336343115124,0.023185483870967742,0.017459361830222758,0.007964601769911504,0.041666666666666664,0.027600849256900213,0.008490930142802007,0.009018036072144289,0.015492957746478873,0.00844475721323012,0.0,0.01195219123505976,0.0,0.0,0.0056022408963585435,0.014705882352941176,0.0,0.007184399589462881,0.01773049645390071,0.007151370679380214,0.011530398322851153,0.006693440428380187,0.0,0.013500482160077145,0.06002728512960437,0.004939626783754116,0.0110803324099723,0.009345794392523364,0.0,0.007366482504604052
-5,0.006125574272588055,0.002012072434607646,0.006024096385542169,0.00400962309542903,0.017857142857142856,0.011131725417439703,0.010471204188481676,0.03225806451612903,0.01809954751131222,0.007202426080363912,0.009574468085106383,0.009887005649717515,0.013439218081857055,0.0,0.00984251968503937,0.00392156862745098,0.0,0.0044994375703037125,0.010526315789473684,0.0,0.008939580764488286,0.00847457627118644,0.008168028004667444,0.0066518847006651885,0.003826530612244898,0.0,0.03666361136571952,0.04395604395604396,0.006532066508313539,0.013875598086124402,0.010958904109589041,0.0045662100456621,0.003952569169960474
-4,0.0036477331943720686,0.0021257212268448226,0.0,0.0032653061224489797,0.023121387283236993,0.01486447099970854,0.008047044258743422,0.03305785123966942,0.03307888040712468,0.006220839813374806,0.009019165727170236,0.015130674002751032,0.008438818565400843,0.01694915254237288,0.015317286652078774,0.0,0.0,0.008,0.01098901098901099,0.0,0.006688963210702341,0.008264462809917356,0.009966777408637873,0.009768009768009768,0.004366812227074236,0.0,0.020618556701030927,0.06231884057971015,0.004886988393402566,0.013874066168623266,0.007032348804500703,0.0,0.0
-3,0.007990867579908675,0.0015989766549408379,0.0,0.005804311774461028,0.013071895424836602,0.010210696920583469,0.009631351710395218,0.011764705882352941,0.031073446327683617,0.00590717299578059,0.0037926675094816687,0.011688311688311689,0.004379562043795621,0.0,0.014,0.009554140127388535,0.0,0.009836065573770493,0.006535947712418301,0.0,0.006091370558375634,0.012867647058823529,0.008951406649616368,0.009389671361502348,0.004966139954853273,0.0,0.014198782961460446,0.054773082942097026,0.00522875816993464,0.009453781512605041,0.009776536312849162,0.006666666666666667,0.003552397868561279
