cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.0011267605633802818,0.000956327701625757,0.009966777408637873,0.004642525533890436,0.009719222462203024,0.00481203007518797,0.0051830255911888565,0.008695652173913044,0.01881720430107527,0.011894273127753305,0.002380952380952381,0.0029069767441860465,0.0025477707006369425,0.02857142857142857,0.01098901098901099,0.0102880658436214,0.02857142857142857,0.01261406333870102,0.0,0.0,0.010966415352981495,0.021413276231263382,0.00830367734282325,0.0048543689320388345,0.00938337801608579,0.0,0.005988023952095809,0.02680067001675042,0.01093210586881473,0.009136592051164915,0.008985879332477536,0.003424657534246575,0.02448210922787194
-11,0.0016675931072818232,0.0011994002998500749,0.006779661016949152,0.008130081300813009,0.012429378531073447,0.0027881040892193307,0.004965859714463066,0.0,0.01818181818181818,0.007996632996632997,0.003424657534246575,0.002857142857142857,0.0037926675094816687,0.01098901098901099,0.01072961373390558,0.0091324200913242,0.0,0.012,0.0,0.0,0.010711817553559088,0.019148936170212766,0.007058823529411765,0.007462686567164179,0.009454232917920068,0.0,0.004873294346978557,0.0421216848673947,0.007921998781230956,0.005968778696051423,0.01742627345844504,0.0,0.00945179584120983
-10,0.0011507479861910242,0.0003026634382566586,0.022082018927444796,0.011063829787234043,0.015133876600698487,0.003865979381443299,0.0023720772619451034,0.0,0.010256410256410256,0.012703453751488685,0.001215066828675577,0.0015455950540958269,0.0013831258644536654,0.009523809523809525,0.006036217303822937,0.001694915254237288,0.0,0.012322528797214037,0.0,0.0,0.013080444735120994,0.002320185614849188,0.01951779563719862,0.007918552036199095,0.010869565217391304,0.0,0.009259259259259259,0.035842293906810034,0.010572139303482588,0.0033444816053511705,0.01045751633986928,0.0024875621890547263,0.022598870056497175
-9,0.0,0.0009256402344955261,0.013422818791946308,0.005405405405405406,0.008323424494649227,0.004059962523422861,0.003935716628402755,0.00909090909090909,0.016172506738544475,0.01246983105390185,0.0022701475595913734,0.008375209380234505,0.002054794520547945,0.008771929824561403,0.013513513513513514,0.0034965034965034965,0.0,0.009890403635391606,0.0,0.0,0.011840324763193504,0.021321961620469083,0.007702182284980745,0.011235955056179775,0.015445939212755356,0.0,0.001892147587511826,0.029173419773095625,0.013293051359516616,0.004407443682664055,0.015299026425591099,0.0024330900243309003,0.011363636363636364
-8,0.0015105740181268882,0.0012620950778291964,0.0038910505836575876,0.0059031877213695395,0.009900990099009901,0.004310344827586207,0.003987594151528578,0.010309278350515464,0.006514657980456026,0.010758196721311475,0.0027816411682892906,0.0021645021645021645,0.002654867256637168,0.012195121951219513,0.0113314447592068,0.0081799591002045,0.0,0.007965242577842143,0.0,0.0,0.010835214446952596,0.016483516483516484,0.007680491551459293,0.006051437216338881,0.01584022038567493,0.0,0.004431314623338257,0.01580135440180587,0.013513513513513514,0.005832793259883344,0.008771929824561403,0.012295081967213115,0.02444987775061125
-7,0.0006720430107526882,0.0022530980097634247,0.009404388714733543,0.0009115770282588879,0.009873060648801129,0.0023391812865497076,0.006389776357827476,0.0,0.01812688821752266,0.008875739644970414,0.0,0.0038910505836575876,0.0015220700152207,0.0,0.007125890736342043,0.0069767441860465115,0.0,0.010078023407022107,0.0,0.0,0.009745762711864408,0.017326732673267328,0.011363636363636364,0.011560693641618497,0.008,0.0,0.003926701570680628,0.027573529411764705,0.011799410029498525,0.0043782837127845885,0.004477611940298508,0.00946372239747634,0.012531328320802004
-6,0.0016286644951140066,0.0002901915264074289,0.01812688821752266,0.006772009029345372,0.014112903225806451,0.0039133052378085495,0.006489675516224189,0.016666666666666666,0.014861995753715499,0.008490930142802007,0.004008016032064128,0.004225352112676056,0.0007037297677691766,0.0,0.00796812749003984,0.0109717868338558,0.03225806451612903,0.008403361344537815,0.0,0.0,0.009237085186452275,0.02127659574468085,0.011918951132300357,0.006289308176100629,0.012048192771084338,0.0,0.003857280617164899,0.023192360163710776,0.011525795828759604,0.007848568790397045,0.021361815754339118,0.011494252873563218,0.009208103130755065
-5,0.0010209290454313426,0.0005748778384593274,0.006024096385542169,0.0048115477145148355,0.009453781512605041,0.0055658627087198514,0.006108202443280977,0.008064516129032258,0.020361990950226245,0.012509476876421531,0.006382978723404255,0.00423728813559322,0.0018326206475259622,0.0,0.011811023622047244,0.00196078431372549,0.0,0.0064679415073115865,0.0,0.0,0.014796547472256474,0.029661016949152543,0.010501750291715286,0.0066518847006651885,0.01445578231292517,0.03333333333333333,0.006416131989000917,0.02040816326530612,0.013657957244655582,0.0033492822966507177,0.009589041095890411,0.0045662100456621,0.01383399209486166
-4,0.001563314226159458,0.0003036744609778318,0.010344827586206896,0.004897959183673469,0.013872832369942197,0.0061206645292917515,0.0034045187248529867,0.008264462809917356,0.010178117048346057,0.013996889580093312,0.0033821871476888386,0.0041265474552957355,0.0035161744022503515,0.0,0.01312910284463895,0.005479452054794521,0.0,0.005714285714285714,0.0,0.0,0.014046822742474917,0.008264462809917356,0.008859357696566999,0.01221001221001221,0.013100436681222707,0.0,0.0028116213683223993,0.013043478260869565,0.016493585827733658,0.0048025613660619,0.014064697609001406,0.005025125628140704,0.03007518796992481
-3,0.0028538812785388126,0.0003197953309881676,0.014336917562724014,0.0024875621890547263,0.016339869281045753,0.0043760129659643435,0.0033211557622052474,0.011764705882352941,0.014124293785310734,0.015189873417721518,0.0037926675094816687,0.005194805194805195,0.00145985401459854,0.0,0.016,0.0031847133757961785,0.038461538461538464,0.006557377049180328,0.0,0.0,0.008798646362098138,0.007352941176470588,0.011508951406649617,0.009389671361502348,0.006772009029345372,0.0,0.0030425963488843813,0.026604068857589983,0.013725490196078431,0.0063025210084033615,0.0111731843575419,0.0044444444444444444,0.02486678507992895
