cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.06084507042253521,0.02327064073956009,0.07641196013289037,0.10863509749303621,0.07451403887688984,0.05834586466165414,0.04729510851959832,0.05217391304347826,0.08333333333333333,0.08105726872246696,0.06904761904761905,0.036337209302325583,0.08853503184713375,0.07142857142857142,0.1010989010989011,0.06790123456790123,0.0,0.09339774557165861,0.08280254777070063,0.0,0.11971670093671465,0.15203426124197003,0.07473309608540925,0.08616504854368932,0.11572832886505809,0.0,0.05189620758483034,0.09212730318257957,0.06904487917146145,0.04431247144814984,0.044929396662387676,0.11643835616438356,0.030131826741996232
-11,0.048916064480266815,0.022488755622188907,0.1152542372881356,0.0975609756097561,0.08926553672316384,0.06598513011152417,0.035381750465549346,0.13953488372093023,0.05194805194805195,0.08375420875420875,0.06621004566210045,0.027142857142857142,0.08154235145385588,0.12087912087912088,0.0815450643776824,0.0684931506849315,0.0,0.08773333333333333,0.055900621118012424,0.0,0.14409122322045612,0.11063829787234042,0.07058823529411765,0.07960199004975124,0.10098839707778255,0.02631578947368421,0.05458089668615984,0.10140405616224649,0.061547836684948204,0.05509641873278237,0.04155495978552279,0.09970674486803519,0.03780718336483932
-10,0.06444188722669736,0.02148910411622276,0.11356466876971609,0.10042553191489362,0.07450523864959255,0.06894329896907217,0.03524229074889868,0.038834951456310676,0.04358974358974359,0.08177848352520842,0.07776427703523693,0.02936630602782071,0.08782849239280774,0.09523809523809523,0.08048289738430583,0.05423728813559322,0.0,0.08063219930350925,0.07432432432432433,0.0,0.1301504251144539,0.1136890951276102,0.0711825487944891,0.08484162895927602,0.12001811594202899,0.0,0.06275720164609054,0.1039426523297491,0.05970149253731343,0.041567128523650264,0.0392156862745098,0.1318407960199005,0.04331450094161959
-9,0.04542936288088643,0.023449552607219995,0.09060402684563758,0.1018018018018018,0.07372175980975029,0.06870705808869457,0.04493276484093145,0.01818181818181818,0.05121293800539083,0.09654062751407884,0.05221339387060159,0.048576214405360134,0.07945205479452055,0.09649122807017543,0.09234234234234234,0.06118881118881119,0.0,0.07751937984496124,0.1079136690647482,0.0,0.13024357239512854,0.11513859275053305,0.07830551989730423,0.07752808988764046,0.12057797708021924,0.0,0.0586565752128666,0.0940032414910859,0.06767371601208459,0.05778648383937316,0.030598052851182198,0.13138686131386862,0.045454545454545456
-8,0.04833836858006042,0.02818679007151872,0.09727626459143969,0.11097992916174734,0.07920792079207921,0.06724137931034482,0.04164820558263181,0.010309278350515464,0.0749185667752443,0.09375,0.05702364394993046,0.04112554112554113,0.0831858407079646,0.08536585365853659,0.09348441926345609,0.05725971370143149,0.06666666666666667,0.09051412020275162,0.10294117647058823,0.0,0.1182844243792325,0.09065934065934066,0.08755760368663594,0.09531013615733737,0.11294765840220386,0.0,0.07090103397341212,0.10609480812641084,0.06503378378378379,0.04212572909915749,0.054385964912280704,0.13524590163934427,0.02689486552567237
-7,0.05913978494623656,0.024408561772437103,0.10031347962382445,0.11668185961713765,0.076163610719323,0.0709551656920078,0.042953496627618035,0.06086956521739131,0.09667673716012085,0.08086785009861933,0.06267029972752043,0.0311284046692607,0.11643835616438356,0.2054794520547945,0.08788598574821853,0.06744186046511629,0.0,0.08647594278283485,0.0958904109589041,0.0,0.1292372881355932,0.10891089108910891,0.08664772727272728,0.09104046242774566,0.10953846153846154,0.0,0.05366492146596859,0.08823529411764706,0.0700589970501475,0.05647985989492119,0.04776119402985075,0.13249211356466878,0.045112781954887216
-6,0.05591748099891422,0.020313406848520024,0.1268882175226586,0.08653122648607976,0.0715725806451613,0.07134256472004816,0.04277286135693215,0.016666666666666666,0.059447983014861996,0.08490930142802007,0.05110220440881764,0.04366197183098591,0.10485573539760731,0.09900990099009901,0.08764940239043825,0.05956112852664577,0.03225806451612903,0.08836261777438248,0.06862745098039216,0.0,0.13513513513513514,0.1400709219858156,0.07270560190703218,0.08071278825995808,0.11691209281570727,0.0,0.05689488910318226,0.11596180081855388,0.07135016465422613,0.06140350877192982,0.05740987983978638,0.15862068965517243,0.034990791896869246
-5,0.05666156202143951,0.02414486921529175,0.12048192771084337,0.08821170809943865,0.07457983193277311,0.08008658008658008,0.03868528214077952,0.03225806451612903,0.05203619909502263,0.08339651250947688,0.05,0.04096045197740113,0.07880268784361637,0.10989010989010989,0.10433070866141732,0.06666666666666667,0.0,0.08802024746906636,0.08947368421052632,0.0,0.1319358816276202,0.09533898305084745,0.073512252042007,0.07982261640798226,0.12329931972789115,0.016666666666666666,0.05957836846929423,0.07849293563579278,0.07125890736342043,0.053110047846889955,0.04794520547945205,0.1050228310502283,0.041501976284584984
-4,0.05002605523710266,0.018220467658669907,0.10344827586206896,0.08816326530612245,0.09595375722543352,0.06674438939084815,0.0337356855462705,0.0743801652892562,0.06870229007633588,0.07659409020217729,0.046223224351747465,0.033012379642365884,0.09142053445850915,0.1016949152542373,0.087527352297593,0.06575342465753424,0.034482758620689655,0.11466666666666667,0.08791208791208792,0.0,0.12173913043478261,0.11983471074380166,0.08416389811738649,0.06593406593406594,0.12925764192139738,0.0,0.06466729147141519,0.10579710144927536,0.05742211362248015,0.0528281750266809,0.04219409282700422,0.15577889447236182,0.045112781954887216
-3,0.05422374429223744,0.023025263831148064,0.1039426523297491,0.10033167495854063,0.07734204793028322,0.03970826580226904,0.03786117568913982,0.03529411764705882,0.05649717514124294,0.08860759493670886,0.04424778761061947,0.03766233766233766,0.0905109489051095,0.08888888888888889,0.086,0.07165605095541401,0.038461538461538464,0.10122950819672132,0.05228758169934641,0.0,0.13062605752961082,0.11948529411764706,0.08312020460358056,0.0715962441314554,0.11557562076749435,0.0,0.060851926977687626,0.12050078247261346,0.07124183006535947,0.058823529411764705,0.05865921787709497,0.12444444444444444,0.035523978685612786
-2,0.044571428571428574,0.021892655367231638,0.11526479750778816,0.10832587287376902,0.058365758754863814,0.06736985369173189,0.03278688524590164,0.024096385542168676,0.059154929577464786,0.09086918349429324,0.046798029556650245,0.042028985507246375,0.10078125,0.0,0.06622516556291391,0.04247787610619469,0.03571428571428571,0.10335570469798658,0.10457516339869281,0.0,0.13057213057213057,0.08644859813084112,0.06275579809004093,0.06986899563318777,0.13029897367246765,0.0,0.04573170731707317,0.11129032258064517,0.07772795216741404,0.05514496873223423,0.06301824212271974,0.14536340852130325,0.04174573055028463
-1,0.04431137724550898,0.02042205582028591,0.1076388888888889,0.09634888438133875,0.06690997566909976,0.0742001361470388,0.035268970431065194,0.038461538461538464,0.07417582417582418,0.0974745237040319,0.02706359945872801,0.021341463414634148,0.10088070456365092,0.08333333333333333,0.07867494824016563,0.064030131826742,0.0,0.10928212162780064,0.0658682634730539,0.0,0.12379896526237989,0.12780269058295965,0.09943181818181818,0.08321775312066575,0.1417466849565615,0.0196078431372549,0.059230009871668314,0.10745233968804159,0.0586987270155587,0.053021664766248575,0.06537890044576523,0.13777777777777778,0.04487179487179487
0,0.05185185185185185,0.022439377488237423,0.11217948717948718,0.11246485473289597,0.06263048016701461,0.06963706107996459,0.031751336898395724,0.05555555555555555,0.04871794871794872,0.0943566591422122,0.016150740242261104,0.030448717948717948,0.09723320158102766,0.10869565217391304,0.06937799043062201,0.0706896551724138,0.0,0.09827803443931121,0.061855670103092786,0.0,0.11785948785292187,0.1342062193126023,0.079155672823219,0.07727975270479134,0.11913357400722022,0.0,0.05005324813631523,0.11251980982567353,0.058,0.05406824146981627,0.04317548746518106,0.14657210401891252,0.05533596837944664
1,0.04631217838765009,0.016922594797869006,0.10882352941176471,0.10994263862332695,0.07912087912087912,0.06475678901820352,0.032268073223704626,0.03389830508474576,0.07823960880195599,0.08539053014973695,0.023554603854389723,0.03188775510204082,0.09854497354497355,0.08783783783783784,0.08171206225680934,0.0799347471451876,0.0,0.10642135642135642,0.06451612903225806,0.03278688524590164,0.11758989310009718,0.11918604651162791,0.08323424494649227,0.06712328767123288,0.1410466067048242,0.0,0.0560303893637227,0.10256410256410256,0.06200607902735562,0.05687645687645688,0.04768211920529802,0.11554621848739496,0.03364485981308411
2,0.0532034469838891,0.017543859649122806,0.11204481792717087,0.10037878787878787,0.07011866235167206,0.06142649199417758,0.038109756097560975,0.0380952380952381,0.06569343065693431,0.08105872622001654,0.058823529411764705,0.02736318407960199,0.11007862759113653,0.13636363636363635,0.0994263862332696,0.059654631083202514,0.029411764705882353,0.10690121786197564,0.072992700729927,0.07428571428571429,0.12192691029900332,0.12613981762917933,0.06265664160401002,0.06717363751584284,0.12895522388059702,0.018867924528301886,0.05825242718446602,0.0975609756097561,0.04847494553376906,0.05742935278030994,0.05201560468140442,0.12679425837320574,0.03180212014134275
