cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.04056338028169014,0.028052279247688876,0.07308970099667775,0.06778087279480037,0.06479481641468683,0.059849624060150375,0.04016844833171364,0.02608695652173913,0.07526881720430108,0.1277533039647577,0.0630952380952381,0.020348837209302327,0.05605095541401274,0.1,0.07912087912087912,0.05761316872427984,0.0,0.055823939881910895,0.06369426751592357,0.0,0.10463787982636509,0.0835117773019272,0.060498220640569395,0.06796116504854369,0.12019660411081323,0.0,0.033932135728542916,0.1306532663316583,0.05408515535097814,0.04659661946094107,0.0410783055198973,0.0547945205479452,0.05649717514124294
-11,0.03501945525291829,0.029385307346326838,0.07457627118644068,0.07136404697380307,0.06327683615819209,0.06505576208178439,0.043761638733705775,0.08139534883720931,0.10649350649350649,0.12037037037037036,0.05365296803652968,0.041428571428571426,0.05625790139064475,0.0989010989010989,0.06866952789699571,0.0547945205479452,0.0,0.05173333333333333,0.08695652173913043,0.0,0.10158949550794748,0.09148936170212765,0.07647058823529412,0.060945273631840796,0.1207563386334336,0.0,0.03216374269005848,0.10920436817472699,0.04753199268738574,0.048668503213957756,0.054959785522788206,0.09970674486803519,0.062381852551984876
-10,0.039700805523590336,0.029055690072639227,0.056782334384858045,0.06893617021276596,0.059371362048894066,0.06894329896907217,0.04066418163334463,0.04854368932038835,0.08461538461538462,0.12187375942834458,0.06439854191980558,0.02627511591962906,0.07330567081604426,0.09523809523809523,0.0744466800804829,0.07796610169491526,0.0,0.05384409322260916,0.07432432432432433,0.0,0.11216481360366252,0.11136890951276102,0.0642939150401837,0.05203619909502263,0.11865942028985507,0.0,0.0360082304526749,0.0967741935483871,0.06965174129353234,0.05351170568561873,0.03790849673202614,0.08955223880597014,0.03954802259887006
-9,0.037673130193905814,0.029003394014193152,0.03691275167785235,0.07657657657657657,0.07015457788347206,0.05902560899437851,0.03476549688422433,0.00909090909090909,0.1078167115902965,0.1162510056315366,0.060158910329171394,0.03015075376884422,0.06095890410958904,0.12280701754385964,0.06981981981981981,0.06118881118881119,0.0,0.04945201817695803,0.09352517985611511,0.0,0.09979702300405954,0.06823027718550106,0.08087291399229782,0.04269662921348315,0.1489785749875436,0.0,0.03216650898770104,0.11021069692058347,0.06706948640483383,0.039177277179236046,0.03616133518776078,0.08029197080291971,0.0625
-8,0.03700906344410876,0.0361800588977703,0.07003891050583658,0.06611570247933884,0.06364922206506365,0.05991379310344828,0.04164820558263181,0.020618556701030927,0.10749185667752444,0.11987704918032786,0.06815020862308763,0.03463203463203463,0.0752212389380531,0.0975609756097561,0.06515580736543909,0.05112474437627812,0.0,0.05503258508327299,0.09558823529411764,0.0,0.09616252821670429,0.06318681318681318,0.09370199692780339,0.05597579425113464,0.15771349862258954,0.0,0.03249630723781388,0.11738148984198646,0.04054054054054054,0.0440699935191186,0.05087719298245614,0.06967213114754098,0.07823960880195599
-7,0.038978494623655914,0.027037176117161096,0.0438871473354232,0.07110300820419325,0.06488011283497884,0.06003898635477583,0.042598509052183174,0.017391304347826087,0.1148036253776435,0.1306706114398422,0.04087193460490463,0.02529182879377432,0.06316590563165905,0.0410958904109589,0.10688836104513064,0.06279069767441861,0.0,0.056566970091027305,0.0547945205479452,0.0,0.09788135593220339,0.0891089108910891,0.07102272727272728,0.05346820809248555,0.13907692307692307,0.0,0.041884816753926704,0.12683823529411764,0.03687315634218289,0.06961471103327496,0.049253731343283584,0.07255520504731862,0.05513784461152882
-6,0.033659066232356136,0.033372025536854324,0.06042296072507553,0.06696764484574869,0.05846774193548387,0.0683323299217339,0.0415929203539823,0.016666666666666666,0.09978768577494693,0.11578541103820919,0.06613226452905811,0.01971830985915493,0.06192821956368754,0.07920792079207921,0.0796812749003984,0.05956112852664577,0.0,0.04736440030557677,0.08823529411764706,0.0,0.10023947998631542,0.0726950354609929,0.08343265792610251,0.057651991614255764,0.12360553324408746,0.0,0.03182256509161042,0.13369713506139155,0.04610318331503842,0.04847645429362881,0.050734312416555405,0.08045977011494253,0.053406998158379376
-5,0.033690658499234305,0.028456453003736705,0.060240963855421686,0.06335204490777867,0.05357142857142857,0.06307977736549165,0.03577661431064572,0.03225806451612903,0.10407239819004525,0.10652009097801364,0.04468085106382979,0.02824858757062147,0.06169822846670739,0.06593406593406594,0.07874015748031496,0.056862745098039215,0.0,0.05089988751406074,0.05789473684210526,0.0,0.09586929716399507,0.08686440677966102,0.08401400233372229,0.03991130820399113,0.12287414965986394,0.0,0.02474793767186068,0.12087912087912088,0.042161520190023755,0.045454545454545456,0.04657534246575343,0.08904109589041095,0.06126482213438735
-4,0.042209484106305366,0.028545399331916185,0.05517241379310345,0.06285714285714286,0.058959537572254334,0.05683474205770912,0.032497678737233054,0.024793388429752067,0.0916030534351145,0.11080870917573872,0.05636978579481398,0.02063273727647868,0.05625879043600562,0.0847457627118644,0.05470459518599562,0.030136986301369864,0.0,0.05714285714285714,0.06043956043956044,0.0,0.09197324414715718,0.0743801652892562,0.07308970099667775,0.057387057387057384,0.12183406113537118,0.023255813953488372,0.022492970946579195,0.09855072463768116,0.04337202199144777,0.04589114194236926,0.04219409282700422,0.08040201005025126,0.05827067669172932
-3,0.03881278538812785,0.025583626479053406,0.05734767025089606,0.0538971807628524,0.07516339869281045,0.034683954619124796,0.027897708402524077,0.0,0.0847457627118644,0.11814345991561181,0.04804045512010114,0.015584415584415584,0.06496350364963503,0.13333333333333333,0.072,0.08280254777070063,0.0,0.055327868852459015,0.06535947712418301,0.0,0.08629441624365482,0.0661764705882353,0.06649616368286446,0.05868544600938967,0.13318284424379231,0.0,0.034482758620689655,0.10015649452269171,0.046405228758169936,0.0351890756302521,0.04329608938547486,0.08666666666666667,0.05150976909413854
-2,0.03257142857142857,0.026129943502824857,0.09657320872274143,0.05998209489704566,0.05966277561608301,0.06532834297380061,0.03211776513884242,0.024096385542168676,0.07042253521126761,0.11940298507462686,0.04310344827586207,0.02463768115942029,0.06015625,0.03125,0.07947019867549669,0.10088495575221239,0.03571428571428571,0.058165548098434,0.0718954248366013,0.0,0.09126009126009126,0.07009345794392523,0.08185538881309687,0.040756914119359534,0.13208389112003568,0.0,0.024390243902439025,0.13225806451612904,0.05082212257100149,0.06026151222285389,0.05140961857379768,0.08020050125313283,0.058823529411764705
