cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.05,0.020833333333333332,0.0,0.037037037037037035,0.0,0.025380710659898477,0.041666666666666664,0.0,0.16666666666666666,0.0196078431372549,0.0,0.3225806451612903,0.10204081632653061,0.0,0.14285714285714285,0.0,0.0,0.05063291139240506,0.09090909090909091,0.0,0.015625,0.1,0.19444444444444445,0.08333333333333333,0.05128205128205128,0.0,0.03389830508474576,0.18181818181818182,0.058823529411764705,0.03333333333333333,0.02631578947368421,0.3333333333333333,0.03571428571428571
-11,0.0,0.0,0.0,0.02857142857142857,0.030303030303030304,0.026881720430107527,0.038461538461538464,0.0,0.16129032258064516,0.027777777777777776,0.0,0.18,0.07547169811320754,0.0,0.06896551724137931,0.0,0.0,0.09302325581395349,0.0,0.0,0.09523809523809523,0.08333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0273972602739726,0.22727272727272727,0.07017543859649122,0.028037383177570093,0.07142857142857142,0.0,0.0
-10,0.06896551724137931,0.0,0.0,0.024390243902439025,0.045454545454545456,0.046242774566473986,0.013793103448275862,0.0,0.10810810810810811,0.0392156862745098,0.0,0.27450980392156865,0.1891891891891892,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.03773584905660377,0.0,0.06666666666666667,0.0,0.10344827586206896,0.0,0.047619047619047616,0.13043478260869565,0.08333333333333333,0.04819277108433735,0.08163265306122448,0.14285714285714285,0.0
-9,0.0,0.0,0.2,0.0,0.0,0.05405405405405406,0.05228758169934641,0.0,0.13793103448275862,0.021739130434782608,0.0,0.2558139534883721,0.12195121951219512,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.021739130434782608,0.1111111111111111,0.0625,0.03125,0.030303030303030304,0.0,0.0,0.1891891891891892,0.08163265306122448,0.04054054054054054,0.02857142857142857,0.0,0.0
-8,0.0,0.037037037037037035,0.0,0.03225806451612903,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.0,0.1,0.0,0.0,0.10344827586206896,0.125,0.0,0.037037037037037035,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.1875,0.03333333333333333,0.0,0.0,0.0,0.061224489795918366,0.16666666666666666,0.05555555555555555,0.028985507246376812,0.09375,0.0,0.0
-7,0.041666666666666664,0.0,0.0,0.08571428571428572,0.08695652173913043,0.07758620689655173,0.021897810218978103,0.0,0.11764705882352941,0.02857142857142857,0.0,0.2916666666666667,0.07894736842105263,0.0,0.18181818181818182,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.11764705882352941,0.0,0.06896551724137931,0.05263157894736842,0.0,0.02040816326530612,0.28846153846153844,0.043478260869565216,0.03508771929824561,0.125,0.2,0.0
-6,0.023255813953488372,0.0,0.0,0.018518518518518517,0.03225806451612903,0.09045226130653267,0.025906735751295335,0.1,0.05405405405405406,0.06,0.0,0.1388888888888889,0.14285714285714285,0.0,0.02631578947368421,0.0,0.0,0.046296296296296294,0.07142857142857142,0.0,0.046511627906976744,0.1,0.0625,0.023255813953488372,0.1111111111111111,0.0,0.011904761904761904,0.23255813953488372,0.0196078431372549,0.02857142857142857,0.08,0.0,0.0
-5,0.0,0.0,0.0,0.02631578947368421,0.01694915254237288,0.03888888888888889,0.05025125628140704,0.25,0.058823529411764705,0.018867924528301886,0.034482758620689655,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.019801980198019802,0.09090909090909091,0.0,0.06779661016949153,0.025,0.05263157894736842,0.0,0.1111111111111111,0.0,0.060240963855421686,0.32608695652173914,0.05405405405405406,0.05128205128205128,0.03125,0.2222222222222222,0.0
-4,0.027777777777777776,0.0,0.0,0.02564102564102564,0.047619047619047616,0.05405405405405406,0.025974025974025976,0.14285714285714285,0.09375,0.06976744186046512,0.07692307692307693,0.0,0.028169014084507043,0.0,0.10526315789473684,0.0,0.0,0.06666666666666667,0.0,0.0,0.02857142857142857,0.05,0.02702702702702703,0.0,0.03125,0.0,0.019801980198019802,0.3287671232876712,0.022222222222222223,0.03614457831325301,0.037037037037037035,0.0,0.0
-3,0.08,0.0,0.0,0.027777777777777776,0.04878048780487805,0.039473684210526314,0.028368794326241134,0.0,0.12121212121212122,0.030303030303030304,0.05,0.037037037037037035,0.08108108108108109,0.0,0.03571428571428571,0.0,0.0,0.05555555555555555,0.0,0.0,0.016666666666666666,0.0,0.05263157894736842,0.041666666666666664,0.29411764705882354,0.0,0.014705882352941176,0.2923076923076923,0.075,0.06097560975609756,0.06451612903225806,0.0,0.08333333333333333
-2,0.0,0.0,0.0,0.0,0.0,0.0845771144278607,0.025806451612903226,0.0,0.07142857142857142,0.0,0.0,0.04,0.07692307692307693,0.0,0.05263157894736842,0.0,0.0,0.06666666666666667,0.08333333333333333,0.0,0.028985507246376812,0.0625,0.02702702702702703,0.0,0.0,0.0,0.04597701149425287,0.21052631578947367,0.037037037037037035,0.04918032786885246,0.15,0.0,0.0
-1,0.03571428571428571,0.0,0.0,0.02564102564102564,0.05263157894736842,0.08053691275167785,0.044444444444444446,0.0,0.05,0.09803921568627451,0.07407407407407407,0.0,0.08333333333333333,0.0,0.07142857142857142,0.0,0.0,0.046875,0.0,0.0,0.014084507042253521,0.05555555555555555,0.0625,0.03571428571428571,0.12903225806451613,0.0,0.018518518518518517,0.2727272727272727,0.05405405405405406,0.0379746835443038,0.05,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.03333333333333333,0.3333333333333333,0.0,0.05357142857142857,0.047619047619047616,0.06896551724137931,0.09523809523809523,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.09523809523809523,0.07142857142857142,0.11764705882352941,0.12121212121212122,0.0,0.03125,0.2777777777777778,0.02127659574468085,0.043478260869565216,0.038461538461538464,0.09090909090909091,0.10526315789473684
1,0.0625,0.0,0.0,0.038461538461538464,0.0975609756097561,0.02336448598130841,0.015625,0.125,0.047619047619047616,0.05405405405405406,0.07692307692307693,0.030303030303030304,0.0,0.0,0.0,0.06666666666666667,0.0,0.10638297872340426,0.0,0.0,0.07042253521126761,0.0625,0.10714285714285714,0.0,0.06666666666666667,0.0,0.012987012987012988,0.25396825396825395,0.06382978723404255,0.04854368932038835,0.030303030303030304,0.14285714285714285,0.1
2,0.08108108108108109,0.03125,0.0,0.04878048780487805,0.046511627906976744,0.04980842911877394,0.012987012987012988,0.2,0.075,0.0379746835443038,0.0625,0.0,0.024390243902439025,0.0,0.038461538461538464,0.0,0.0,0.1111111111111111,0.0,0.0625,0.04819277108433735,0.13793103448275862,0.14705882352941177,0.047619047619047616,0.06896551724137931,0.0,0.058823529411764705,0.23880597014925373,0.018518518518518517,0.037037037037037035,0.08823529411764706,0.25,0.0
3,0.0,0.0,0.2857142857142857,0.0,0.03333333333333333,0.04296875,0.029197080291970802,0.0,0.03333333333333333,0.04838709677419355,0.05263157894736842,0.025,0.05,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.029411764705882353,0.038461538461538464,0.07142857142857142,0.1,0.0,0.03571428571428571,0.25,0.08620689655172414,0.0,0.07692307692307693,0.0,0.0
4,0.11627906976744186,0.0,0.0,0.0,0.12,0.03088803088803089,0.05263157894736842,0.0,0.07317073170731707,0.07407407407407407,0.0,0.021739130434782608,0.0,0.0,0.038461538461538464,0.0,0.0,0.022988505747126436,0.0,0.0,0.030927835051546393,0.029411764705882353,0.02702702702702703,0.0,0.0,0.0,0.047619047619047616,0.21739130434782608,0.020833333333333332,0.06060606060606061,0.07407407407407407,0.0,0.0
