cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.0,0.0054249547920434,0.023809523809523808,0.022900763358778626,0.047619047619047616,0.009615384615384616,0.0,0.0,0.018518518518518517,0.0,0.0,0.018018018018018018,0.0,0.14285714285714285,0.05128205128205128,0.0,0.0,0.021686746987951807,0.0,0.0,0.011299435028248588,0.014285714285714285,0.02857142857142857,0.01775147928994083,0.0,0.0,0.005747126436781609,0.07692307692307693,0.02564102564102564,0.00631578947368421,0.007518796992481203,0.0,0.012658227848101266
-11,0.008902077151335312,0.006535947712418301,0.03225806451612903,0.0,0.0,0.021359223300970873,0.01182033096926714,0.0,0.0,0.005208333333333333,0.00980392156862745,0.01098901098901099,0.008547008547008548,0.0,0.0410958904109589,0.0,0.0,0.024498886414253896,0.0,0.0,0.013745704467353952,0.03333333333333333,0.007692307692307693,0.006097560975609756,0.030303030303030304,0.0,0.00966183574879227,0.05325443786982249,0.02877697841726619,0.01006036217303823,0.02912621359223301,0.0,0.009708737864077669
-10,0.012738853503184714,0.0031545741324921135,0.022727272727272728,0.009174311926605505,0.0,0.011210762331838564,0.0136986301369863,0.0,0.0,0.004901960784313725,0.031914893617021274,0.0,0.008620689655172414,0.0,0.015625,0.0,0.0,0.014598540145985401,0.0,0.0,0.019867549668874173,0.0,0.022727272727272728,0.005128205128205128,0.03773584905660377,0.0,0.006329113924050633,0.10606060606060606,0.03164556962025317,0.0021413276231263384,0.008771929824561403,0.0,0.0
-9,0.0056179775280898875,0.0017271157167530224,0.024390243902439025,0.007633587786259542,0.0,0.017509727626459144,0.008670520231213872,0.0,0.018518518518518517,0.0069124423963133645,0.0,0.0,0.0,0.0,0.02666666666666667,0.009174311926605505,0.0,0.007281553398058253,0.041666666666666664,0.0,0.022058823529411766,0.0,0.00980392156862745,0.011764705882352941,0.0,0.0,0.009950248756218905,0.046357615894039736,0.033112582781456956,0.009070294784580499,0.0,0.0,0.02564102564102564
-8,0.0,0.0,0.02631578947368421,0.0,0.0,0.0031746031746031746,0.011194029850746268,0.0,0.0,0.0031645569620253164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003076923076923077,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.015873015873015872,0.01,0.04716981132075472,0.003115264797507788,0.0,0.0,0.0273972602739726
-7,0.0034602076124567475,0.0066518847006651885,0.018867924528301886,0.007575757575757576,0.02857142857142857,0.002617801047120419,0.006369426751592357,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.027918781725888325,0.0,0.0,0.020833333333333332,0.0,0.01834862385321101,0.02158273381294964,0.01639344262295082,0.0,0.015625,0.0916030534351145,0.04697986577181208,0.006109979633401222,0.007246376811594203,0.0,0.0136986301369863
-6,0.02040816326530612,0.006700167504187605,0.017241379310344827,0.013605442176870748,0.0,0.001976284584980237,0.00546448087431694,0.0,0.012048192771084338,0.005154639175257732,0.009174311926605505,0.0,0.004878048780487805,0.0,0.0,0.0,0.0,0.008421052631578947,0.045454545454545456,0.0,0.02880658436213992,0.012195121951219513,0.01834862385321101,0.0045871559633027525,0.0,0.0,0.011428571428571429,0.07386363636363637,0.027210884353741496,0.003968253968253968,0.018518518518518517,0.0,0.0
-5,0.0273224043715847,0.0,0.0,0.026595744680851064,0.0,0.013363028953229399,0.005917159763313609,0.0,0.0,0.021176470588235293,0.010638297872340425,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.009708737864077669,0.038461538461538464,0.0,0.020710059171597635,0.0,0.015503875968992248,0.02531645569620253,0.03260869565217391,0.0,0.0,0.07236842105263158,0.02112676056338028,0.0,0.02040816326530612,0.0,0.046153846153846156
-4,0.01084010840108401,0.001834862385321101,0.043478260869565216,0.004784688995215311,0.0,0.012,0.007633587786259542,0.0,0.03488372093023256,0.011574074074074073,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.0,0.027439024390243903,0.0,0.0,0.015772870662460567,0.011764705882352941,0.015384615384615385,0.006711409395973154,0.0,0.0,0.010810810810810811,0.10909090909090909,0.04794520547945205,0.0069767441860465115,0.0,0.0,0.011627906976744186
-3,0.0033112582781456954,0.0,0.0,0.004761904761904762,0.0,0.0012224938875305623,0.005291005291005291,0.0,0.047619047619047616,0.005865102639296188,0.011111111111111112,0.022222222222222223,0.005747126436781609,0.0,0.02702702702702703,0.0,0.0,0.0031545741324921135,0.0,0.0,0.014760147601476014,0.039473684210526314,0.0,0.0,0.0,0.0,0.005263157894736842,0.10344827586206896,0.04310344827586207,0.006564551422319475,0.009523809523809525,0.0,0.030612244897959183
-2,0.006134969325153374,0.00468384074941452,0.0,0.0,0.025,0.007518796992481203,0.015345268542199489,0.0625,0.05405405405405406,0.0029069767441860465,0.0,0.009615384615384616,0.0,0.0,0.030303030303030304,0.0,0.0,0.02197802197802198,0.0,0.0,0.0038022813688212928,0.017857142857142856,0.01020408163265306,0.013605442176870748,0.010869565217391304,0.0,0.030120481927710843,0.10273972602739725,0.02702702702702703,0.004889975550122249,0.012195121951219513,0.0,0.011764705882352941
-1,0.006644518272425249,0.004016064257028112,0.027777777777777776,0.006097560975609756,0.0,0.004246284501061571,0.014970059880239521,0.0,0.011764705882352941,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0.0,0.014492753623188406,0.0,0.0,0.016574585635359115,0.01282051282051282,0.0,0.011049723756906077,0.11347517730496454,0.0234375,0.005025125628140704,0.0,0.0,0.0
