cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.23133414932680538,0.15030060120240482,0.23958333333333334,0.23631123919308358,0.35777777777777775,0.18148820326678766,0.1998706338939198,0.30303030303030304,0.16417910447761194,0.194,0.30904522613065327,0.1780821917808219,0.1532258064516129,0.17647058823529413,0.2642857142857143,0.03571428571428571,0.125,0.2446183953033268,0.0,0.0,0.23795180722891565,0.10112359550561797,0.2339622641509434,0.15942028985507245,0.33371428571428574,0.0,0.20765027322404372,0.37410071942446044,0.2122905027932961,0.08742004264392324,0.22255192878338279,0.3543307086614173,0.2824074074074074
-11,0.20725995316159251,0.13491048593350383,0.22826086956521738,0.27113702623906705,0.33636363636363636,0.16634050880626222,0.18998048145738453,0.21951219512195122,0.13114754098360656,0.23007246376811594,0.30504587155963303,0.20572916666666666,0.13138686131386862,0.07692307692307693,0.23972602739726026,0.08403361344537816,0.10526315789473684,0.23892100192678228,0.09090909090909091,0.0,0.2621082621082621,0.12087912087912088,0.24436090225563908,0.14864864864864866,0.3226837060702875,0.0,0.21374045801526717,0.5094339622641509,0.20059435364041606,0.11836734693877551,0.1557632398753894,0.4,0.3318777292576419
-10,0.21352313167259787,0.1406747294716741,0.1553398058252427,0.2099737532808399,0.3235294117647059,0.16597938144329896,0.20435393258426968,0.33962264150943394,0.12987012987012986,0.24329159212880144,0.3182897862232779,0.2422360248447205,0.16488222698072805,0.16,0.23952095808383234,0.06321839080459771,0.12,0.20877659574468085,0.11538461538461539,0.0,0.2920863309352518,0.1511627906976744,0.19455252918287938,0.1559633027522936,0.3413173652694611,0.1111111111111111,0.1876750700280112,0.36942675159235666,0.20094191522762953,0.07478632478632478,0.21385542168674698,0.38323353293413176,0.29338842975206614
-9,0.2388250319284802,0.1588271227855834,0.21428571428571427,0.23646723646723647,0.37371134020618557,0.17025440313111545,0.2107843137254902,0.1935483870967742,0.1111111111111111,0.1962962962962963,0.30855855855855857,0.19333333333333333,0.12352941176470589,0.06060606060606061,0.2777777777777778,0.056338028169014086,0.0,0.20052424639580602,0.0,0.0,0.24573863636363635,0.14,0.25098039215686274,0.1059322033898305,0.33790523690773067,0.07692307692307693,0.1897018970189702,0.37209302325581395,0.22700296735905046,0.08842105263157894,0.17845117845117844,0.30917874396135264,0.30180180180180183
-8,0.19759450171821305,0.15123739688359303,0.26666666666666666,0.16666666666666666,0.34285714285714286,0.1464088397790055,0.2107750472589792,0.21428571428571427,0.12903225806451613,0.18141592920353983,0.2844311377245509,0.26382978723404255,0.14705882352941177,0.05263157894736842,0.20833333333333334,0.0718562874251497,0.2,0.21924144310823312,0.13636363636363635,0.0,0.27896995708154504,0.08045977011494253,0.1958762886597938,0.15469613259668508,0.32649253731343286,0.0,0.182648401826484,0.336283185840708,0.14634146341463414,0.1148036253776435,0.19383259911894274,0.24719101123595505,0.3218390804597701
-7,0.1735159817351598,0.12777777777777777,0.20192307692307693,0.23659305993690852,0.3619047619047619,0.167420814479638,0.203579418344519,0.25,0.1206896551724138,0.18888888888888888,0.24251497005988024,0.16666666666666666,0.16916488222698073,0.14285714285714285,0.25,0.07751937984496124,0.07692307692307693,0.20372010628875112,0.07407407407407407,0.0,0.25967741935483873,0.08695652173913043,0.18592964824120603,0.1962025316455696,0.38556067588325654,0.0,0.19784172661870503,0.30714285714285716,0.2097053726169844,0.1066350710900474,0.1590909090909091,0.3525641025641026,0.3611111111111111
-6,0.17321016166281755,0.14967589864466707,0.19626168224299065,0.24519230769230768,0.35152838427947597,0.16467065868263472,0.22202166064981949,0.19642857142857142,0.10975609756097561,0.22380106571936056,0.2876984126984127,0.2534435261707989,0.1524008350730689,0.07142857142857142,0.2804878048780488,0.08791208791208792,0.0,0.2062111801242236,0.05405405405405406,0.0,0.3058823529411765,0.05660377358490566,0.2248995983935743,0.15447154471544716,0.3537787513691128,0.0,0.16243654822335024,0.4166666666666667,0.17432432432432432,0.10683760683760683,0.22699386503067484,0.3756906077348066,0.2742616033755274
-5,0.19094922737306844,0.1406913280776228,0.25252525252525254,0.226775956284153,0.3726851851851852,0.16094210009813542,0.19306930693069307,0.3918918918918919,0.14942528735632185,0.18388791593695272,0.24411134903640258,0.22666666666666666,0.12084063047285463,0.2222222222222222,0.22666666666666666,0.10236220472440945,0.17647058823529413,0.23103932584269662,0.04878048780487805,0.0,0.2820823244552058,0.09259259259259259,0.23985239852398524,0.15873015873015872,0.3559322033898305,0.0,0.18546365914786966,0.37037037037037035,0.1873156342182891,0.12127659574468085,0.1806853582554517,0.40609137055837563,0.3490566037735849
-4,0.16478555304740405,0.12593984962406016,0.1927710843373494,0.23661971830985915,0.3463541666666667,0.1829155060352832,0.20461834509300833,0.35294117647058826,0.13513513513513514,0.2,0.25225225225225223,0.208955223880597,0.15145631067961166,0.23529411764705882,0.26380368098159507,0.10833333333333334,0.07142857142857142,0.29318854886475815,0.10810810810810811,0.0,0.2892670157068063,0.15463917525773196,0.20802919708029197,0.15639810426540285,0.3617710583153348,0.0,0.2077562326869806,0.4114285714285714,0.16079632465543645,0.09595959595959595,0.21036585365853658,0.3355263157894737,0.30454545454545456
-3,0.18527607361963191,0.14314247669773636,0.21518987341772153,0.24858757062146894,0.3768472906403941,0.10738671632526381,0.18635724331926865,0.3728813559322034,0.21875,0.21978021978021978,0.24233983286908078,0.17777777777777778,0.16396761133603238,0.21428571428571427,0.26380368098159507,0.10457516339869281,0.05,0.2669447340980188,0.17391304347826086,0.0,0.27807486631016043,0.09523809523809523,0.21052631578947367,0.10679611650485436,0.36108108108108106,0.0,0.1565217391304348,0.3630573248407643,0.15894039735099338,0.12219451371571072,0.18027210884353742,0.4114285714285714,0.29856115107913667
