cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.07833537331701346,0.07080828323313293,0.125,0.09798270893371758,0.18444444444444444,0.06261343012704174,0.0646830530401035,0.10606060606060606,0.04477611940298507,0.096,0.16080402010050251,0.07397260273972603,0.04435483870967742,0.11764705882352941,0.12142857142857143,0.02142857142857143,0.08333333333333333,0.13829093281148075,0.0,0.0,0.09538152610441768,0.0449438202247191,0.1018867924528302,0.057971014492753624,0.16457142857142856,0.0,0.08743169398907104,0.2302158273381295,0.0712290502793296,0.04051172707889126,0.10979228486646884,0.2283464566929134,0.1527777777777778
-11,0.06557377049180328,0.05690537084398977,0.09782608695652174,0.12536443148688048,0.13636363636363635,0.04403131115459882,0.0494469746258946,0.07317073170731707,0.06557377049180328,0.09420289855072464,0.13302752293577982,0.0859375,0.04744525547445255,0.038461538461538464,0.136986301369863,0.01680672268907563,0.0,0.1329479768786127,0.09090909090909091,0.0,0.10398860398860399,0.06593406593406594,0.07518796992481203,0.06306306306306306,0.14164004259850904,0.0,0.08396946564885496,0.2641509433962264,0.06686478454680535,0.04693877551020408,0.059190031152647975,0.23030303030303031,0.14847161572052403
-10,0.07947805456702253,0.05537873965626989,0.05825242718446602,0.07611548556430446,0.13903743315508021,0.049484536082474224,0.061095505617977525,0.1509433962264151,0.025974025974025976,0.1252236135957066,0.14014251781472684,0.07763975155279502,0.04925053533190578,0.12,0.11976047904191617,0.005747126436781609,0.0,0.11436170212765957,0.0,0.0,0.10215827338129496,0.05813953488372093,0.07392996108949416,0.08256880733944955,0.15449101796407186,0.0,0.0700280112044818,0.18471337579617833,0.08320251177394035,0.02564102564102564,0.0783132530120482,0.17365269461077845,0.13636363636363635
-9,0.0842911877394636,0.08124618204031765,0.07142857142857142,0.11396011396011396,0.17525773195876287,0.06653620352250489,0.07072829131652661,0.06451612903225806,0.04938271604938271,0.09074074074074075,0.11711711711711711,0.07666666666666666,0.041176470588235294,0.0,0.0625,0.02112676056338028,0.0,0.11336828309305373,0.0,0.0,0.08522727272727272,0.07,0.11764705882352941,0.0635593220338983,0.16084788029925187,0.07692307692307693,0.08401084010840108,0.1511627906976744,0.08902077151335312,0.035789473684210524,0.07407407407407407,0.13526570048309178,0.13513513513513514
-8,0.06529209621993128,0.07882676443629698,0.12,0.08518518518518518,0.18095238095238095,0.058011049723756904,0.05860113421550094,0.05357142857142857,0.06451612903225806,0.0752212389380531,0.1467065868263473,0.11063829787234042,0.05588235294117647,0.0,0.08333333333333333,0.03592814371257485,0.1,0.1091581868640148,0.09090909090909091,0.0,0.1223175965665236,0.034482758620689655,0.07731958762886598,0.09944751381215469,0.15111940298507462,0.0,0.0776255707762557,0.1415929203539823,0.06430155210643015,0.03927492447129909,0.05286343612334802,0.11235955056179775,0.1724137931034483
-7,0.0776255707762557,0.05714285714285714,0.0673076923076923,0.10725552050473186,0.15873015873015872,0.0667420814479638,0.07531692766592095,0.08333333333333333,0.05172413793103448,0.09333333333333334,0.1317365269461078,0.03985507246376811,0.044967880085653104,0.0,0.078125,0.031007751937984496,0.0,0.10097431355181577,0.07407407407407407,0.0,0.11774193548387096,0.03260869565217391,0.06030150753768844,0.0949367088607595,0.1966205837173579,0.0,0.07194244604316546,0.20714285714285716,0.09185441941074524,0.026066350710900472,0.06439393939393939,0.17307692307692307,0.2111111111111111
-6,0.07505773672055427,0.07542722451384797,0.056074766355140186,0.12259615384615384,0.18340611353711792,0.05788423153692615,0.07701564380264742,0.10714285714285714,0.024390243902439025,0.09591474245115453,0.1488095238095238,0.1349862258953168,0.054279749478079335,0.07142857142857142,0.14634146341463414,0.03296703296703297,0.0,0.10248447204968944,0.05405405405405406,0.0,0.13986928104575164,0.03773584905660377,0.10441767068273092,0.08943089430894309,0.18838992332968238,0.0,0.08375634517766498,0.18888888888888888,0.07162162162162163,0.0405982905982906,0.0705521472392638,0.2430939226519337,0.11392405063291139
-5,0.09050772626931568,0.06791995148574893,0.10101010101010101,0.10382513661202186,0.20601851851851852,0.06673209028459273,0.055693069306930694,0.14864864864864866,0.06896551724137931,0.07530647985989491,0.139186295503212,0.088,0.05604203152364273,0.05555555555555555,0.07333333333333333,0.047244094488188976,0.058823529411764705,0.10393258426966293,0.0,0.0,0.12832929782082325,0.046296296296296294,0.0996309963099631,0.08333333333333333,0.1864406779661017,0.0,0.06516290726817042,0.17901234567901234,0.0855457227138643,0.04468085106382979,0.0778816199376947,0.233502538071066,0.16981132075471697
-4,0.07562076749435666,0.06015037593984962,0.060240963855421686,0.10422535211267606,0.12760416666666666,0.06592386258124419,0.06093649775497113,0.17647058823529413,0.08108108108108109,0.07478260869565218,0.12612612612612611,0.07960199004975124,0.06601941747572816,0.0,0.12883435582822086,0.058333333333333334,0.0,0.1332675222112537,0.02702702702702703,0.0,0.12958115183246074,0.020618556701030927,0.10218978102189781,0.10900473933649289,0.17062634989200864,0.0,0.08033240997229917,0.24571428571428572,0.05666156202143951,0.030303030303030304,0.10365853658536585,0.23026315789473684,0.13636363636363635
-3,0.08466257668711656,0.0692410119840213,0.0759493670886076,0.10734463276836158,0.20935960591133004,0.03476101800124146,0.06258790436005626,0.22033898305084745,0.078125,0.07326007326007326,0.14484679665738162,0.08888888888888889,0.06275303643724696,0.07142857142857142,0.1165644171779141,0.0392156862745098,0.0,0.13660062565172054,0.043478260869565216,0.0,0.11096256684491979,0.03968253968253968,0.08333333333333333,0.05825242718446602,0.20108108108108108,0.0,0.06666666666666667,0.22929936305732485,0.061258278145695365,0.032418952618453865,0.06802721088435375,0.2,0.17625899280575538
