cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.06962025316455696,0.055855855855855854,0.19298245614035087,0.1111111111111111,0.12886597938144329,0.1070528967254408,0.07851239669421488,0.0,0.11016949152542373,0.2013986013986014,0.09696969696969697,0.047619047619047616,0.10086455331412104,0.16666666666666666,0.19626168224299065,0.12396694214876033,0.0,0.13411078717201166,0.08928571428571429,0.0,0.16865953429830083,0.09836065573770492,0.11165048543689321,0.09352517985611511,0.2183734939759036,0.0,0.08943089430894309,0.34965034965034963,0.12146892655367232,0.060903732809430254,0.06722689075630252,0.12,0.07317073170731707
-11,0.07011070110701106,0.05705229793977813,0.14583333333333334,0.11363636363636363,0.0783132530120482,0.1203585147247119,0.07827788649706457,0.3333333333333333,0.16666666666666666,0.19404915912031048,0.1393939393939394,0.08536585365853659,0.05390835579514825,0.15,0.1782178217821782,0.11607142857142858,0.0,0.1156558533145275,0.06521739130434782,0.0,0.16760404949381327,0.13432835820895522,0.16738197424892703,0.19424460431654678,0.26777609682299547,0.0,0.03389830508474576,0.32,0.0947075208913649,0.08757637474541752,0.1417910447761194,0.21333333333333335,0.08641975308641975
-10,0.08764940239043825,0.05331179321486268,0.10909090909090909,0.14878892733564014,0.11386138613861387,0.11428571428571428,0.04329004329004329,0.06666666666666667,0.11570247933884298,0.18523002421307505,0.17763157894736842,0.05405405405405406,0.10802469135802469,0.10714285714285714,0.175,0.11678832116788321,0.0,0.11497326203208556,0.13953488372093023,0.0,0.1862845445240532,0.22413793103448276,0.12444444444444444,0.11180124223602485,0.24564183835182252,0.0,0.06338028169014084,0.3333333333333333,0.1569620253164557,0.08333333333333333,0.07476635514018691,0.19767441860465115,0.08
-9,0.10032362459546926,0.06050420168067227,0.04838709677419355,0.13565891472868216,0.1111111111111111,0.09492847854356307,0.05148514851485148,0.0,0.18604651162790697,0.18509615384615385,0.1242603550295858,0.060240963855421686,0.09803921568627451,0.12,0.13513513513513514,0.15037593984962405,0.0,0.08265582655826559,0.17647058823529413,0.0,0.15345005149330587,0.18181818181818182,0.17708333333333334,0.09090909090909091,0.22772277227722773,0.0,0.07692307692307693,0.2814814814814815,0.15300546448087432,0.05664488017429194,0.0990990990990991,0.2125,0.0891089108910891
-8,0.06995884773662552,0.06694560669456066,0.14285714285714285,0.13615023474178403,0.11235955056179775,0.10631229235880399,0.07964601769911504,0.0,0.1509433962264151,0.2115702479338843,0.1592356687898089,0.019230769230769232,0.1,0.06666666666666667,0.136986301369863,0.08403361344537816,0.3333333333333333,0.10743801652892562,0.12727272727272726,0.0,0.16261203585147246,0.14285714285714285,0.19230769230769232,0.11711711711711711,0.23340040241448692,0.0,0.043478260869565216,0.32941176470588235,0.09765625,0.06994818652849741,0.14545454545454545,0.1346153846153846,0.09722222222222222
-7,0.07037037037037037,0.04371584699453552,0.1111111111111111,0.099644128113879,0.15527950310559005,0.1223021582733813,0.08,0.0,0.1839080459770115,0.19109947643979058,0.09933774834437085,0.10638297872340426,0.12307692307692308,0.045454545454545456,0.21367521367521367,0.1650485436893204,0.0,0.08771929824561403,0.06666666666666667,0.0,0.17576564580559254,0.16964285714285715,0.12315270935960591,0.08588957055214724,0.22761194029850745,0.0,0.08,0.36936936936936937,0.10784313725490197,0.16890881913303438,0.0967741935483871,0.171875,0.0847457627118644
-6,0.08695652173913043,0.06327160493827161,0.11764705882352941,0.125,0.12244897959183673,0.13734939759036144,0.09566787003610108,0.09090909090909091,0.14545454545454545,0.18222722159730034,0.14427860696517414,0.056179775280898875,0.12654320987654322,0.0975609756097561,0.20909090909090908,0.09859154929577464,0.0,0.08764940239043825,0.07792207792207792,0.0,0.183206106870229,0.15384615384615385,0.19369369369369369,0.14201183431952663,0.22887864823348694,0.0,0.07534246575342465,0.41830065359477125,0.09223300970873786,0.05979381443298969,0.1,0.3,0.06796116504854369
-5,0.07911392405063292,0.045133991537376586,0.17647058823529413,0.15708812260536398,0.0891089108910891,0.12247474747474747,0.05789473684210526,0.0625,0.1506849315068493,0.17633410672853828,0.1016949152542373,0.10465116279069768,0.11746987951807229,0.045454545454545456,0.13178294573643412,0.10416666666666667,0.0,0.08904109589041095,0.08620689655172414,0.0,0.1765285996055227,0.18487394957983194,0.12831858407079647,0.08982035928143713,0.22108345534407028,0.0,0.050359712230215826,0.32857142857142857,0.08446866485013624,0.06601941747572816,0.1388888888888889,0.2717391304347826,0.12871287128712872
-4,0.08176100628930817,0.05598755832037325,0.16923076923076924,0.18099547511312217,0.11616161616161616,0.11533742331288344,0.07184466019417475,0.13333333333333333,0.0990990990990991,0.1841109709962169,0.09392265193370165,0.11428571428571428,0.10884353741496598,0.1111111111111111,0.16326530612244897,0.06557377049180328,0.0,0.1290983606557377,0.0,0.0,0.1602634467618002,0.1308411214953271,0.20207253886010362,0.13043478260869565,0.2392638036809816,0.0,0.045112781954887216,0.3120567375886525,0.09444444444444444,0.06136363636363636,0.13043478260869565,0.24358974358974358,0.06382978723404255
-3,0.07142857142857142,0.06278713629402756,0.1111111111111111,0.14563106796116504,0.1688888888888889,0.07043235704323571,0.06060606060606061,0.09090909090909091,0.16260162601626016,0.18781725888324874,0.07329842931937172,0.03529411764705882,0.11920529801324503,0.08333333333333333,0.1440677966101695,0.18666666666666668,0.0,0.11704312114989733,0.1016949152542373,0.0,0.17245240761478164,0.183206106870229,0.15270935960591134,0.12777777777777777,0.2691131498470948,0.0,0.06569343065693431,0.3087248322147651,0.09315068493150686,0.07256235827664399,0.09090909090909091,0.2457627118644068,0.14814814814814814
