cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.03987279843444227,0.04107359307359307,0.03982300884955752,0.03434352021082161,0.03446064139941691,0.06492014065412642,0.05270185359723531,0.014305863389079186,0.0,0.10420743639921723,0.046881115459882584,0.08014476009242898,0.06800753834156485,0.11090225563909774,0.07706766917293233,0.04397541809389482,0.008755441234665613,0.03611231726733247,0.04441201000834028,0.04584717607973422,0.03277263516625219,0.014875105248386191,0.0220734126984127,0.0677736006683375,0.04698879551820728,0.021271066309655064,0.06259398496240602,0.019037971752720536,0.02912774220636087,0.021521076688674454,0.12113232389730084,0.04988780852655199,0.030488974113135184,0.0711159737417943,0.04980829795974257,0.048189823874755386,0.061232466720271606,0.013948943954764675,0.09649524920820136,0.08044058744993325,0.04152823920265781
-11,0.03932768815241988,0.0635294310650305,0.02108433734939759,0.0380864078605144,0.03925244949800411,0.11363490458535959,0.04729999667077271,0.02456155286906181,0.0,0.02283897852334651,0.04899921853336359,0.03718267794922847,0.06739126309397298,0.09285461172420775,0.0625,0.03194090136054422,0.010201719576719576,0.03983589200635257,0.042382409894434384,0.05679249547920435,0.03573431990597286,0.00758219954648526,0.03571428571428572,0.06166495375128468,0.037761985063840035,0.022178001733157877,0.07679425837320575,0.03445178546477974,0.037821482602118005,0.01772881623627892,0.08660714285714287,0.034402638285114674,0.019610060617027053,0.07603874883286647,0.0720307513197776,0.029077117572692792,0.07280743132914838,0.014211034967492531,0.03261356843992827,0.1428954629061925,0.046875
-10,0.04370713179438012,0.05695476137341793,0.021052631578947368,0.03712678830603359,0.03087731540218219,0.04102980512036683,0.07202313248740713,0.02018819503849444,0.0,0.022533617361203566,0.05065948018968153,0.042226890756302524,0.06652230740719066,0.09040949955828093,0.02857142857142857,0.038613372810264,0.016312228129531176,0.02243564818415118,0.05188449848024316,0.02621283255086072,0.04631166088399457,0.01563368538076709,0.020105820105820106,0.07240574959021562,0.04794520547945205,0.02201807127741762,0.08099013859275053,0.021896493403991434,0.02740990013026487,0.035242587601078165,0.11743012422360248,0.026467546929685015,0.017187769908447052,0.08088309844874784,0.050472963433573347,0.056897759103641456,0.0911540943061455,0.013776184185695414,0.016765630457561995,0.0664837852949399,0.14692218350754938
-9,0.03838620112581773,0.03836260872508207,0.022352647352647352,0.03240098628448143,0.029163144547759933,0.061749139717867704,0.051479455278096414,0.013650412087912088,0.0625,0.028509585652442798,0.04768190512109049,0.04030957755562722,0.06663059678637784,0.08300861643158992,0.02631578947368421,0.03756476683937824,0.010373733845616486,0.02746954295025995,0.031097113502935418,0.04111498257839721,0.033491593080924156,0.018940609951845908,0.040781853281853284,0.057583634719710675,0.04449152542372881,0.016892461159977085,0.0768331872626351,0.01731785163988554,0.040097670040009414,0.019941277220455102,0.12302656911821333,0.023963004484304933,0.024498229043683588,0.06596402605986215,0.05590681669446262,0.059836345039208996,0.060908276959809,0.013279298205768793,0.012638504155124654,0.07081413210445468,0.039899553571428575
-8,0.04035996452757175,0.039841472303207,0.02048992673992674,0.0839197263935844,0.02476764199655766,0.059371237961476725,0.047511651719511334,0.016798228725452446,0.0,0.018044128646222887,0.04548579620256868,0.030115985300872762,0.06368166255969646,0.10024119493200047,0.17277992277992277,0.029781680113906025,0.011186947952405284,0.02337259014277648,0.04421313980137509,0.02473787680209699,0.03592028015243589,0.01072961373390558,0.0,0.06212730101114856,0.057220496894409945,0.018701160761702453,0.0658072253035527,0.019592399330510976,0.03774201988487703,0.02117653504766775,0.08571428571428572,0.03103932584269663,0.013010540184453228,0.07311224489795919,0.054005805822774075,0.03496578272027374,0.05642822197372099,0.012385909660863734,0.012383078231292517,0.08102245281331066,0.047619047619047616
-7,0.03744853204439671,0.043566032821047145,0.028734295020939972,0.03461946249942378,0.03163265306122449,0.05173094878977232,0.04391272810567306,0.014563106796116505,0.0,0.021458087367178278,0.04600667614514434,0.04305799648506151,0.05994348170302604,0.07817296340023612,0.05555555555555555,0.03177257525083612,0.00878803777544596,0.03820193445132559,0.04552313883299799,0.04270917406510626,0.04451690178333777,0.012315270935960592,0.024297423887587825,0.06860902255639098,0.043478260869565216,0.016205237281634643,0.08141715590345727,0.017244932596256427,0.04773093447905478,0.017101454585424836,0.1065541601255887,0.02903304178814383,0.022611714090153515,0.06605643352631305,0.04678856791641057,0.038342092689918776,0.046194190424959654,0.011053180396246089,0.017548102762549717,0.06864006864006865,0.012605042016806723
-6,0.04006553470360441,0.057861914634547665,0.01906966490299824,0.04338311513801973,0.03390990542558487,0.07266066311911584,0.059336072091174134,0.017403314917127072,0.0,0.026587301587301587,0.047454952524816574,0.036616900858704136,0.06665211565012588,0.0905468498443705,0.05952380952380952,0.023322422258592473,0.010604884246188594,0.02063810000715359,0.04981791464349604,0.0137987012987013,0.049755171991675846,0.015098099325567136,0.016666666666666666,0.08226228389444949,0.06330801551389786,0.01919502659744921,0.07331698913331566,0.023241450303099622,0.04021751444431857,0.021858546858546858,0.09130624726955003,0.03489951113525258,0.015110738551133858,0.061448279347112035,0.05356498892380609,0.04586038961038961,0.05547674034971957,0.01253570735224783,0.022582921665490474,0.09408490271563832,0.010296010296010296
-5,0.04509005674808784,0.04240931012790942,0.0274109643857543,0.03431769147788565,0.03670280612244898,0.06084009384122208,0.05048152487640385,0.017777209361810972,0.0,0.02296655656482246,0.04467647375215147,0.03629777302343674,0.06933116556481747,0.07332990750256937,0.13852813852813853,0.018242202541393915,0.011592926847164136,0.021194674343288953,0.05227784026996625,0.021205357142857144,0.03470797866885448,0.012987012987012988,0.04941599281221923,0.07864772860664397,0.026192429391773117,0.024259086350589616,0.0774261317430198,0.01781459690751726,0.036092214663643235,0.019393625384120632,0.08889108129439621,0.02720348204570185,0.019641775547287358,0.0738328517247607,0.043162556775664336,0.08118657298985167,0.06577566467370563,0.02043205574912892,0.020464193429309708,0.1002005978602895,0.010961810466760962
-4,0.16380352879159044,0.04485031097934324,0.028975741239892182,0.030131844682391492,0.027206218564243257,0.05766364371015534,0.09144879919556627,0.014241505620815966,0.0625,0.02058673469387755,0.04346740638002774,0.032411937377690804,0.05492569041714062,0.056062651903861734,0.14047619047619048,0.04299878591663294,0.009713453132588635,0.0384330202669303,0.046094018071600136,0.012938408896492727,0.036404592355762246,0.01310483870967742,0.007692307692307693,0.07300884955752213,0.023133707631524225,0.01659033326836874,0.06787345075016307,0.017006508128974786,0.0428358049717273,0.029291066968002856,0.1080259026687598,0.03454484704484704,0.01855633490189115,0.06506182981667244,0.04061362801722699,0.04761904761904762,0.06305508794334475,0.014160942363421702,0.03276424805423048,0.07306449069694103,0.04672897196261682
-3,0.04739840333774622,0.0412621359223301,0.041944815309301296,0.03636532738095238,0.029113727920669356,0.05936069069174036,0.05122332472475194,0.00674445076835515,0.06666666666666667,0.019651641401465716,0.049200933740348354,0.03559531740744266,0.06019396036142139,0.07821205705371072,0.038461538461538464,0.03785144376899696,0.011001042752867571,0.022165937293927223,0.04245206589251958,0.016283947891366748,0.03752911063088769,0.004210526315789474,0.015348288075560804,0.07006042640519895,0.025604621560755898,0.017720502835280455,0.05985515478557228,0.022900074227135036,0.027822974292222587,0.02111198064883324,0.11765229782686143,0.038390945243193635,0.012761271376749006,0.06433992160787257,0.04275988173046996,0.011235955056179775,0.05807427247283999,0.013731047763703924,0.024785323965651834,0.08487268018990074,0.03296703296703297
