cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.02717391304347826,0.03055818353831599,0.02127659574468085,0.010973084886128364,0.04726261762189905,0.0342319360176503,0.03863886595100468,0.0,0.0,0.02577319587628866,0.040207373271889404,0.036208601087493825,0.049571098647311115,0.04556143445032334,0.0,0.012345679012345678,0.0,0.0066827344434706405,0.01738095238095238,0.02666666666666667,0.022808680994521702,0.0234375,0.0,0.040780141843971635,0.026077097505668934,0.0055272108843537416,0.01282051282051282,0.00802075019952115,0.007017543859649123,0.0,0.06274131274131274,0.025181598062953996,0.010309278350515464,0.07248520710059171,0.01954709328526363,0.031462585034013606,0.0731082036775106,0.0,0.0035335689045936395,0.038795518207282914,0.0
-11,0.020755885997521685,0.041435954226651896,0.012362637362637364,0.022591362126245844,0.04591836734693877,0.07246184824077999,0.042318982387475536,0.022222222222222223,0.0,0.011976047904191617,0.03078817733990148,0.013900769888793843,0.062286890064667845,0.04764666887636725,0.0,0.014492753623188406,0.007017543859649123,0.003436426116838488,0.026225343693962937,0.013888888888888888,0.028981790202616056,0.0,0.0,0.029285714285714283,0.008064516129032258,0.002682100508187465,0.0449438202247191,0.016411023007929286,0.012851165570830842,0.007142857142857143,0.0851063829787234,0.023852971845672574,0.0,0.10794157918758557,0.02573324411731906,0.011160714285714286,0.0700599582898853,0.007662835249042145,0.01089159067882472,0.05319148936170213,0.0
-10,0.03167877320419693,0.03651385927505331,0.0,0.008087968011632134,0.01043956043956044,0.025873351454746805,0.06058786346396965,0.010101010101010102,0.0,0.0,0.04154966654966655,0.042328042328042326,0.05767684887459807,0.05499188311688312,0.0,0.017543859649122806,0.013289036544850499,0.006993006993006993,0.043121149897330596,0.0,0.038211788211788215,0.008387445887445888,0.0,0.05778164924506388,0.007908163265306124,0.004955947136563877,0.043135435992578845,0.008947211452430659,0.010244735344336937,0.04060913705583756,0.1,0.032389162561576354,0.007575757575757576,0.12449933244325768,0.022627695145854953,0.012987012987012988,0.07685848634124497,0.0,0.0038129130655821047,0.06614785992217899,0.0
-9,0.02922542407520948,0.022095388788426762,0.0,0.016636528028933093,0.043478260869565216,0.0406426600078854,0.03927333498390691,0.009900990099009901,0.0,0.03076923076923077,0.03401981230448384,0.017234219269102992,0.056813782423538524,0.060978084415584416,0.0,0.0196078431372549,0.011867790594498669,0.007017543859649123,0.023583484026522,0.0,0.028346898680886894,0.024246395806028834,0.043478260869565216,0.02857142857142857,0.02192585895117541,0.002188183807439825,0.04023508137432188,0.010399271291938666,0.0,0.018641114982578397,0.03333333333333333,0.025292323335027962,0.005235602094240838,0.07598274209012464,0.026196443489676573,0.04076086956521739,0.05593242883745677,0.005160239000543183,0.008039579468150896,0.03354155350353069,0.06190476190476191
-8,0.03362877997914494,0.02614079339601009,0.023255813953488372,0.034003421727972626,0.03753026634382567,0.043055097327614644,0.047020818377602296,0.014727540500736377,0.0,0.0070921985815602835,0.0434402332361516,0.020666131621187803,0.052202756666237284,0.06614688128772636,0.5,0.0,0.007272727272727273,0.0111731843575419,0.018396090830698476,0.0,0.02598116169544741,0.008403361344537815,0.0,0.04993065187239944,0.0,0.014215514215514214,0.019009216589861752,0.010320922262034585,0.001322751322751323,0.023668639053254437,0.24,0.03329538986909505,0.0026041666666666665,0.06811145510835913,0.023733997960802083,0.0,0.060086872586872585,0.007633587786259542,0.01834862385321101,0.07235863095238095,0.047619047619047616
-7,0.03260869565217391,0.01882313976595275,0.0,0.01639344262295082,0.043795620437956206,0.028337633021605933,0.04144913779465275,0.011627906976744186,0.0,0.006711409395973154,0.0313231850117096,0.0273972602739726,0.048182782862448606,0.03807773109243698,0.0,0.0,0.0033333333333333335,0.01187726822830749,0.017209474463360474,0.0,0.027950310559006212,0.008771929824561403,0.0,0.03571428571428571,0.0,0.005168157975933354,0.02622061482820976,0.007495085190039318,0.004524886877828055,0.022988505747126436,0.041666666666666664,0.043044291952588895,0.005988023952095809,0.04966887417218543,0.011266633191062013,0.009953161592505854,0.02669902912621359,0.005472350230414747,0.016756939742721733,0.029411764705882353,0.0625
-6,0.021119505494505496,0.04171981292517007,0.02,0.012661007025761124,0.03314491264131552,0.060641705876464114,0.056226765799256506,0.011467889908256881,0.0,0.01123876123876124,0.033999665439946467,0.015238095238095238,0.05442176870748299,0.03399173174092788,0.0,0.0006377551020408163,0.013513513513513514,0.014450867052023121,0.03219315895372233,0.0,0.0625544425087108,0.0,0.0,0.064,0.03289473684210526,0.007031467557783348,0.038629737609329445,0.009773166023166023,0.018472906403940885,0.04556650246305419,0.19047619047619047,0.04,0.01097366320830008,0.044702780441035476,0.02112399292591865,0.012337662337662338,0.06717538153615212,0.004636591478696742,0.01380952380952381,0.06939304219096964,0.0
-5,0.02421941830624465,0.018102985875201143,0.0,0.011758691206543968,0.02,0.04168909462805469,0.04802102659245516,0.00641025641025641,0.0,0.030120481927710843,0.04074279379157428,0.009523809523809525,0.06301587301587301,0.047493403693931395,0.0,0.0,0.003289473684210526,0.012195121951219513,0.016661979752530937,0.0,0.028263461156367974,0.0,0.011160714285714286,0.035980810234541576,0.0,0.013333333333333334,0.016351118760757316,0.004832626119754833,0.011363636363636364,0.019993164730006837,0.10338345864661655,0.02112676056338028,0.008130081300813009,0.08534743202416918,0.016967990515708357,0.02792207792207792,0.09230840773809523,0.012805451127819549,0.015503875968992248,0.044832826747720364,0.0
-4,0.054648817164863375,0.027290153349475387,0.0,0.014941022280471821,0.004833512352309344,0.03476226743553477,0.09463451825026208,0.006951102588686482,0.0,0.012103174603174605,0.04077922077922078,0.021915584415584416,0.04567015995587424,0.027611940298507463,0.3333333333333333,0.023809523809523808,0.013599389933909505,0.014823348694316436,0.03206859303267621,0.0,0.029649595687331533,0.007352941176470588,0.045454545454545456,0.030612244897959183,0.03205128205128205,0.00444768985661179,0.011111111111111112,0.004566003616636527,0.021352313167259787,0.023391812865497075,0.23333333333333334,0.03480848861283644,0.005813953488372093,0.05533049040511727,0.022090038503307336,0.009174311926605505,0.05711019163763066,0.0,0.011963406052076003,0.031985083189902466,0.011083743842364532
-3,0.03576914636822471,0.04269972451790634,0.0,0.01107011070110701,0.02815126050420168,0.03387927256792288,0.040222534851003966,0.005555555555555556,0.0,0.02012987012987013,0.04237429237429237,0.020593317972350228,0.0528071150639244,0.04081632653061224,0.0,0.022222222222222223,0.010169491525423728,0.008850931677018635,0.026864728192161822,0.023809523809523808,0.0176044474393531,0.0,0.0,0.05073696145124716,0.009568733153638813,0.002044989775051125,0.024096385542168676,0.0066056910569105695,0.01631551901336074,0.01145912910618793,0.22619047619047616,0.05371779859484778,0.0028169014084507044,0.04126311541565779,0.02298311444652908,0.012195121951219513,0.06732223903177005,0.0,0.0,0.050385299347954944,0.08333333333333333
-2,0.03069979942054825,0.0402677199912223,0.0,0.02168367346938776,0.0273972602739726,0.030503210864301508,0.04688779688779689,0.005988023952095809,0.0,0.0,0.028933092224231464,0.016666666666666666,0.04823447957535195,0.04800936768149883,0.0,0.013888888888888888,0.0035971223021582736,0.003629764065335753,0.009074941451990632,0.03747072599531616,0.01841171251109139,0.015625,0.0,0.016129032258064516,0.02622265122265122,0.0038684719535783366,0.03462099125364432,0.009392265193370166,0.00909090909090909,0.00641025641025641,0.16,0.05703883495145631,0.0030096308186195824,0.049931756141947226,0.023700018772292095,0.02112676056338028,0.07870683818551116,0.010296010296010296,0.02727272727272727,0.055963010204081634,0.034482758620689655
-1,0.01648799813563272,0.028764478764478765,0.0,0.011242116808335619,0.03738095238095238,0.04141156462585034,0.04481679035250464,0.013513513513513514,0.0,0.03864734299516908,0.029956608811748997,0.007781324820430965,0.05348639455782313,0.01821972443799855,0.0,0.0,0.008426966292134831,0.0050335570469798654,0.028718017057569295,0.0,0.024405454847829702,0.001488095238095238,0.0,0.04854368932038835,0.011627906976744186,0.0019348597226701064,0.036618444846292945,0.004223901098901099,0.022036474164133738,0.037815126050420166,0.12903225806451613,0.035897435897435895,0.0068721366097459395,0.05256288561936402,0.030788177339901475,0.0,0.08443192713326941,0.010997386759581881,0.0,0.03643724696356275,0.0
