cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.2061412383650344,0.17280390417036381,0.28013392857142855,0.2310243751928417,0.17373363688104723,0.23542063032508892,0.27311536859641816,0.1245847176079734,0.0,0.41816389132340054,0.23673870333988212,0.43506493506493504,0.30301664355062413,0.36846239142487525,0.5714285714285714,0.24884169884169885,0.12557142857142856,0.204772301933874,0.19774992449411055,0.20069124423963133,0.15825002335793703,0.18625192012288788,0.16865079365079363,0.20158993830090177,0.16996173469387754,0.16456043956043956,0.2845355964167845,0.1842484876686831,0.2164935064935065,0.16830550401978972,0.3603411513859275,0.3390444015444016,0.2077117572692794,0.18381729546417974,0.28405045658566785,0.23853211009174313,0.32569813062543274,0.12367481893565656,0.4730796841349605,0.28166953528399313,0.35714285714285715
-11,0.21564677700348434,0.2207609395109395,0.21953781512605042,0.26082251082251084,0.18001827596710326,0.3927594102535463,0.2649959125281014,0.1882239382239382,0.0,0.14381067961165048,0.24577711401792154,0.21844155844155844,0.2923795266609638,0.2993958777540867,0.21031746031746032,0.16342676311030743,0.11672302056917441,0.2647598654022637,0.19525684289463816,0.224937343358396,0.1728255139694254,0.1333907056798623,0.2630952380952381,0.19140412819120045,0.23617511520737328,0.16639986752042393,0.2806451612903226,0.25553736853103015,0.29748062015503873,0.17478032879818592,0.29089861751152074,0.20103896103896104,0.1262516688918558,0.22241264927023438,0.32034388558573035,0.24827188940092165,0.35870927318295737,0.11840901292462541,0.22236704900938478,0.42165379665379665,0.23136645962732919
-10,0.21713147410358566,0.23009846461949265,0.2628805620608899,0.2901785714285714,0.22362385321100917,0.1563160748170236,0.3166308329351808,0.19620811287477954,0.0,0.1697174691603661,0.21614454248042034,0.2342399593289273,0.30107026523964636,0.2962625829942172,0.42142857142857143,0.1879310344827586,0.11971183323114654,0.21724079702803106,0.2553404539385848,0.17627401837928153,0.18400879486570001,0.2486607142857143,0.2568681318681319,0.17633477633477634,0.21074964639321073,0.17033187873220026,0.2962393566698202,0.16733941733941735,0.24169741697416974,0.26132194450814034,0.37244897959183676,0.19810267857142858,0.14537712895377128,0.22908076643220954,0.2877399307740718,0.24054621848739494,0.3958826624572481,0.13631159780985566,0.2963188688444661,0.2641889712995808,0.3333333333333333
-9,0.18549562682215742,0.18576476527006563,0.18386243386243387,0.2686731950844854,0.16907378335949766,0.21216500262743038,0.2579572841352946,0.1607142857142857,0.0,0.1425831202046036,0.2236684917869587,0.23639455782312926,0.27461291264972243,0.3044137466307278,0.6845238095238094,0.2402183803457689,0.11433111380145279,0.24760765550239233,0.17164809186085783,0.18858052775250228,0.16739894551845344,0.13555194805194806,0.2012987012987013,0.15769034886681946,0.26262626262626265,0.16881489437880418,0.2888615216201423,0.15435235318617244,0.31279761904761905,0.16051118610173729,0.3259557344064386,0.1825227963525836,0.12714676034348166,0.19612683783190696,0.3305202714459718,0.3305256064690027,0.32768870473788503,0.11261730969760166,0.23040455120101136,0.22962836685987043,0.15789473684210525
-8,0.20870055339208857,0.20979154714094475,0.13736263736263735,0.43718265404144363,0.1901723566456745,0.2247925973197192,0.25240096038415366,0.12206823027718551,0.0,0.1236810064935065,0.2297084318360914,0.26932084309133486,0.2962066182405166,0.3199075200778778,0.4857142857142857,0.2441798941798942,0.11980306345733041,0.23084257975034675,0.20622986036519872,0.2860221674876847,0.18804333722589853,0.1881287726358149,0.22321428571428573,0.16446995464852607,0.3236607142857143,0.1737072342648211,0.29966717869943676,0.19018542518193599,0.24048815506101937,0.18637873754152826,0.35422740524781343,0.244299128101945,0.1368547418967587,0.23214285714285715,0.3086781964175417,0.21534653465346534,0.36025469168900803,0.13100814096130256,0.2749846719803801,0.24342621664050237,0.5
-7,0.1820480404551201,0.17401754090065777,0.32142857142857145,0.27811646951774344,0.18521780909673288,0.22294033455586368,0.2398496240601504,0.21663533834586468,0.0,0.13515769944341371,0.22197284255414654,0.2724489795918368,0.27853918090938407,0.2644312393887946,0.6964285714285715,0.25,0.1134020618556701,0.3250820161049806,0.19833171363783608,0.26555299539170507,0.1864625850340136,0.12130541871921183,0.31547619047619047,0.16053391053391053,0.0,0.17727982698546196,0.27437888198757765,0.1739789548778313,0.3339029391660971,0.16616304487591615,0.24503968253968253,0.18897515527950312,0.1401636073423783,0.21110695587135378,0.2939642643412841,0.27710843373493976,0.3385714285714286,0.11500802568218298,0.2825255102040816,0.25325475017593246,0.24285714285714283
-6,0.2105948762483717,0.24121711621711622,0.1920374707259953,0.27756132756132756,0.21344806579348158,0.27467259120673526,0.27889939517846496,0.1760204081632653,0.0,0.14136904761904762,0.22791927698469755,0.24813339970134393,0.2744805926880335,0.3254401604635614,0.1706349206349206,0.16085714285714287,0.13234384662956092,0.2356715141146279,0.1904512851165571,0.21263736263736263,0.23529828873971825,0.1113721804511278,0.0,0.20921155347384857,0.20087575259989054,0.16885833831440525,0.31469002695417786,0.1813354226516932,0.2703081232492997,0.19961371645432366,0.3697478991596639,0.23236700537955768,0.11514778325123153,0.19923350366585205,0.3236525379382522,0.28013392857142855,0.3233129935391242,0.11923204603297553,0.17140151515151514,0.2713169642857143,0.1
-5,0.21531385281385282,0.18491171749598717,0.3054029304029304,0.245431431749563,0.1845382220684884,0.2417081876998587,0.24327247555594014,0.14891874180865006,0.0,0.14360119047619047,0.2223166319482513,0.2865108868826341,0.32213081861958265,0.28829333931374745,0.45454545454545453,0.1527777777777778,0.10460934946060804,0.2452135493372607,0.19955094021891664,0.20274725274725275,0.20411457265833163,0.10907335907335906,0.31216931216931215,0.1828185328185328,0.09968354430379747,0.18243489900219031,0.30005310674455654,0.19575045207956598,0.2798750678978816,0.1746864776444929,0.23636363636363636,0.18922811059907835,0.15574576938213303,0.22086466165413532,0.3104434907010014,0.307967032967033,0.36923509561304835,0.16070058107663632,0.17272727272727273,0.2580227743271222,0.25
-4,0.4887108304539497,0.21110828673106255,0.2526455026455026,0.21724873577749684,0.15519901265041655,0.2243938644235527,0.3750221461052383,0.12349624060150377,0.0,0.12872220128156803,0.2192576009995835,0.23551791850760925,0.2726124704025257,0.24805836667451167,0.5714285714285714,0.17660910518053377,0.14033925258415053,0.2783682400750234,0.20405138339920947,0.14260385005065856,0.2082512315270936,0.20174772036474165,0.20502645502645503,0.1907482993197279,0.11631274131274132,0.17727327617437508,0.2735478806907378,0.18836218868623278,0.2931769722814499,0.19384681583476765,0.36054421768707484,0.1645714285714286,0.1157357679914071,0.17926855426855426,0.2698785479433671,0.2662659123055163,0.34252183406113534,0.13801773548177787,0.19972067039106145,0.23494897959183675,0.1868131868131868
-3,0.2515006002400961,0.17425289341855243,0.33292978208232443,0.24304742388758782,0.1868663594470046,0.21409247417609445,0.24963141149996118,0.09979838709677419,0.5,0.10353130016051364,0.21352634076886567,0.2074025974025974,0.28794642857142855,0.30375489236790604,0.48571428571428565,0.19303571428571428,0.11010669828097214,0.21744627054361568,0.1843412211510371,0.08756613756613757,0.18285966534936518,0.15476190476190477,0.2068452380952381,0.18830594184576485,0.11000423908435777,0.16105295566502464,0.27730414746543774,0.1803658254225515,0.2734036796536797,0.1877715307947866,0.37632275132275134,0.22099189020586402,0.1287328490718321,0.20964105339105338,0.2865774216663409,0.2261904761904762,0.26634316770186334,0.1323215619332124,0.20961538461538462,0.27377769289533993,0.3607142857142857
