cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0076103500761035,0.002909090909090909,0.0,0.002975304968759298,0.007755102040816327,0.009193357058125741,0.011624253848570531,0.015514809590973202,0.0,0.01429422275163788,0.008047945205479452,0.005233111322549952,0.009227969846633741,0.007797270955165692,0.0,0.004231311706629055,0.02077562326869806,0.009625126646403243,0.0025020850708924102,0.03565891472868217,0.005963894261766602,0.023575638506876228,0.006944444444444444,0.010964912280701754,0.0,0.003969128996692392,0.0061403508771929825,0.005672609400324149,0.00881704628949302,0.00558659217877095,0.002304147465437788,0.02356020942408377,0.018344519015659956,0.0053141606752110035,0.006024921265233465,0.00228310502283105,0.007191994996873046,0.008149010477299184,0.0029171528588098016,0.002748763056624519,0.007751937984496124
-11,0.005876341338783853,0.0018373909049150207,0.006024096385542169,0.0030343897505057315,0.00550381033022862,0.007302550275249972,0.011302726637147518,0.013110846245530394,0.0,0.030665669409124907,0.008646550202929239,0.007665505226480836,0.010228480340063762,0.01630049610205528,0.0,0.002976190476190476,0.023148148148148147,0.009528851244044468,0.0026235242675994755,0.04272151898734177,0.005983545250560957,0.017857142857142856,0.0,0.004796163069544364,0.008431703204047217,0.0051673781172770165,0.0028708133971291866,0.007964230822970519,0.009077155824508321,0.007739082365948038,0.01,0.01626442812172088,0.02786573780873971,0.00522875816993464,0.00463678516228748,0.00663716814159292,0.006858013716027432,0.009020090200902008,0.0020920502092050207,0.00536480686695279,0.0078125
-10,0.006453278265358802,0.002008480249944209,0.0,0.00362844702467344,0.003552397868561279,0.008597630875047765,0.013959259642229346,0.01437125748502994,0.0,0.033550792171481825,0.008162524941048431,0.005147058823529412,0.009285811825754471,0.008730447435431065,0.0,0.010362694300518135,0.015466408893185114,0.015242242787152967,0.0029787234042553193,0.03599374021909233,0.006546990496304118,0.01556420233463035,0.007407407407407408,0.00794351279788173,0.008561643835616438,0.003526922172584058,0.005597014925373134,0.007261247040252565,0.007598784194528876,0.0047169811320754715,0.002717391304347826,0.019487750556792874,0.02539298669891173,0.00532292405961675,0.005929690808979246,0.0024509803921568627,0.010914565299209636,0.007926023778071334,0.003056234718826406,0.0019569471624266144,0.024390243902439025
-9,0.006123535676251331,0.002369106846718787,0.0,0.003955411722402014,0.006827492034592627,0.00943794900690238,0.011117974058060531,0.01201923076923077,0.0,0.01645021645021645,0.006411465208372619,0.006772009029345372,0.011433471487780478,0.008451786400307337,0.02631578947368421,0.0034542314335060447,0.017114914425427872,0.019011406844106463,0.0025684931506849314,0.04552845528455285,0.00867908552074513,0.020224719101123594,0.006756756756756757,0.007911392405063292,0.013559322033898305,0.005425807973578675,0.007157464212678937,0.009399075500770416,0.005766062602965404,0.007095669195008564,0.008086253369272238,0.017376681614349777,0.02161474888747616,0.004296100462656973,0.005615486921826511,0.002386634844868735,0.013927576601671309,0.009340222575516694,0.0,0.0032258064516129032,0.0390625
-8,0.005079006772009029,0.0012755102040816326,0.003205128205128205,0.0024766097963676388,0.005301204819277108,0.008426966292134831,0.012852199703410776,0.01078167115902965,0.0,0.029668411867364748,0.010034814663116936,0.002411575562700965,0.01053274309265761,0.011391375101708706,0.0,0.013289036544850499,0.026571282575370465,0.012422360248447204,0.00267379679144385,0.06422018348623854,0.00600817111271329,0.027896995708154508,0.00980392156862745,0.007259528130671506,0.010869565217391304,0.0029208709506107276,0.0062959076600209865,0.008097863542384563,0.004578754578754579,0.004602403477371516,0.012307692307692308,0.026404494382022473,0.0230566534914361,0.006071428571428571,0.004449718184514981,0.005988023952095809,0.013209393346379647,0.011226780975709328,0.002232142857142857,0.0006261740763932373,0.009523809523809525
-7,0.002819548872180451,0.0015629070070330815,0.003257328990228013,0.002904162633107454,0.007619047619047619,0.010893246187363835,0.013361838588989846,0.006934812760055479,0.0,0.030578512396694214,0.007572479446127218,0.004393673110720563,0.012161330049261085,0.007851239669421488,0.0,0.006688963210702341,0.023084994753410283,0.01071602532878714,0.0014084507042253522,0.03766478342749529,0.006654245408570668,0.024630541871921183,0.0,0.009074410163339383,0.021739130434782608,0.004149377593360996,0.00684931506849315,0.006109979633401222,0.004699248120300752,0.005129520389843549,0.005494505494505495,0.013605442176870748,0.02053388090349076,0.00511135450894487,0.006760909649661954,0.0033444816053511705,0.009951586874663798,0.010010427528675704,0.003762227238525207,0.0012012012012012011,0.023529411764705882
-6,0.002978850163836759,0.002533978346003225,0.0,0.0034936844934157483,0.008710801393728223,0.009512893982808022,0.012162440733869306,0.016574585635359115,0.0,0.02142857142857143,0.010007552870090634,0.004098360655737705,0.011796475270039795,0.010894064613072877,0.0,0.0,0.021245059288537548,0.008512769153730596,0.004472271914132379,0.05539772727272727,0.004627249357326478,0.02575107296137339,0.016666666666666666,0.006369426751592357,0.003393665158371041,0.00785105428443248,0.0009276437847866419,0.007045636509207366,0.010309278350515464,0.005405405405405406,0.012232415902140673,0.017925040738728953,0.02347127856701668,0.006367173682348779,0.007452818848419281,0.005681818181818182,0.012471131639722863,0.0085420306736556,0.004234297812279464,0.0029133284777858705,0.0
-5,0.0034542314335060447,0.002935625917383099,0.0,0.0037756202804746495,0.010714285714285714,0.009652751661025449,0.01240248049609922,0.01432408236347359,0.0,0.028179190751445087,0.00677710843373494,0.006126616746085773,0.00993460764587525,0.009712230215827337,0.0,0.006738544474393531,0.030816640986132512,0.011586901763224182,0.0031496062992125984,0.0296875,0.005563531945441493,0.02813852813852814,0.006289308176100629,0.0049301561216105174,0.01066447908121411,0.004841442749939482,0.007590132827324478,0.008168822328114363,0.006046863189720333,0.0050025012506253125,0.0055248618784530384,0.016866158868335146,0.02604482132041187,0.005689001264222503,0.0064563284200268,0.009107468123861567,0.012466607301869992,0.011902439024390244,0.001937984496124031,0.003854625550660793,0.0
-4,0.005860646841762535,0.004060455673358899,0.0,0.0037343291544411844,0.0054869684499314125,0.011313639220615965,0.010558192830250451,0.028293545534924844,0.0,0.03,0.006407766990291262,0.00821917808219178,0.010442500978984467,0.00945179584120983,0.022222222222222223,0.0,0.022340942204953862,0.014273356401384083,0.0016012810248198558,0.03293413173652695,0.006612410986775178,0.02620967741935484,0.007692307692307693,0.006436041834271922,0.005822416302765648,0.008185538881309686,0.006392694063926941,0.006409146024597263,0.0074682598954443615,0.004440743824590619,0.0027472527472527475,0.014033264033264034,0.027967681789931635,0.0057506053268765135,0.005258237906052816,0.006578947368421052,0.011783827712312069,0.012208865514650639,0.0026362038664323375,0.0033112582781456954,0.0
-3,0.0053355798932884025,0.003929727230698105,0.006230529595015576,0.0026041666666666665,0.004772234273318872,0.007952043063371666,0.013320647002854425,0.022310756972111555,0.0,0.014757554462403373,0.010235230741605315,0.0073284477015323115,0.009532397269096998,0.0078003120124804995,0.0,0.005319148936170213,0.018491484184914843,0.014267729752412925,0.003402646502835539,0.027820710973724884,0.004405933323542371,0.03368421052631579,0.0,0.00558659217877095,0.008910212474297465,0.0040650406504065045,0.002982107355864811,0.008987501755371437,0.0037965072133637054,0.006474103585657371,0.0024937655860349127,0.01284796573875803,0.024788391777509067,0.0043782837127845885,0.006753812636165577,0.0044943820224719105,0.010111649462818622,0.009303208657679893,0.001092896174863388,0.005438066465256798,0.0
