cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.012683916793505834,0.00896969696969697,0.014749262536873156,0.009520975900029753,0.003673469387755102,0.006227758007117438,0.00471253534401508,0.009873060648801129,0.0,0.001786777843954735,0.006506849315068493,0.006184586108468126,0.009877826878086821,0.003898635477582846,0.0,0.012693935119887164,0.015235457063711912,0.015197568389057751,0.007089241034195163,0.007751937984496124,0.0061250805931656995,0.0412573673870334,0.0,0.0014619883040935672,0.01568627450980392,0.0070562293274531425,0.0061403508771929825,0.012155591572123177,0.00881704628949302,0.0035551041137633316,0.002304147465437788,0.0036649214659685864,0.046532438478747204,0.01000312597686777,0.006298781322744078,0.0045662100456621,0.006566604127579738,0.008149010477299184,0.008168028004667444,0.0021990104452996153,0.0
-11,0.008431272355646398,0.0059715204409738175,0.012048192771084338,0.01078894133513149,0.005080440304826418,0.00516795865633075,0.003146119785597763,0.007151370679380214,0.0,0.011219147344801795,0.008293629786483148,0.009059233449477353,0.006907545164718385,0.0063784549964564135,0.0,0.001488095238095238,0.009259259259259259,0.013234515616728428,0.005684302579798863,0.015822784810126583,0.006731488406881077,0.027777777777777776,0.02459016393442623,0.003996802557953637,0.006745362563237774,0.008986744551786115,0.004784688995215311,0.010479251082855945,0.00680786686838124,0.0035931453841901604,0.0025,0.005771248688352571,0.05383153894870171,0.007516339869281046,0.006744414781509063,0.0,0.008128016256032511,0.008815088150881509,0.014644351464435146,0.001072961373390558,0.0234375
-10,0.006969540526587507,0.0046864539165364875,0.02456140350877193,0.009071117561683599,0.006216696269982238,0.003439052350019106,0.004446282700858236,0.010778443113772455,0.0,0.010251630941286114,0.006348630509704335,0.004411764705882353,0.009012699713232281,0.0029101491451436886,0.0,0.0017271157167530224,0.01014983083615273,0.014697876973326075,0.00723404255319149,0.00782472613458529,0.006124604012671594,0.03501945525291829,0.014814814814814815,0.00529567519858782,0.018835616438356163,0.007994356924523865,0.0037313432835820895,0.011681136543014996,0.0022796352583586625,0.0033018867924528303,0.002717391304347826,0.007238307349665924,0.06348246674727932,0.008871540099361249,0.005223775236481717,0.004901960784313725,0.006774557771923222,0.007171164370635969,0.017114914425427872,0.0014677103718199608,0.008130081300813009
-9,0.006123535676251331,0.007107320540156361,0.0,0.008270406328658756,0.007282658170232135,0.005775461332582054,0.003911879761169446,0.010817307692307692,0.0,0.01645021645021645,0.006788610220629833,0.012039127163280662,0.0068600828926682865,0.0034575489819439107,0.0,0.0069084628670120895,0.009290953545232274,0.008690928843020097,0.007277397260273972,0.0032520325203252032,0.0071972904318374255,0.035955056179775284,0.0,0.0,0.010169491525423728,0.009672092474640246,0.006134969325153374,0.011093990755007704,0.004118616144975288,0.005138243210178615,0.0026954177897574125,0.007847533632286996,0.05848696757787667,0.005287508261731659,0.006945470666469632,0.007159904534606206,0.007892293407613741,0.007352941176470588,0.01592797783933518,0.003763440860215054,0.0234375
-8,0.006207674943566591,0.00739795918367347,0.01282051282051282,0.00825536598789213,0.0038554216867469878,0.005091292134831461,0.0046959960454770145,0.005390835579514825,0.0,0.013089005235602094,0.006758140487405284,0.00482315112540193,0.007937719432147763,0.0028478437754271765,0.0,0.0033222591362126247,0.010219724067450179,0.006775832862789385,0.006238859180035651,0.0045871559633027525,0.008171112713290074,0.04721030042918455,0.00980392156862745,0.0054446460980036296,0.006521739130434782,0.009559214020180564,0.0031479538300104933,0.011199172984148863,0.013736263736263736,0.0017898235745333673,0.0,0.007303370786516854,0.06258234519104085,0.008928571428571428,0.0071195490952239695,0.011976047904191617,0.007338551859099804,0.005919575423555827,0.011904761904761904,0.007514088916718848,0.009523809523809525
-7,0.005325814536340852,0.005470174524615785,0.013029315960912053,0.00935785737334624,0.004761904761904762,0.008547008547008548,0.003874933190807055,0.015256588072122053,0.0,0.005785123966942148,0.008437905668541757,0.01054481546572935,0.0083128078817734,0.00371900826446281,0.0,0.0016722408026755853,0.0062959076600209865,0.0063321967851924016,0.004694835680751174,0.003766478342749529,0.010646792653713068,0.03201970443349754,0.00819672131147541,0.0,0.0,0.00951916036123993,0.00228310502283105,0.010183299389002037,0.005639097744360902,0.0043600923313670175,0.008241758241758242,0.006802721088435374,0.0485968514715948,0.009492515516611903,0.005838967424708051,0.010033444816053512,0.005110274341043572,0.006256517205422315,0.012791572610985704,0.005405405405405406,0.011764705882352941
-6,0.005659815311289842,0.0034554250172771253,0.021604938271604937,0.0067186240257995165,0.005662020905923345,0.007679083094555874,0.00484436198721913,0.008839779005524863,0.0,0.00873015873015873,0.007930513595166163,0.007513661202185792,0.00824332006822058,0.005259203606311044,0.0,0.008183306055646482,0.010869565217391304,0.026039058587881823,0.004025044722719142,0.014204545454545454,0.00856898029134533,0.045064377682403435,0.016666666666666666,0.0015923566878980893,0.02262443438914027,0.008524001794526694,0.0037105751391465678,0.009607686148919135,0.011102299762093577,0.0029484029484029483,0.0061162079510703364,0.010320478001086366,0.04694255713403336,0.008135833038556774,0.0046880634691669676,0.011363636363636364,0.008314087759815243,0.007571345369831101,0.015525758645024701,0.0029133284777858705,0.02702702702702703
-5,0.0057570523891767415,0.005242189138184106,0.0028011204481792717,0.011057173678532902,0.002232142857142857,0.006393380970289583,0.005601120224044809,0.008057296329453895,0.0,0.01300578034682081,0.005835843373493976,0.005445881552076242,0.008048289738430584,0.003956834532374101,0.0,0.006738544474393531,0.009244992295839754,0.017632241813602016,0.007086614173228346,0.009375,0.008793969849246231,0.03463203463203463,0.006289308176100629,0.003286770747740345,0.018867924528301886,0.012103606874848705,0.007590132827324478,0.009019741320626277,0.01436130007558579,0.005502751375687844,0.0055248618784530384,0.008705114254624592,0.041792852816474865,0.00695322376738306,0.006334510902667804,0.012750455373406194,0.007346393588601959,0.010341463414634147,0.013565891472868217,0.003854625550660793,0.0
-4,0.006728890818319948,0.006090683510038349,0.0031446540880503146,0.010669511869831956,0.00594421582075903,0.007668133249528598,0.0030283188737927646,0.009725906277630416,0.0,0.008571428571428572,0.008155339805825243,0.009589041095890411,0.009267719618848714,0.0026465028355387526,0.0,0.009915014164305949,0.010199125789218067,0.006487889273356401,0.0040032025620496394,0.008982035928143712,0.0076297049847405905,0.036290322580645164,0.0,0.002413515687851971,0.017467248908296942,0.009777171441564347,0.01004566210045662,0.012818292049194525,0.004480955937266617,0.0036081043574798777,0.0027472527472527475,0.006756756756756757,0.054070851460534496,0.00847457627118644,0.007828931993456415,0.013157894736842105,0.00690776107273466,0.007325319308790383,0.008787346221441126,0.005518763796909493,0.009345794392523364
-3,0.010671159786576805,0.003236245954692557,0.012461059190031152,0.010677083333333334,0.0039045553145336228,0.0064839735747492045,0.003044719314938154,0.011155378486055778,0.0,0.006324666198172874,0.008439576225534207,0.007994670219853431,0.009145948731160633,0.0046801872074883,0.0,0.007978723404255319,0.007785888077858881,0.01258917331095258,0.003402646502835539,0.00463678516228748,0.009693053311793215,0.03368421052631579,0.024793388429752067,0.007182761372705506,0.017135023989033583,0.00741272118603539,0.007952286282306162,0.012217385198708047,0.009870918754745633,0.0034860557768924302,0.0024937655860349127,0.006959314775160599,0.05804111245465538,0.005837711617046118,0.00849673202614379,0.008988764044943821,0.0067410996418790815,0.009872792861211316,0.003278688524590164,0.004229607250755287,0.02197802197802198
