cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.064,0.0,0.0,0.02040816326530612,0.03508771929824561,0.09627329192546584,0.05357142857142857,0.1724137931034483,0.0,0.09848484848484848,0.09444444444444444,0.022727272727272728,0.12093023255813953,0.08421052631578947,0.0,0.07142857142857142,0.15508021390374332,0.125,0.02702702702702703,0.46511627906976744,0.07042253521126761,0.10714285714285714,0.2857142857142857,0.11538461538461539,0.05,0.04838709677419355,0.1111111111111111,0.07177033492822966,0.058823529411764705,0.1791044776119403,0.0,0.07792207792207792,0.3764705882352941,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.047337278106508875,0.14084507042253522,0.17647058823529413,0.0,0.2
-11,0.0625,0.0,0.0,0.04225352112676056,0.03125,0.07792207792207792,0.051675977653631286,0.08695652173913043,0.0,0.1504424778761062,0.07368421052631578,0.06666666666666667,0.14285714285714285,0.18354430379746836,0.0,0.0,0.16753926701570682,0.13978494623655913,0.06666666666666667,0.32727272727272727,0.0784313725490196,0.06976744186046512,0.0,0.06382978723404255,0.045454545454545456,0.08602150537634409,0.0425531914893617,0.057777777777777775,0.046153846153846156,0.20588235294117646,0.0,0.06060606060606061,0.38461538461538464,0.04878048780487805,0.06077348066298342,0.13333333333333333,0.1,0.12173913043478261,0.045454545454545456,0.15384615384615385,0.0
-10,0.10185185185185185,0.0,0.0,0.05333333333333334,0.038461538461538464,0.0620384047267356,0.0494148244473342,0.125,0.0,0.13076923076923078,0.07317073170731707,0.1,0.09289617486338798,0.11864406779661017,0.0,0.1111111111111111,0.12698412698412698,0.1,0.1,0.3958333333333333,0.09166666666666666,0.07692307692307693,0.0,0.05555555555555555,0.02564102564102564,0.027777777777777776,0.22727272727272727,0.07196969696969698,0.109375,0.2,0.0,0.07236842105263158,0.3541666666666667,0.0547945205479452,0.09042553191489362,0.125,0.1522633744855967,0.10650887573964497,0.05263157894736842,0.08108108108108109,0.2222222222222222
-9,0.12790697674418605,0.0,0.0,0.05660377358490566,0.03773584905660377,0.09631728045325778,0.05970149253731343,0.125,0.0,0.08849557522123894,0.06666666666666667,0.019230769230769232,0.15517241379310345,0.09803921568627451,0.0,0.06666666666666667,0.11904761904761904,0.10091743119266056,0.0,0.4107142857142857,0.0759493670886076,0.0,0.0,0.14893617021276595,0.029850746268656716,0.10843373493975904,0.2,0.11152416356877323,0.1,0.18333333333333332,0.2,0.058394160583941604,0.32926829268292684,0.06153846153846154,0.07216494845360824,0.0,0.16748768472906403,0.16447368421052633,0.0,0.07142857142857142,0.25
-8,0.05102040816326531,0.0,0.0,0.037037037037037035,0.0,0.08571428571428572,0.05077574047954866,0.19047619047619047,0.0,0.13953488372093023,0.0975609756097561,0.04878048780487805,0.12716763005780346,0.16379310344827586,0.0,0.0,0.2268041237113402,0.11607142857142858,0.05128205128205128,0.359375,0.06802721088435375,0.2608695652173913,0.0,0.08163265306122448,0.0,0.014492753623188406,0.03571428571428571,0.100418410041841,0.025,0.109375,0.125,0.0949367088607595,0.4262295081967213,0.047619047619047616,0.049079754601226995,0.0,0.12340425531914893,0.1793478260869565,0.045454545454545456,0.0,0.0
-7,0.021505376344086023,0.020833333333333332,0.0,0.0136986301369863,0.10526315789473684,0.08904109589041095,0.06676557863501484,0.15789473684210525,0.0,0.13245033112582782,0.07633587786259542,0.0967741935483871,0.14130434782608695,0.07207207207207207,0.0,0.0625,0.16666666666666666,0.1276595744680851,0.025,0.34782608695652173,0.07291666666666667,0.18181818181818182,0.0,0.15384615384615385,0.0,0.06896551724137931,0.15384615384615385,0.07407407407407407,0.05660377358490566,0.1836734693877551,0.0,0.05555555555555555,0.39622641509433965,0.06097560975609756,0.05504587155963303,0.09090909090909091,0.12280701754385964,0.16546762589928057,0.08695652173913043,0.0,0.3333333333333333
-6,0.02564102564102564,0.01694915254237288,0.0,0.02631578947368421,0.1,0.07991803278688525,0.06315789473684211,0.21212121212121213,0.0,0.11258278145695365,0.06111111111111111,0.11764705882352941,0.11320754716981132,0.10714285714285714,0.0,0.0,0.16042780748663102,0.07692307692307693,0.041666666666666664,0.3804347826086957,0.05384615384615385,0.045454545454545456,0.0,0.07692307692307693,0.11764705882352941,0.12658227848101267,0.058823529411764705,0.06611570247933884,0.13725490196078433,0.10256410256410256,0.0,0.09937888198757763,0.2803738317757009,0.07246376811594203,0.0873015873015873,0.1,0.14795918367346939,0.1590909090909091,0.14814814814814814,0.05555555555555555,0.0
-5,0.07547169811320754,0.05970149253731343,0.0,0.06349206349206349,0.11764705882352941,0.0660377358490566,0.05172413793103448,0.18181818181818182,0.0,0.15,0.075,0.07142857142857142,0.12796208530805686,0.10101010101010101,0.0,0.16666666666666666,0.18023255813953487,0.07964601769911504,0.01818181818181818,0.1625,0.09401709401709402,0.14285714285714285,0.0,0.16666666666666666,0.0851063829787234,0.058823529411764705,0.16129032258064516,0.08260869565217391,0.05454545454545454,0.1875,0.0,0.05847953216374269,0.3815789473684211,0.05813953488372093,0.06640625,0.1875,0.15695067264573992,0.14917127071823205,0.07142857142857142,0.10526315789473684,0.0
-4,0.09090909090909091,0.05172413793103448,0.0,0.04054054054054054,0.0,0.07770961145194274,0.06149193548387097,0.28846153846153844,0.0,0.13020833333333334,0.06451612903225806,0.10256410256410256,0.12982456140350876,0.064,0.0,0.0,0.147239263803681,0.08743169398907104,0.045454545454545456,0.2535211267605634,0.1,0.0,0.0,0.15217391304347827,0.0,0.08080808080808081,0.05,0.07537688442211055,0.05660377358490566,0.06060606060606061,0.0,0.04433497536945813,0.3711340206185567,0.05263157894736842,0.0625,0.06666666666666667,0.148,0.1783783783783784,0.0,0.0,0.0
-3,0.05309734513274336,0.0,0.2857142857142857,0.0425531914893617,0.02857142857142857,0.061269146608315096,0.06535947712418301,0.2807017543859649,0.0,0.07236842105263158,0.08173076923076923,0.025,0.11952191235059761,0.07317073170731707,0.0,0.07692307692307693,0.15254237288135594,0.1610738255033557,0.014492753623188406,0.2125,0.0440251572327044,0.2727272727272727,0.0,0.0784313725490196,0.0,0.03333333333333333,0.06976744186046512,0.06764705882352941,0.06153846153846154,0.15384615384615385,0.0,0.043478260869565216,0.35106382978723405,0.06930693069306931,0.07,0.0,0.12562814070351758,0.13440860215053763,0.05555555555555555,0.041666666666666664,0.25
