cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.12102874432677761,0.06809338521400778,0.13636363636363635,0.14906832298136646,0.07255520504731862,0.13404255319148936,0.06942675159235669,0.24603174603174602,0.0,0.11074918566775244,0.1704081632653061,0.11036789297658862,0.09662398137369034,0.1088646967340591,0.3333333333333333,0.09523809523809523,0.21608040201005024,0.177319587628866,0.08764940239043825,0.04819277108433735,0.21723646723646722,0.3707865168539326,0.13793103448275862,0.12949640287769784,0.08163265306122448,0.22846781504986402,0.1875,0.17011834319526628,0.13310580204778158,0.28726877040261156,0.05128205128205128,0.1346153846153846,0.23626373626373626,0.18208516886930984,0.1281437125748503,0.14049586776859505,0.1381957773512476,0.2515212981744422,0.15151515151515152,0.10232558139534884,0.06666666666666667
-11,0.1008,0.07640067911714771,0.16853932584269662,0.1296551724137931,0.08666666666666667,0.11649428415895481,0.05152394775036284,0.1509433962264151,0.0,0.1518987341772152,0.15945089757127773,0.136986301369863,0.10804851157662625,0.1037567084078712,0.2,0.1,0.23462414578587698,0.19196428571428573,0.11088709677419355,0.05970149253731343,0.1842948717948718,0.27884615384615385,0.13043478260869565,0.10108303249097472,0.09701492537313433,0.2093244529019981,0.20557491289198607,0.15261813537675606,0.16151202749140894,0.2538552787663108,0.13333333333333333,0.1586021505376344,0.256,0.1759656652360515,0.12621951219512195,0.22033898305084745,0.13213213213213212,0.26255088195386705,0.12403100775193798,0.046413502109704644,0.18181818181818182
-10,0.10094637223974763,0.07664670658682635,0.0975609756097561,0.1411229135053111,0.07482993197278912,0.09457579972183588,0.05652173913043478,0.1956521739130435,0.0,0.1643835616438356,0.15223880597014924,0.12980769230769232,0.09118236472945891,0.12338858195211787,0.2,0.1348314606741573,0.2023529411764706,0.22325581395348837,0.07806691449814127,0.11940298507462686,0.18817651956702747,0.14018691588785046,0.2,0.12946428571428573,0.12698412698412698,0.20331186752529898,0.19667590027700832,0.1688951442646024,0.07692307692307693,0.2649379932356257,0.05263157894736842,0.10989010989010989,0.24302788844621515,0.16552901023890784,0.12396694214876033,0.1623931623931624,0.1366181410974244,0.24149214659685864,0.18340611353711792,0.07272727272727272,0.08333333333333333
-9,0.09326424870466321,0.08500772797527048,0.17045454545454544,0.12354651162790697,0.0847457627118644,0.11088011088011088,0.060272197018794556,0.125,0.0,0.1827956989247312,0.1755379388448471,0.09389671361502347,0.08581644815256258,0.11962616822429907,0.1111111111111111,0.16326530612244897,0.18421052631578946,0.17312072892938496,0.1,0.041666666666666664,0.20537261698440207,0.2717391304347826,0.15789473684210525,0.0912280701754386,0.11475409836065574,0.22420262664165103,0.21575342465753425,0.15967523680649526,0.14334470989761092,0.29088913282107576,0.125,0.0875,0.21153846153846154,0.16051136363636365,0.12439613526570048,0.1346153846153846,0.17989417989417988,0.24240177909562638,0.15976331360946747,0.06172839506172839,0.09090909090909091
-8,0.0989399293286219,0.07086614173228346,0.1518987341772152,0.1481113320079523,0.05154639175257732,0.137221269296741,0.05829596412556054,0.17142857142857143,0.0,0.20994475138121546,0.1743119266055046,0.0913978494623656,0.10181818181818182,0.11178861788617886,0.5,0.12037037037037036,0.24813895781637718,0.22842639593908629,0.07093821510297482,0.044444444444444446,0.18126888217522658,0.2682926829268293,0.10344827586206896,0.1059322033898305,0.06796116504854369,0.20846905537459284,0.17747440273037543,0.17995444191343962,0.13186813186813187,0.25906735751295334,0.13793103448275862,0.1298342541436464,0.2886178861788618,0.16420118343195267,0.13555291319857313,0.25333333333333335,0.17462482946793997,0.25748502994011974,0.1437908496732026,0.06443298969072164,0.0
-7,0.1252336448598131,0.09122203098106713,0.1782178217821782,0.15053763440860216,0.06428571428571428,0.1311861743912019,0.060882800608828,0.18253968253968253,0.0,0.19791666666666666,0.15566625155666253,0.08045977011494253,0.08147174770039421,0.11262135922330097,0.0,0.09565217391304348,0.18571428571428572,0.17391304347826086,0.09210526315789473,0.11363636363636363,0.15852334419109662,0.16883116883116883,0.16666666666666666,0.10970464135021098,0.3333333333333333,0.2147239263803681,0.20446096654275092,0.1935483870967742,0.13924050632911392,0.2413793103448276,0.0,0.10451977401129943,0.2631578947368421,0.17377567140600317,0.1250814332247557,0.15853658536585366,0.17424242424242425,0.27130570758405004,0.11392405063291139,0.07235142118863049,0.2
-6,0.12264150943396226,0.07261724659606657,0.1917808219178082,0.1822759315206445,0.06962025316455696,0.11363636363636363,0.05793450881612091,0.19021739130434784,0.0,0.17194570135746606,0.17974971558589306,0.07441860465116279,0.10022779043280182,0.09565217391304348,0.0,0.1282051282051282,0.20304568527918782,0.22972972972972974,0.0995850622406639,0.07,0.2086899275839368,0.16666666666666666,0.14285714285714285,0.07936507936507936,0.1976284584980237,0.21262766945218198,0.20795107033639143,0.15535339398180545,0.10543130990415335,0.2809573361082206,0.05405405405405406,0.12078651685393259,0.29107981220657275,0.14219474497681608,0.10499227997941328,0.22727272727272727,0.18741450068399454,0.24877365101611773,0.08187134502923976,0.08408408408408409,0.0
-5,0.08661417322834646,0.17639257294429708,0.16883116883116883,0.17575187969924813,0.076158940397351,0.11657142857142858,0.060733613950691524,0.21025641025641026,0.0,0.21171171171171171,0.15261958997722094,0.06542056074766354,0.0814070351758794,0.12400635930047695,0.0,0.18421052631578946,0.25761772853185594,0.19248826291079812,0.09292929292929293,0.03409090909090909,0.20537714712471994,0.21052631578947367,0.046511627906976744,0.0846774193548387,0.17747440273037543,0.20412371134020618,0.2116564417177914,0.172821270310192,0.11145510835913312,0.28335056876938985,0.10526315789473684,0.09302325581395349,0.3106060606060606,0.1476407914764079,0.12520503007107708,0.1232876712328767,0.16981132075471697,0.2762589928057554,0.02564102564102564,0.08029197080291971,0.1111111111111111
-4,0.08355437665782493,0.09281437125748503,0.18823529411764706,0.1544327931363203,0.07142857142857142,0.10904872389791183,0.06127574083375188,0.15639810426540285,0.0,0.2171945701357466,0.1746031746031746,0.11210762331838565,0.09745293466223699,0.15760869565217392,0.0,0.1984732824427481,0.225,0.24956672443674177,0.1001926782273603,0.010752688172043012,0.20734194425560842,0.208955223880597,0.175,0.10830324909747292,0.19855595667870035,0.20754716981132076,0.20298507462686566,0.19287374128582493,0.13015873015873017,0.28205128205128205,0.17647058823529413,0.09855072463768116,0.3346938775510204,0.16289592760180996,0.1430722891566265,0.15517241379310345,0.12672521957340024,0.27424982554082344,0.06557377049180328,0.06666666666666667,0.0625
-3,0.1094224924012158,0.08466453674121406,0.2535211267605634,0.15718418514946964,0.08305647840531562,0.10590858416945373,0.05385556915544676,0.2581967213114754,0.0,0.18269230769230768,0.16043956043956045,0.10616438356164383,0.10474090407938258,0.12365591397849462,1.0,0.13008130081300814,0.14617169373549885,0.1659919028340081,0.11904761904761904,0.043478260869565216,0.2120291616038882,0.18666666666666668,0.08,0.058091286307053944,0.2089041095890411,0.21283095723014256,0.21323529411764705,0.17283163265306123,0.10996563573883161,0.2694805194805195,0.02,0.12121212121212122,0.328125,0.16395663956639567,0.1521933751119069,0.1694915254237288,0.1656210790464241,0.26375982844889206,0.06862745098039216,0.09762532981530343,0.25
