cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0708215297450425,0.043478260869565216,0.078125,0.07451403887688984,0.06374501992031872,0.05848291835552982,0.03965014577259475,0.11627906976744186,0.0,0.06901840490797546,0.09692206941715782,0.05818181818181818,0.04854368932038835,0.062095730918499355,0.06666666666666667,0.11351351351351352,0.128,0.1222707423580786,0.02959830866807611,0.04516129032258064,0.0987573577501635,0.11827956989247312,0.2777777777777778,0.03488372093023256,0.05357142857142857,0.09923076923076923,0.1254125412541254,0.09381107491856677,0.05090909090909091,0.15497835497835497,0.04477611940298507,0.06756756756756757,0.23893805309734514,0.08011869436201781,0.053629469122426866,0.12844036697247707,0.10662358642972536,0.13592946362968406,0.06532663316582915,0.02891566265060241,0.0
-11,0.06402439024390244,0.04617117117117117,0.08823529411764706,0.08964646464646464,0.046908315565031986,0.049648162627052385,0.045779685264663805,0.0972972972972973,0.0,0.12135922330097088,0.09372746935832732,0.05818181818181818,0.06087824351297405,0.06965174129353234,0.2222222222222222,0.10759493670886076,0.13214990138067062,0.10278372591006424,0.07349081364829396,0.04093567251461988,0.08487084870848709,0.1686746987951807,0.06666666666666667,0.03802281368821293,0.056451612903225805,0.10664605873261206,0.10967741935483871,0.08288639687957094,0.07364341085271318,0.1636904761904762,0.06451612903225806,0.04,0.19158878504672897,0.07894736842105263,0.05680539932508436,0.10483870967741936,0.09899749373433583,0.1257005604483587,0.072992700729927,0.03153153153153153,0.08695652173913043
-10,0.0703851261620186,0.05023364485981308,0.06557377049180328,0.08664772727272728,0.05504587155963303,0.04364326375711575,0.0379041248606466,0.07407407407407407,0.0,0.09192200557103064,0.09923664122137404,0.0498220640569395,0.05971769815418024,0.07796101949025487,0.06666666666666667,0.06206896551724138,0.13733905579399142,0.14184397163120568,0.056074766355140186,0.029239766081871343,0.08485856905158069,0.1,0.11538461538461539,0.026262626262626262,0.0297029702970297,0.10289389067524116,0.12582781456953643,0.10933660933660934,0.06642066420664207,0.13964686998394862,0.02857142857142857,0.05078125,0.23114355231143552,0.08149405772495756,0.07378854625550661,0.10784313725490197,0.0847145488029466,0.13031358885017422,0.12627986348122866,0.03837471783295711,0.0
-9,0.0728862973760933,0.045936395759717315,0.09259259259259259,0.08333333333333333,0.06373626373626373,0.048870204939569103,0.059336823734729496,0.12658227848101267,0.0,0.11508951406649616,0.1073170731707317,0.08163265306122448,0.065439672801636,0.07075471698113207,0.0,0.07006369426751592,0.12076271186440678,0.10287081339712918,0.0851063829787234,0.03184713375796178,0.10369068541300527,0.13636363636363635,0.045454545454545456,0.0374331550802139,0.08080808080808081,0.10192147034252297,0.09578544061302682,0.10670553935860058,0.06666666666666667,0.15923009623797024,0.014084507042253521,0.04680851063829787,0.21584699453551912,0.07526881720430108,0.05785627283800244,0.0660377358490566,0.10718789407313997,0.13941605839416057,0.13716814159292035,0.04295942720763723,0.05263157894736842
-8,0.05595408895265423,0.041499330655957165,0.09615384615384616,0.07108549471661864,0.05568445475638051,0.06381620931716656,0.03991596638655462,0.13432835820895522,0.0,0.1278409090909091,0.09141055949566587,0.04918032786885246,0.08022598870056497,0.04088586030664395,0.06666666666666667,0.1037037037037037,0.13785557986870897,0.09466019417475728,0.07769423558897243,0.06896551724137931,0.10899182561307902,0.09859154929577464,0.25,0.02976190476190476,0.07291666666666667,0.09323583180987204,0.12903225806451613,0.0928122819260293,0.05527638190954774,0.15348837209302327,0.02040816326530612,0.04225352112676056,0.23529411764705882,0.08362369337979095,0.054354539839407044,0.10891089108910891,0.1032171581769437,0.12021857923497267,0.09871244635193133,0.046703296703296704,0.07142857142857142
-7,0.06047197640117994,0.04604486422668241,0.05357142857142857,0.10063694267515924,0.05605381165919283,0.050720100187852224,0.03967611336032389,0.09868421052631579,0.0,0.15584415584415584,0.1021209740769835,0.07857142857142857,0.0835214446952596,0.06791171477079797,0.08333333333333333,0.06622516556291391,0.1360824742268041,0.09812108559498957,0.07482993197278912,0.04032258064516129,0.10285714285714286,0.08620689655172414,0.125,0.03838383838383838,0.0,0.08915054667788057,0.11739130434782609,0.09987515605493133,0.04784688995215311,0.15301530153015303,0.06944444444444445,0.034782608695652174,0.22625698324022347,0.07504363001745201,0.059844404548174746,0.08433734939759036,0.10571428571428572,0.12734082397003746,0.049107142857142856,0.054187192118226604,0.2
-6,0.0790273556231003,0.04312354312354312,0.06557377049180328,0.09191919191919191,0.06823027718550106,0.050046772684752105,0.046511627906976744,0.08333333333333333,0.0,0.12202380952380952,0.08411214953271028,0.020905923344947737,0.07102593010146561,0.056162246489859596,0.2222222222222222,0.168,0.1341991341991342,0.1936127744510978,0.1087866108786611,0.046153846153846156,0.10853739245532759,0.15789473684210525,0.16666666666666666,0.025500910746812388,0.0421455938697318,0.09288702928870293,0.15471698113207547,0.11273613650213285,0.10980392156862745,0.16603415559772297,0.058823529411764705,0.058577405857740586,0.2557471264367816,0.08242612752721618,0.05631868131868132,0.08333333333333333,0.1507537688442211,0.13477924089852827,0.06818181818181818,0.040625,0.1
-5,0.06212121212121212,0.04269662921348315,0.038461538461538464,0.08342602892102335,0.05569007263922518,0.052576782925559604,0.04784978800726832,0.14220183486238533,0.0,0.14351851851851852,0.12125863392171911,0.06319702602230483,0.07209737827715355,0.06907378335949764,0.09090909090909091,0.08585858585858586,0.13729977116704806,0.15670103092783505,0.09233791748526522,0.07692307692307693,0.11406025824964132,0.06756756756756757,0.07407407407407407,0.036036036036036036,0.08860759493670886,0.09454855195911414,0.11895910780669144,0.11954992967651196,0.12167300380228137,0.15839694656488548,0.07272727272727272,0.04435483870967742,0.2809917355371901,0.05572755417956656,0.06628516928946114,0.07692307692307693,0.0984251968503937,0.12970069071373752,0.03636363636363636,0.05314009661835749,0.0
-4,0.0408673894912427,0.028469750889679714,0.14814814814814814,0.07190265486725664,0.06047516198704104,0.061355764473033154,0.035551880942538236,0.14736842105263157,0.0,0.11345646437994723,0.1151603498542274,0.044673539518900345,0.08176795580110498,0.07248764415156507,0.14285714285714285,0.08791208791208792,0.13543599257884972,0.13129102844638948,0.07114624505928854,0.07092198581560284,0.09862068965517241,0.10638297872340426,0.037037037037037035,0.049523809523809526,0.07837837837837838,0.10481825866441251,0.10256410256410256,0.09980557355800389,0.04477611940298507,0.16967871485943775,0.07936507936507936,0.048,0.22305764411027568,0.06606606606606606,0.05777360263034288,0.06930693069306931,0.07969432314410481,0.10825132475397427,0.0223463687150838,0.05,0.0
-3,0.06162464985994398,0.04353083434099154,0.06779661016949153,0.07684426229508197,0.05161290322580645,0.05804230201672405,0.03802281368821293,0.13709677419354838,0.0,0.17752808988764046,0.11362126245847176,0.06181818181818182,0.09753787878787878,0.07705479452054795,0.1,0.105,0.11410788381742738,0.08849557522123894,0.08384458077709611,0.044444444444444446,0.12360211889346674,0.18666666666666668,0.0,0.03893805309734513,0.09495548961424333,0.08793103448275862,0.14838709677419354,0.10372771474878444,0.09090909090909091,0.1771019677996422,0.05555555555555555,0.048034934497816595,0.2711864406779661,0.08333333333333333,0.0702234382124943,0.1111111111111111,0.0967391304347826,0.12920089619118746,0.046153846153846156,0.0374331550802139,0.1
-2,0.06438356164383562,0.041766109785202864,0.1016949152542373,0.10951760104302477,0.05263157894736842,0.05314685314685315,0.04263157894736842,0.12608695652173912,0.0,0.14565217391304347,0.11178045515394913,0.08503401360544217,0.06902985074626866,0.08450704225352113,0.0,0.07142857142857142,0.11752988047808766,0.11610486891385768,0.1049618320610687,0.03305785123966942,0.12265193370165746,0.07792207792207792,0.11764705882352941,0.030612244897959183,0.09289617486338798,0.08630952380952381,0.14603174603174604,0.11152219873150106,0.03180212014134275,0.17252657399836469,0.058823529411764705,0.048034934497816595,0.21246458923512748,0.069164265129683,0.06521739130434782,0.11,0.08192090395480225,0.1261852662290299,0.04878048780487805,0.07311320754716981,0.15384615384615385
-1,0.07381370826010544,0.032432432432432434,0.0967741935483871,0.09213250517598344,0.03456221198156682,0.04907651715039578,0.04709936817920735,0.15139442231075698,0.0,0.11538461538461539,0.1012491781722551,0.06382978723404255,0.06723484848484848,0.06134094151212553,0.0,0.10091743119266056,0.14078674948240166,0.14476190476190476,0.12761904761904763,0.04411764705882353,0.11092806150466776,0.06451612903225806,0.16666666666666666,0.054385964912280704,0.07222222222222222,0.09717868338557993,0.1488673139158576,0.1094017094017094,0.026022304832713755,0.1453900709219858,0.05084745762711865,0.04888888888888889,0.2351421188630491,0.06993006993006994,0.06825469537333945,0.08163265306122448,0.0787716955941255,0.11904761904761904,0.05263157894736842,0.04645476772616137,0.125
0,0.05615942028985507,0.04118268215417107,0.047619047619047616,0.09815950920245399,0.04783599088838269,0.04709965294992563,0.03397773872290568,0.09486166007905138,0.0,0.1324200913242009,0.10153640614562458,0.06461538461538462,0.06373626373626373,0.07162534435261708,0.0,0.08823529411764706,0.1643002028397566,0.13258426966292136,0.0845771144278607,0.03614457831325301,0.12667478684531058,0.09230769230769231,0.125,0.0416,0.07971014492753623,0.0828125,0.132890365448505,0.11218335343787696,0.05844155844155844,0.17398648648648649,0.05357142857142857,0.053811659192825115,0.20579710144927535,0.05603448275862069,0.07771260997067449,0.07017543859649122,0.09575923392612859,0.11294765840220386,0.058394160583941604,0.08604651162790698,0.0625
1,0.0589171974522293,0.03665521191294387,0.125,0.09691629955947137,0.028503562945368172,0.051606108478146395,0.03205495134516314,0.11940298507462686,0.0,0.12660944206008584,0.10691003911342895,0.0625,0.053554040895813046,0.07111111111111111,0.0,0.09090909090909091,0.15074309978768577,0.18545454545454546,0.10097087378640776,0.07142857142857142,0.1349527665317139,0.03409090909090909,0.21428571428571427,0.043343653250773995,0.06971153846153846,0.08841201716738198,0.1180327868852459,0.11104783599088838,0.09386281588447654,0.16730917501927525,0.07017543859649122,0.02727272727272727,0.208955223880597,0.06332842415316642,0.06848072562358276,0.07207207207207207,0.09742895805142084,0.12284334023464458,0.03937007874015748,0.07236842105263158,0.17647058823529413
