cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.027531355154481494,0.022045855379188715,0.02127659574468085,0.011160714285714284,0.054817275747508304,0.03667808952666524,0.04501059072722994,0.0,0.027624309392265192,0.043803041018387556,0.035580021482277124,0.04852357609710551,0.05415617128463476,0.0,0.043478260869565216,0.00587557603686636,0.017419662742602607,0.0,0.02634245187436677,0.041666666666666664,0.25,0.0007263922518159806,0.014492753623188406,0.004482657260435039,0.0106951871657754,0.0,0.0,0.01749271137026239,0.006666666666666667,0.09481668773704173,0.03110073816760747,0.07804232804232804,0.0,0.010752688172043012,0.038795518207282914
-11,0.018492377188029364,0.03383458646616542,0.012605042016806723,0.03458049886621315,0.0469187675070028,0.08341836734693878,0.04822305354220248,0.045454545454545456,0.012422360248447204,0.03328303152246814,0.01579203109815355,0.05651113335001252,0.06075655114116652,0.0,0.045454545454545456,0.0036363636363636364,0.024388402295379037,0.0,0.03180803571428571,0.0,0.0,0.0,0.04938271604938271,0.018756423432682426,0.006868131868131868,0.009259259259259259,0.0,0.023623511904761904,0.0,0.11659663865546217,0.04134440400363967,0.05292985457656116,0.0,0.01725521669341894,0.05319148936170213
-10,0.0260989010989011,0.02711845607808341,0.0,0.013953488372093023,0.02040816326530612,0.026381401617250676,0.036489479512735325,0.0,0.0,0.04159195058776649,0.044444444444444446,0.0547924297924298,0.06938044034818229,0.0,0.0,0.007272727272727273,0.04338842975206612,0.0,0.04153555695405916,0.05263157894736842,0.0,0.0013139034878165313,0.04678068410462776,0.011946459844883663,0.013157894736842105,0.037267080745341616,0.0,0.021018455228981544,0.005434782608695652,0.1076388888888889,0.024117239787675975,0.052188940092165896,0.0,0.008928571428571428,0.06640625
-9,0.031818181818181815,0.014792550683639794,0.0,0.029707792207792207,0.05263157894736842,0.04036854103343465,0.034151193633952255,0.0,0.03225806451612903,0.035160965794768614,0.018643306379155438,0.05673662830060934,0.07231196365471984,0.0,0.0,0.007326007326007326,0.023683414043583536,0.0,0.030313588850174218,0.0,0.0,0.0,0.044768611670020116,0.012187174139728885,0.0,0.02196223316912972,0.0,0.03404017857142857,0.0,0.07552320291173795,0.03781512605042017,0.06241655540720961,0.0,0.0156062424969988,0.03354155350353069
-8,0.038661581137309296,0.023849272597185788,0.023255813953488372,0.014778325123152709,0.10256410256410256,0.037987012987012986,0.0407548561593312,0.05714285714285714,0.007407407407407408,0.04094210873871891,0.02176669484361792,0.04808612440191388,0.08047834518422753,0.5,0.0,0.011661807580174927,0.016450216450216448,0.0,0.025576636904761904,0.0,0.0,0.0,0.020320197044334975,0.006895654436638043,0.0018262987012987015,0.02127659574468085,0.3333333333333333,0.03783783783783784,0.0,0.09113973458235752,0.02631578947368421,0.04255610290093049,0.0,0.037383177570093455,0.07235863095238095
-7,0.02981651376146789,0.01652365491651206,0.0,0.017045454545454544,0.023809523809523808,0.030446086480569238,0.0442008486562942,0.0,0.007246376811594203,0.029069767441860465,0.027777777777777776,0.04626865671641791,0.04707792207792208,0.0,0.0,0.008681925808997633,0.017435320584926882,0.0,0.026967930029154517,0.07407407407407407,0.0,0.00303951367781155,0.026556776556776553,0.005813953488372093,0.007407407407407408,0.028169014084507043,0.0,0.03896103896103896,0.0,0.07344632768361582,0.011503252228378703,0.0199203187250996,0.0,0.0174512987012987,0.029411764705882353
-6,0.021926464955955575,0.019011175898931,0.02040816326530612,0.020100502512562814,0.0625,0.06973505946108687,0.04814455493572641,0.0,0.012175324675324676,0.030857535321821037,0.016096579476861165,0.055985449735449735,0.04350382128159906,0.0,0.0,0.012944983818770227,0.03219315895372233,0.0,0.07200668036998972,0.058823529411764705,0.5,0.0010107816711590297,0.0390279823269514,0.00887960302951162,0.02358906525573192,0.05285714285714286,0.0,0.039603960396039604,0.016277939747327504,0.04065349544072948,0.024291497975708502,0.06025592055003819,0.0,0.02065826330532213,0.06975446428571429
-5,0.030751265083690155,0.012394957983193278,0.0,0.01643295354951797,0.022222222222222223,0.04530030539531728,0.04655344655344655,0.03571428571428571,0.03205128205128205,0.03478422619047619,0.010050251256281407,0.06395029143297042,0.06,0.0,0.0,0.012626262626262626,0.016727837380011296,0.0,0.034434422233057045,0.02564102564102564,0.0,0.003205128205128205,0.016550522648083623,0.006341789052069426,0.017241379310344827,0.01837324525185797,0.0,0.02358490566037736,0.0,0.09592370979805535,0.021355405158222058,0.055982142857142855,0.024801587301587304,0.032,0.044832826747720364
-4,0.07142857142857144,0.019809370693615068,0.0,0.015136054421768708,0.0,0.03709596382515491,0.12179099969797644,0.045454545454545456,0.013283972125435542,0.042091836734693876,0.018641114982578397,0.04432084309133489,0.03827606992163954,0.3333333333333333,0.029411764705882353,0.01256281407035176,0.03256100904853304,0.0,0.02887270901330655,0.034482758620689655,0.0,0.0015105740181268882,0.0,0.0059253246753246756,0.03225806451612903,0.02702702702702703,0.5,0.03140096618357488,0.007142857142857143,0.06870920957215373,0.022982165839308698,0.056818181818181816,0.0,0.012004801920768308,0.031985083189902466
-3,0.03441973804447152,0.03801652892561983,0.0,0.02072538860103627,0.0196078431372549,0.0433327461687511,0.047092770034843204,0.0,0.0205026455026455,0.042668388635008936,0.013509316770186335,0.05119147407496108,0.046822742474916385,0.0,0.0,0.008042744656917886,0.027647671090294042,0.0,0.0198703200167329,0.002976190476190476,0.0,0.0029411764705882353,0.025,0.011226252158894647,0.02505919494869771,0.013157894736842105,0.375,0.064209726443769,0.0,0.035882749326145554,0.025383373688458437,0.05277660025434506,0.0,0.0,0.050385299347954944
