cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.011638237384506043,0.02878435927216415,0.0354064039408867,0.007857142857142858,0.020514950166112957,0.03433098591549296,0.030248232779878353,0.000576036866359447,0.051353149955634426,0.03607634219509672,0.019904009034443816,0.04505919074264398,0.12530345471521942,0.0,0.0,0.012177012177012178,0.017904761904761906,0.0,0.01038020999045498,0.0,0.0,0.013457556935817804,0.06457142857142857,0.007775434897206115,0.015548029556650246,0.003169721315591263,0.06666666666666667,0.023093447905477984,0.012195121951219513,0.06502732240437159,0.03464902444494281,0.02524056254626203,0.0021536252692031586,0.006968641114982578,0.06684027777777778
-11,0.020092868608117403,0.04099571576303738,0.010638297872340425,0.014248704663212436,0.01674641148325359,0.08549892318736539,0.021072458649714524,0.0,0.013852813852813853,0.03827524774523995,0.02203774486383182,0.041638828846531736,0.13267949666913398,0.0,0.02702702702702703,0.007918552036199095,0.016464385196975725,0.043478260869565216,0.01488095238095238,0.0,0.037037037037037035,0.01644559956981538,0.08883553421368547,0.013537117903930132,0.00411522633744856,0.0028169014084507044,0.13793103448275862,0.027084757347915243,0.0064516129032258064,0.07083333333333333,0.04483534707415304,0.04233226837060703,0.0,0.022219193020719737,0.1350250626566416
-10,0.020521728889412318,0.04142346417627317,0.0,0.004704301075268817,0.018119747899159662,0.03195323763555444,0.02038976648351648,0.01652892561983471,0.005059523809523809,0.039915966386554626,0.01263537906137184,0.042158584909514275,0.11720116618075802,0.09090909090909091,0.0,0.0013343799058084774,0.01770320197044335,0.0,0.024475074069303104,0.04,0.05714285714285714,0.01386214863303812,0.09821428571428571,0.012946823291650877,0.0008423180592991914,0.0071483771251932,0.12903225806451613,0.01711309523809524,0.0055248618784530384,0.0857413761964963,0.03237187422629363,0.029269602577873255,0.005150022391401702,0.014214046822742474,0.05244252873563218
-9,0.012667135819845179,0.0263609887237697,0.0,0.006696428571428571,0.008595988538681949,0.03504043126684636,0.025172767519706298,0.0,0.010869565217391304,0.03006903006903007,0.014639321074964639,0.04452054794520548,0.10352760736196319,0.0,0.044372294372294376,0.006369426751592357,0.005992654165861202,0.0,0.014852875112309075,0.0,0.07142857142857142,0.008928571428571428,0.05275974025974026,0.01000658327847268,0.01764705882352941,0.0017828843106180666,0.22580645161290322,0.007926384839650146,0.00625,0.07518083182640145,0.02862543883337834,0.037986288265306124,0.006779661016949152,0.010479041916167664,0.05931225478882991
-8,0.02070296897883105,0.02771395749569213,0.0013351134846461949,0.013719512195121951,0.006018153117600632,0.048904039760417996,0.022792271205357144,0.010869565217391304,0.0,0.03338152188198186,0.01160541586073501,0.04008364876863405,0.1232,0.1266233766233766,0.0,0.010554089709762533,0.014497878359264497,0.0,0.01506480970766685,0.0,0.09199134199134198,0.0022727272727272726,0.07668067226890755,0.007339948348511622,0.0442057942057942,0.002009894867037724,0.04,0.02944015444015444,0.0,0.07307610544217687,0.02554069436539556,0.03855764259865587,0.0023207839092315623,0.010651629072681704,0.07050369948776324
-7,0.015983737244897957,0.028413200723327307,0.0,0.009523809523809525,0.014689680499449137,0.0327506955364703,0.02446913768171094,0.0,0.01079136690647482,0.027618112995934387,0.027330650570087187,0.03932623292428803,0.0971107544141252,0.0,0.0,0.009707873174207338,0.0122193522749851,0.047619047619047616,0.016254337004073013,0.0,0.043478260869565216,0.005171740827478532,0.060077519379844964,0.016409266409266408,0.012422360248447204,0.006947729422894985,0.15773809523809523,0.014492753623188406,0.019867549668874173,0.06147386299301755,0.028149549025312772,0.028097715028794355,0.0,0.014598540145985401,0.052231237322515216
-6,0.01949317738791423,0.026697312588401696,0.008585164835164836,0.008746355685131196,0.006802721088435374,0.05384791396537259,0.03230008984725966,0.0,0.028184165232358005,0.03081700907787864,0.010998307952622674,0.042707587310949154,0.08821121571837903,0.07692307692307693,0.013242375601926164,0.012933911882510012,0.013842746400885937,0.05026455026455027,0.017955801104972375,0.0018796992481203006,0.0425531914893617,0.018350197221745843,0.060064935064935064,0.015799868334430547,0.022727272727272728,0.0034206864564007423,0.16269841269841268,0.028452049343414245,0.0,0.06488406881077038,0.016866746698679474,0.0364591500705661,0.0030864197530864196,0.01607854297097325,0.0811178731582319
-5,0.019705747827412717,0.030294535396576214,0.028368794326241134,0.008333333333333333,0.012224938875305624,0.03713450292397661,0.027548933683903012,0.010101010101010102,0.005988023952095809,0.030449280449280452,0.009300022011886419,0.04528384612451866,0.0725726223637087,0.08333333333333333,0.0036075036075036075,0.002074314574314574,0.01473040578098944,0.0,0.010410738000379435,0.0,0.004931972789115647,0.011285909712722298,0.08118899733806566,0.01433678680869692,0.02086466165413534,0.0026174965100046535,0.05714285714285714,0.03021978021978022,0.007142857142857143,0.07954903815830967,0.02520670647680294,0.028130016051364365,0.006389776357827476,0.011709601873536299,0.08211284513805522
-4,0.13002850807728855,0.02450791942180532,0.0,0.011330049261083743,0.017477203647416412,0.04273327828241123,0.03624249699879952,0.0,0.0029239766081871343,0.03924579290013512,0.006169345709757754,0.04343681917211329,0.0553968253968254,0.07142857142857144,0.013888888888888888,0.009280742459396751,0.021158463385354143,0.0,0.014130915524104379,0.0,0.0039079461571862786,0.006739354395604395,0.03349600709849157,0.0055658627087198514,0.0320786997433704,0.005642857142857143,0.043478260869565216,0.03272385509227615,0.009672619047619048,0.06472491909385113,0.025595238095238095,0.04045758928571429,0.013422818791946308,0.023274478330658106,0.07078769517594967
-3,0.02276873421274207,0.027550452884157,0.02564102564102564,0.016971664698937426,8.775008775008775e-05,0.04233500417710944,0.02799543355300711,0.0,0.001085240726124704,0.04171908955736017,0.023829943641264395,0.04437258950485021,0.07181363111282249,0.0,0.032330827067669175,0.003922850604772802,0.012455357142857145,0.005952380952380952,0.014315616356432683,0.05665024630541872,0.0110803324099723,0.0074002574002574005,0.020899470899470897,0.011724098585120949,0.028488852188274155,0.005912961210974455,0.18181818181818182,0.025778027746531682,0.016483516483516484,0.06658986175115207,0.01635162261625962,0.044499002608562224,0.005970149253731343,0.011057447890188104,0.07096215351812367
-2,0.024855012427506214,0.02847602455616393,0.010788690476190478,0.008490566037735849,0.011869436201780416,0.04492254733218588,0.024580935701776333,0.00980392156862745,0.007957559681697613,0.034152522395096654,0.013962128475551294,0.036798686557483376,0.05868780096308186,0.0,0.00248015873015873,0.022898154477101845,0.019151785714285715,0.0625,0.013568730244391335,0.045454545454545456,0.004301075268817204,0.0069605568445475635,0.0546875,0.015354967052094989,0.01967493584260051,0.005801305293691081,0.11904761904761904,0.026680672268907562,0.008212375859434682,0.06851708074534162,0.01205886885498536,0.036096665646986846,0.008360858794384805,0.004480759093305219,0.07868757259001162
-1,0.032264423708765935,0.028556198598842522,0.02551020408163265,0.011953352769679302,0.005179934569247546,0.041508182220256526,0.03234162605796358,0.0,0.019244105409153955,0.03305785123966942,0.015491314493129373,0.04359186979327368,0.05600756859035005,0.16666666666666666,0.0312960235640648,0.011211573236889693,0.02205463858850313,0.0,0.014420555846879917,0.0,0.0025188916876574307,0.007095553453169348,0.05263157894736842,0.010109447004608293,0.019439421338155512,0.004021608643457383,0.16216216216216217,0.12155908875177979,0.007558578987150416,0.054885940786280535,0.022542432814710044,0.02974251589886769,0.0,0.014204545454545454,0.08999262355544628
0,0.02291164913170237,0.03081072245831971,0.012755102040816327,0.020106861642294714,0.014169254658385094,0.048130295062810406,0.027713532702237524,0.0,0.017267520215633422,0.0389948006932409,0.011589821113630636,0.04640281593406593,0.06820436507936507,0.0,0.01694915254237288,0.012168579343094578,0.013988522238163558,0.0,0.009772462077012836,0.075,0.0033089913281606573,0.006119582664526485,0.03017241379310345,0.01130034969563528,0.0189873417721519,0.006679729248307801,0.3181818181818182,0.03761574074074074,0.00035014005602240897,0.054323534467938805,0.023656702732440856,0.029360210341805432,0.0,0.02119191049913942,0.0878099173553719
1,0.023640960809102402,0.02845071595071595,0.0017337031900138697,0.011766334440753045,0.01394811656005686,0.0499290444654683,0.029007437804565276,0.007407407407407408,0.007371007371007371,0.028565843851223054,0.005618703177473521,0.04019536347585784,0.10473623411628802,0.0,0.012048192771084338,0.008241758241758242,0.02210437394405857,0.058823529411764705,0.00830564784053156,0.02564102564102564,0.0028328611898017,0.007017034456058847,0.04950738916256158,0.006429137872436842,0.02745664739884393,0.0059886759581881535,0.36363636363636365,0.042663617171006335,0.0009110787172011662,0.05026063679909834,0.0251502828854314,0.03563853961520981,0.005721668512366187,0.016373991457047935,0.09704830053667263
2,0.02095997973657548,0.019217481430298843,0.02,0.007905138339920948,0.0079155672823219,0.041713721061547145,0.028747597693786035,0.0,0.00291005291005291,0.026035537773593787,0.014808362369337979,0.04203247528128196,0.16633366633366634,0.0,0.04919137466307278,0.012130980658296571,0.014857142857142857,0.009398496240601503,0.014136904761904762,0.02631578947368421,0.003671562082777036,0.012443009118541034,0.04752747252747253,0.012043882661578822,0.010471204188481676,0.004680419747197711,0.47058823529411764,0.048746288353678655,0.011764705882352941,0.06268870173208327,0.020053238686779058,0.026692166971561616,0.0,0.017857142857142856,0.07673745173745174
