cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.01454267125908917,0.010319657689403473,0.03582089552238806,0.03112313937753721,0.01981230448383733,0.021703994458554605,0.00850842160097239,0.018018018018018018,0.012300123001230012,0.024246128769356154,0.016842105263157894,0.013465237702665568,0.022815325010761944,0.05263157894736842,0.015306122448979591,0.029379760609358,0.01678556441460344,0.0,0.033925049309664695,0.024752475247524754,0.0,0.05668934240362812,0.031078610603290677,0.030532131433556268,0.018619934282584884,0.05421103581800581,0.0,0.025711662075298437,0.04559270516717325,0.022799817601459188,0.01840080294412847,0.019083969465648856,0.050808314087759814,0.016793893129770993,0.01594282572842221
-11,0.01583011583011583,0.010952380952380953,0.039634146341463415,0.028169014084507043,0.021505376344086023,0.014119091467157766,0.00968054211035818,0.013215859030837005,0.02190923317683881,0.020131383767747403,0.02467232074016962,0.01393777277206814,0.02333495381623724,0.03125,0.0,0.03037249283667622,0.018502202643171806,0.0,0.03287928604978863,0.01,0.0,0.039843239712606136,0.03636363636363636,0.025959860383944152,0.02847380410022779,0.052538787023977435,0.036585365853658534,0.024117140396210164,0.03365384615384615,0.024056603773584907,0.01818181818181818,0.019247594050743656,0.057007125890736345,0.014729950900163666,0.008583690987124463
-10,0.014780241151302996,0.01496316758747698,0.01056338028169014,0.027450980392156862,0.030235162374020158,0.012151270923744576,0.007138934651290499,0.013761467889908258,0.023255813953488372,0.022418624703599913,0.026148969889064975,0.012189875233041733,0.017418032786885244,0.02857142857142857,0.008771929824561403,0.03841676367869616,0.0136986301369863,0.04,0.03810049696300387,0.026143790849673203,0.021739130434782608,0.04817275747508306,0.02626641651031895,0.02819688350234974,0.019253910950661854,0.051222351571594875,0.0,0.019408502772643253,0.04986149584487535,0.026,0.015108924806746311,0.016220955721174924,0.03815028901734104,0.011922503725782414,0.011747430249632892
-9,0.013354917037636584,0.013245033112582781,0.0353356890459364,0.030757097791798107,0.021352313167259787,0.01580867450344548,0.008038854463238989,0.004739336492890996,0.01966041108132261,0.023600809170600135,0.02773246329526917,0.012236979555290255,0.015675675675675675,0.02631578947368421,0.014184397163120567,0.02905287623474724,0.014693171996542784,0.0,0.03847174316794906,0.011428571428571429,0.0,0.04609349460608042,0.01348747591522158,0.029382716049382716,0.009102730819245773,0.054184226369656835,0.0,0.017723880597014924,0.043333333333333335,0.02738336713995943,0.013831775700934579,0.018005540166204988,0.0449438202247191,0.005847953216374269,0.009682625067240451
-8,0.013213981244671782,0.013220518244315178,0.04516129032258064,0.0351027397260274,0.01734820322180917,0.023281907433380083,0.007577352136392338,0.0,0.028181818181818183,0.02852926709296606,0.0189328743545611,0.011945117029862793,0.018946121965660152,0.05405405405405406,0.0,0.033052884615384616,0.008512544802867384,0.0,0.03901131625967838,0.018518518518518517,0.0,0.04730769230769231,0.03359683794466403,0.0335973777656378,0.021917808219178082,0.057770800627943486,0.0,0.020446096654275093,0.053208137715179966,0.03150057273768614,0.01884570082449941,0.01866251944012442,0.05379310344827586,0.011864406779661017,0.015028177833437696
-7,0.015285996055226824,0.016779431664411367,0.04262295081967213,0.03564727954971857,0.01937046004842615,0.025498891352549888,0.006831566548881037,0.02040816326530612,0.026473099914602904,0.020502306509482315,0.017757009345794394,0.011345218800648298,0.023864959254947613,0.0,0.015503875968992248,0.02874617737003058,0.010884997633696167,0.0,0.03392967304133251,0.01485148514851485,0.0,0.042974079126875855,0.031914893617021274,0.032981886996485535,0.027439024390243903,0.04493670886075949,0.0,0.01503006012024048,0.05545927209705372,0.023205612520237454,0.013646702047005308,0.02023429179978701,0.04496124031007752,0.015100671140939598,0.01503307276007216
-6,0.011638733705772812,0.01524547803617571,0.01875,0.03725656223539373,0.025176233635448138,0.0236715775533852,0.00843644544431946,0.027149321266968326,0.02481389578163772,0.025177386129549097,0.014749262536873156,0.015951843491346877,0.02161307327358988,0.0,0.012121212121212121,0.03348467650397276,0.011685393258426966,0.0,0.036283557046979865,0.02030456852791878,0.014705882352941176,0.04385403329065301,0.03506311360448808,0.025757575757575757,0.025925925925925925,0.05754088431253786,0.014285714285714285,0.022242817423540315,0.06574923547400612,0.022575679835813236,0.011892963330029732,0.017210144927536232,0.06639004149377593,0.022033898305084745,0.021897810218978103
-5,0.013469577333952624,0.01274197500612595,0.025423728813559324,0.03631532329495128,0.022727272727272728,0.016214177978883863,0.009727976941091695,0.014925373134328358,0.02694610778443114,0.022372881355932205,0.010861694424330196,0.013841286580543106,0.02051025512756378,0.0,0.014336917562724014,0.025543478260869567,0.01583531274742676,0.0,0.04387096774193548,0.01171875,0.022900763358778626,0.040508067284586335,0.04316546762589928,0.028294036061026352,0.012376237623762377,0.05121128488193805,0.022727272727272728,0.022935779816513763,0.052202283849918436,0.020370370370370372,0.015104808877928484,0.016905071521456438,0.03804347826086957,0.008695652173913044,0.011563876651982379
-4,0.008076146524372656,0.016658378915962207,0.03481012658227848,0.0351985559566787,0.037122969837587005,0.020554403168018102,0.008596373404969779,0.019417475728155338,0.029542097488921712,0.025825965565379246,0.02501786990707648,0.014845360824742268,0.019989195029713667,0.0,0.024489795918367346,0.040474905558553695,0.012244897959183673,0.03333333333333333,0.03940986257073565,0.02304147465437788,0.04778156996587031,0.05193548387096774,0.04824561403508772,0.03532136653155762,0.020731707317073172,0.05337078651685393,0.03896103896103896,0.012489592006661115,0.04566929133858268,0.017418490397498883,0.02427610412401287,0.013434841021047918,0.04509283819628647,0.0096,0.013804527885146328
-3,0.015095879232966136,0.018100734522560336,0.0440251572327044,0.04737384140061792,0.027114967462039046,0.019863895530623506,0.00909090909090909,0.009478672985781991,0.033236994219653176,0.023572664359861592,0.01469559132260322,0.014959880320957433,0.02064896755162242,0.038461538461538464,0.010676156583629894,0.02792748652621264,0.013560635412630763,0.0,0.03860326373047903,0.023255813953488372,0.033925686591276254,0.04507231752438614,0.047337278106508875,0.03363028953229399,0.016568047337278107,0.054823889739663095,0.0,0.020335985853227233,0.07132459970887918,0.014595496246872394,0.024738587095128793,0.01603298213467705,0.03926701570680628,0.0187207488299532,0.013309134906231096
-2,0.012745812090313183,0.014596451058958215,0.031141868512110725,0.04205128205128205,0.031476997578692496,0.02131535798870468,0.008353960396039604,0.013392857142857142,0.02794819359236537,0.021918402777777776,0.022145328719723183,0.012403100775193798,0.021567596002104155,0.0,0.010582010582010581,0.028037383177570093,0.011535401750198886,0.0,0.039841324594687824,0.03553299492385787,0.023004059539918808,0.04661389621811785,0.0407055630936228,0.03359298928919182,0.015113350125944584,0.05753012048192771,0.010416666666666666,0.023483365949119372,0.07248520710059171,0.02006980802792321,0.02187120291616039,0.013217866909753875,0.03324808184143223,0.016556291390728478,0.02038295243977764
-1,0.01253538212697129,0.017333673209278613,0.031446540880503145,0.02753195673549656,0.02161547212741752,0.019868791002811623,0.010136205258156478,0.022222222222222223,0.02450646698434309,0.02566371681415929,0.026943802925327175,0.01191630871553277,0.02838221381267739,0.0,0.025179856115107913,0.02939685757729346,0.008863819500402902,0.0,0.038601350181755235,0.020242914979757085,0.03840245775729647,0.04006410256410257,0.04984894259818731,0.03776223776223776,0.013888888888888888,0.06487148102815178,0.011235955056179775,0.018227009113504555,0.05373134328358209,0.01794526693584567,0.02264808362369338,0.017052907739396588,0.036523929471032744,0.008207934336525308,0.016552511415525113
0,0.016115702479338842,0.013071895424836602,0.011029411764705883,0.044257112750263436,0.030915576694411414,0.01421062877165661,0.008223684210526315,0.00904977375565611,0.030564784053156147,0.024584566355565673,0.030260380014074596,0.01137915339098771,0.03331746787244169,0.0,0.04081632653061224,0.028506271379703536,0.011157601115760111,0.0,0.038762650372350584,0.013636363636363636,0.03880070546737213,0.04358108108108108,0.0625,0.03700906344410876,0.01804123711340206,0.06185261911808227,0.0,0.019250253292806486,0.05217391304347826,0.01881720430107527,0.036564625850340135,0.017316017316017316,0.02810304449648712,0.018309859154929577,0.022437841115827774
1,0.010530421216848674,0.017454954954954954,0.034161490683229816,0.054878048780487805,0.028503562945368172,0.016030081139916882,0.008324171509345061,0.03139013452914798,0.028589993502274202,0.024143623607098638,0.024700070571630206,0.01121751025991792,0.025845864661654134,0.037037037037037035,0.03017241379310345,0.03525954946131244,0.012815533980582524,0.0,0.03970223325062035,0.03153153153153153,0.03767660910518053,0.04124783362218371,0.025899280575539568,0.031117080814864563,0.008728179551122194,0.061711832573115105,0.0125,0.023622047244094488,0.04881450488145049,0.015644298065047343,0.029403973509933776,0.017484008528784647,0.044444444444444446,0.010622154779969651,0.019978969505783387
2,0.013988808952837729,0.016868896123113347,0.026402640264026403,0.04287245444801715,0.02197802197802198,0.015148534330120008,0.008830744071954211,0.026041666666666668,0.02653631284916201,0.021070737475811653,0.023071377072819033,0.012451245124512452,0.011843079200592153,0.0,0.04310344827586207,0.028123309897241752,0.008873114463176575,0.0,0.036031142495020825,0.0111731843575419,0.0377906976744186,0.042597045688766745,0.03622047244094488,0.03144224196855776,0.023809523809523808,0.06700738216922203,0.0,0.015414258188824663,0.06324786324786325,0.022058823529411766,0.026938775510204082,0.013207547169811321,0.05868544600938967,0.014423076923076924,0.020105820105820106
3,0.017070979335130278,0.011242603550295858,0.038910505836575876,0.03696098562628337,0.018252933507170794,0.01555708075955159,0.00803072625698324,0.009708737864077669,0.022270114942528736,0.0234337637494022,0.01848998459167951,0.01005426109160549,0.0241260462826194,0.0,0.02564102564102564,0.026959247648902823,0.012206148282097649,0.0,0.03546981953951462,0.0379746835443038,0.039586919104991396,0.03575503993914036,0.03211009174311927,0.03073572120038722,0.020289855072463767,0.07077180273056562,0.0,0.020856201975850714,0.05359877488514548,0.01611459265890779,0.02320938357873721,0.015896671634376552,0.04044117647058824,0.0128,0.019155206286836934
4,0.014725568942436412,0.009219624629568653,0.021148036253776436,0.04189636163175303,0.029717682020802376,0.01664043175174275,0.006511938554015695,0.029850746268656716,0.02023121387283237,0.02074788902291918,0.023273273273273273,0.012311227839789888,0.021554169030062395,0.0,0.04,0.022598870056497175,0.009242144177449169,0.0,0.04149620105201637,0.018404907975460124,0.0210896309314587,0.0436334787782626,0.0296875,0.02632950990615224,0.02638888888888889,0.07440910417274584,0.0,0.01945945945945946,0.05817610062893082,0.012952210808396605,0.02075416544869921,0.012303149606299213,0.046511627906976744,0.006600660066006601,0.018615751789976133
5,0.008360427310729215,0.014754703061600885,0.048701298701298704,0.040455120101137804,0.01876675603217158,0.01436222005842259,0.006471328419917311,0.0297029702970297,0.03042433947157726,0.02419984387197502,0.019623875715453803,0.012153372132831223,0.022307202039515615,0.05555555555555555,0.05668016194331984,0.036491228070175435,0.010802469135802469,0.0,0.040865384615384616,0.019736842105263157,0.03832752613240418,0.035758323057953144,0.04530201342281879,0.02875746066196419,0.014925373134328358,0.07200720072007201,0.0,0.018306636155606407,0.04878048780487805,0.012980529206190713,0.02336448598130841,0.01859504132231405,0.052565707133917394,0.011194029850746268,0.020055710306406686
