cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.0,0.0,0.0,0.017543859649122806,0.022727272727272728,0.013215859030837005,0.002680965147453083,0.125,0.0,0.007874015748031496,0.0,0.054455445544554455,0.025,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.022727272727272728,0.0,0.0,0.02564102564102564,0.021739130434782608,0.0,0.0,0.06451612903225806,0.018518518518518517,0.0,0.030303030303030304,0.0,0.0,0.0
-11,0.0,0.0,0.0,0.046511627906976744,0.020833333333333332,0.020761245674740483,0.015015015015015015,0.0,0.047619047619047616,0.007246376811594203,0.046511627906976744,0.085,0.10526315789473684,0.0,0.0,0.03529411764705882,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0125,0.0,0.05555555555555555,0.0,0.03125,0.05263157894736842,0.0196078431372549,0.0,0.021505376344086023,0.0,0.05555555555555555,0.0
-10,0.0,0.0,0.0,0.025,0.02564102564102564,0.015901060070671377,0.011461318051575931,0.125,0.024390243902439025,0.009345794392523364,0.02564102564102564,0.06179775280898876,0.038461538461538464,0.0,0.0,0.01639344262295082,0.06896551724137931,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.01,0.0,0.046511627906976744,0.0,0.01,0.012345679012345678,0.021739130434782608,0.03571428571428571,0.018867924528301886,0.0,0.0,0.0
-9,0.017543859649122806,0.0,0.0,0.0,0.0,0.01079136690647482,0.007936507936507936,0.1111111111111111,0.02702702702702703,0.0,0.02127659574468085,0.07058823529411765,0.02564102564102564,0.0,0.0,0.009523809523809525,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02336448598130841,0.045454545454545456,0.046511627906976744,0.0,0.013888888888888888,0.03571428571428571,0.022222222222222223,0.02,0.028985507246376812,0.0,0.0,0.03571428571428571
-8,0.0,0.0,0.0,0.020833333333333332,0.0,0.014354066985645933,0.005813953488372093,0.0,0.024390243902439025,0.008771929824561403,0.02631578947368421,0.054878048780487805,0.04,0.0,0.0,0.009259259259259259,0.02702702702702703,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.031914893617021274,0.0,0.025,0.0,0.0,0.019230769230769232,0.02631578947368421,0.0,0.014285714285714285,0.0,0.0,0.0
-7,0.0,0.0,0.0,0.0,0.07692307692307693,0.024390243902439025,0.006172839506172839,0.125,0.02666666666666667,0.010526315789473684,0.03571428571428571,0.06896551724137931,0.0,0.0,0.0,0.01098901098901099,0.02702702702702703,0.0,0.013157894736842105,0.0,0.0,0.0,0.10526315789473684,0.006944444444444444,0.0,0.05128205128205128,0.0,0.0,0.07317073170731707,0.0,0.008064516129032258,0.015384615384615385,0.1111111111111111,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.045454545454545456,0.013850415512465374,0.010752688172043012,0.16666666666666666,0.02127659574468085,0.008620689655172414,0.0,0.04455445544554455,0.023255813953488372,0.0,0.0,0.0,0.020833333333333332,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.03278688524590164,0.0,0.025,0.05,0.04081632653061224,0.03669724770642202,0.039473684210526314,0.0,0.0,0.0
-5,0.0,0.017241379310344827,0.0,0.0,0.023809523809523808,0.009900990099009901,0.007894736842105263,0.0,0.032679738562091505,0.00641025641025641,0.05,0.06930693069306931,0.0,0.0,0.0,0.028037383177570093,0.01818181818181818,0.0,0.02127659574468085,0.0,0.0,0.02247191011235955,0.1111111111111111,0.005813953488372093,0.0,0.02127659574468085,0.0,0.0,0.04838709677419355,0.0,0.0078125,0.024096385542168676,0.0,0.0,0.0
-4,0.015625,0.0,0.0,0.02127659574468085,0.0,0.03278688524590164,0.007194244604316547,0.08333333333333333,0.03888888888888889,0.014492753623188406,0.05555555555555555,0.06985294117647059,0.0,0.0,0.0,0.016129032258064516,0.025,0.0,0.009345794392523364,0.0,0.0,0.0375,0.027777777777777776,0.028169014084507043,0.038461538461538464,0.020833333333333332,0.0,0.0,0.05128205128205128,0.0,0.007462686567164179,0.03529411764705882,0.0,0.0,0.0
-3,0.0,0.0,0.14285714285714285,0.0,0.0,0.014164305949008499,0.008456659619450317,0.0,0.0273972602739726,0.03333333333333333,0.0,0.05485232067510549,0.0,0.0,0.0,0.00909090909090909,0.0,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.018115942028985508,0.0,0.0,0.0,0.02564102564102564,0.08955223880597014,0.037037037037037035,0.018518518518518517,0.014285714285714285,0.0,0.0,0.041666666666666664
