cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.145610278372591,0.08367626886145405,0.2978723404255319,0.175,0.0,0.13343328335832083,0.08072487644151564,0.0,0.11602209944751381,0.13861386138613863,0.07894736842105263,0.11764705882352941,0.06801007556675064,0.0,0.13043478260869565,0.1967741935483871,0.0935412026726058,0.0,0.12056737588652482,0.08333333333333333,0.125,0.19322033898305085,0.30434782608695654,0.19753086419753085,0.12834224598930483,0.1743119266055046,0.0,0.08163265306122448,0.5333333333333333,0.12831858407079647,0.1033434650455927,0.1697530864197531,0.2,0.22580645161290322,0.0392156862745098
-11,0.12450592885375494,0.07422402159244265,0.13725490196078433,0.24603174603174602,0.11764705882352941,0.1326530612244898,0.08346972176759411,0.0,0.18633540372670807,0.15140845070422534,0.10884353741496598,0.11471103327495621,0.09763313609467456,0.0,0.13636363636363635,0.24,0.10570824524312897,0.0,0.16294642857142858,0.08333333333333333,0.16666666666666666,0.2,0.3333333333333333,0.17266187050359713,0.14743589743589744,0.17592592592592593,0.0,0.10416666666666667,0.5563380281690141,0.11274509803921569,0.09713375796178345,0.18562874251497005,0.0,0.20224719101123595,0.06382978723404255
-10,0.09728506787330317,0.06366459627329192,0.2619047619047619,0.20930232558139536,0.10204081632653061,0.1009433962264151,0.08217054263565891,0.17391304347826086,0.224,0.14225941422594143,0.09444444444444444,0.11196581196581197,0.0931899641577061,0.5,0.0625,0.23636363636363636,0.10537190082644628,1.0,0.13656387665198239,0.10526315789473684,0.0,0.19732441471571907,0.19718309859154928,0.19614711033274956,0.1118421052631579,0.16149068322981366,0.0,0.07655502392344497,0.5597826086956522,0.1574074074074074,0.12116316639741519,0.15161290322580645,0.07692307692307693,0.20833333333333334,0.078125
-9,0.08636363636363636,0.05115511551155116,0.16666666666666666,0.12272727272727273,0.15789473684210525,0.1356382978723404,0.08753315649867374,0.19230769230769232,0.20161290322580644,0.17464788732394365,0.14465408805031446,0.11848341232227488,0.0706713780918728,0.0,0.2,0.2600732600732601,0.12076271186440678,0.0,0.14878048780487804,0.26666666666666666,0.0,0.2152777777777778,0.23943661971830985,0.18795620437956204,0.10975609756097561,0.1781609195402299,0.125,0.11979166666666667,0.5882352941176471,0.10828025477707007,0.09954751131221719,0.16510903426791276,0.18518518518518517,0.18487394957983194,0.07984790874524715
-8,0.11893203883495146,0.07846410684474124,0.18604651162790697,0.18719211822660098,0.15384615384615385,0.14181818181818182,0.09982788296041308,0.08,0.2814814814814815,0.15408320493066255,0.09467455621301775,0.13301435406698564,0.06334841628959276,0.0,0.15384615384615385,0.16034985422740525,0.10707070707070707,0.0,0.14583333333333334,0.1,0.2,0.2261904761904762,0.3103448275862069,0.2185792349726776,0.11363636363636363,0.2198581560283688,0.16666666666666666,0.07027027027027027,0.6103896103896104,0.18032786885245902,0.10186757215619695,0.2222222222222222,0.14285714285714285,0.11214953271028037,0.08854166666666667
-7,0.0672782874617737,0.056818181818181816,0.21621621621621623,0.20454545454545456,0.023809523809523808,0.1475095785440613,0.06534653465346535,0.07692307692307693,0.18840579710144928,0.16899224806201552,0.09722222222222222,0.10945273631840796,0.10909090909090909,0.0,0.25,0.13259668508287292,0.11548556430446194,0.0,0.14795918367346939,0.07407407407407407,0.16666666666666666,0.23404255319148937,0.28205128205128205,0.18992248062015504,0.1037037037037037,0.1619718309859155,0.0,0.07792207792207792,0.5114503816793893,0.14124293785310735,0.0775716694772344,0.1394422310756972,0.25,0.14772727272727273,0.10084033613445378
-6,0.10455764075067024,0.03741496598639456,0.32653061224489793,0.20603015075376885,0.0625,0.14330874604847207,0.06451612903225806,0.15789473684210525,0.26515151515151514,0.16346153846153846,0.11737089201877934,0.13148148148148148,0.10699588477366255,0.0,0.1,0.3365695792880259,0.11502347417840375,0.0,0.1618705035971223,0.11764705882352941,0.5,0.19811320754716982,0.18556701030927836,0.19378427787934185,0.08641975308641975,0.16,0.0,0.10891089108910891,0.42857142857142855,0.11170212765957446,0.08097165991902834,0.18181818181818182,0.07692307692307693,0.14705882352941177,0.0625
-5,0.08991825613079019,0.06323529411764706,0.14893617021276595,0.147239263803681,0.022222222222222223,0.12351543942992874,0.08951048951048951,0.17857142857142858,0.23076923076923078,0.16276041666666666,0.12562814070351758,0.10700538876058506,0.09666666666666666,0.0,0.034482758620689655,0.21717171717171718,0.08498023715415019,0.0,0.15358361774744028,0.07692307692307693,0.043478260869565216,0.22756410256410256,0.17073170731707318,0.16822429906542055,0.1206896551724138,0.1676300578034682,0.0,0.07075471698113207,0.5037593984962406,0.14136125654450263,0.11139564660691421,0.1675,0.1111111111111111,0.16,0.0673758865248227
-4,0.12429378531073447,0.04662379421221865,0.18,0.22380952380952382,0.13157894736842105,0.13012895662368112,0.056025369978858354,0.09090909090909091,0.1951219512195122,0.14148351648351648,0.12682926829268293,0.12459016393442623,0.1350210970464135,0.0,0.2647058823529412,0.1708542713567839,0.07293666026871401,0.0,0.15114235500878734,0.10344827586206896,0.08695652173913043,0.1903323262839879,0.21428571428571427,0.225,0.07526881720430108,0.12837837837837837,0.0,0.0821256038647343,0.6071428571428571,0.1116751269035533,0.10424710424710425,0.14772727272727273,0.16129032258064516,0.13445378151260504,0.05220883534136546
-3,0.14285714285714285,0.05289256198347107,0.21428571428571427,0.22279792746113988,0.09803921568627451,0.11713933415536375,0.054878048780487805,0.17647058823529413,0.19135802469135801,0.1376912378303199,0.12608695652173912,0.11148365465213747,0.10033444816053512,0.0,0.28125,0.13700787401574804,0.08743169398907104,0.0,0.1376281112737921,0.125,0.058823529411764705,0.17352941176470588,0.2625,0.18652849740932642,0.08287292817679558,0.19078947368421054,0.0,0.0797872340425532,0.4863013698630137,0.09433962264150944,0.12655367231638417,0.1394658753709199,0.05,0.14,0.04564315352697095
