cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.0,0.0,0.0,0.023076923076923078,0.034482758620689655,0.01932367149758454,0.03389830508474576,0.0,0.03333333333333333,0.043478260869565216,0.0,0.03625377643504532,0.015625,0.0,0.0,0.05063291139240506,0.01675977653631285,0.0,0.08444444444444445,0.0,0.2,0.010309278350515464,0.08571428571428572,0.007936507936507936,0.02857142857142857,0.10344827586206896,0.0,0.0,0.19230769230769232,0.06060606060606061,0.014634146341463415,0.041379310344827586,0.06666666666666667,0.02040816326530612,0.009009009009009009
-11,0.0,0.0,0.045454545454545456,0.0,0.0,0.015306122448979591,0.014423076923076924,0.0,0.03333333333333333,0.01707317073170732,0.0,0.045845272206303724,0.0,0.0,0.0,0.0673076923076923,0.005649717514124294,0.0,0.07692307692307693,0.0,0.0,0.024752475247524754,0.05,0.023255813953488372,0.0,0.11023622047244094,0.0,0.0,0.1724137931034483,0.06164383561643835,0.02564102564102564,0.06060606060606061,0.05,0.08064516129032258,0.0
-10,0.0,0.0,0.0,0.010869565217391304,0.023255813953488372,0.008658008658008658,0.004629629629629629,0.041666666666666664,0.058823529411764705,0.0273972602739726,0.0,0.045180722891566265,0.0,0.0,0.0,0.0759493670886076,0.006060606060606061,0.0,0.07741935483870968,0.0,0.0,0.0045045045045045045,0.0,0.013986013986013986,0.03225806451612903,0.05405405405405406,0.0,0.0,0.125,0.05,0.018867924528301886,0.02666666666666667,0.07317073170731707,0.05660377358490566,0.034482758620689655
-9,0.0,0.0,0.0,0.0,0.05405405405405406,0.023255813953488372,0.011583011583011582,0.0,0.0425531914893617,0.02997275204359673,0.0,0.022364217252396165,0.03571428571428571,0.0,0.08333333333333333,0.060240963855421686,0.017543859649122806,0.0,0.0641025641025641,0.0,0.0,0.016,0.0,0.016,0.013513513513513514,0.06896551724137931,0.0,0.0,0.25,0.06206896551724138,0.040268456375838924,0.02,0.02564102564102564,0.07272727272727272,0.023809523809523808
-8,0.0,0.013888888888888888,0.08,0.013333333333333334,0.047619047619047616,0.01875,0.004201680672268907,0.0,0.018867924528301886,0.04189944134078212,0.0,0.04375,0.0,0.0,0.10526315789473684,0.038461538461538464,0.006211180124223602,0.0,0.0728476821192053,0.0,0.0,0.0,0.06060606060606061,0.053763440860215055,0.02666666666666667,0.04285714285714286,0.0,0.016129032258064516,0.11363636363636363,0.032,0.02531645569620253,0.0297029702970297,0.02702702702702703,0.0967741935483871,0.0
-7,0.015151515151515152,0.025,0.08,0.014925373134328358,0.02857142857142857,0.021621621621621623,0.0,0.05,0.044444444444444446,0.024615384615384615,0.0,0.04507042253521127,0.0,0.0,0.0,0.013513513513513514,0.018867924528301886,0.0,0.025974025974025976,0.0,0.0,0.012552301255230125,0.09375,0.04,0.014084507042253521,0.08823529411764706,0.0,0.013513513513513514,0.3103448275862069,0.037383177570093455,0.028169014084507043,0.06976744186046512,0.0,0.023809523809523808,0.04310344827586207
-6,0.0,0.0,0.03571428571428571,0.03614457831325301,0.0,0.008032128514056224,0.01606425702811245,0.06451612903225806,0.045454545454545456,0.03125,0.10256410256410256,0.04777070063694268,0.0,0.0,0.07142857142857142,0.08333333333333333,0.006578947368421052,0.0,0.05238095238095238,0.0,0.0,0.003875968992248062,0.0,0.02054794520547945,0.0,0.10625,0.0,0.0,0.18181818181818182,0.0851063829787234,0.004651162790697674,0.03968253968253968,0.061224489795918366,0.019230769230769232,0.015873015873015872
-5,0.034482758620689655,0.025974025974025976,0.0,0.014285714285714285,0.0,0.004672897196261682,0.0040650406504065045,0.06666666666666667,0.03773584905660377,0.026525198938992044,0.0,0.05134474327628362,0.0,0.0,0.0,0.018867924528301886,0.01507537688442211,0.0,0.07386363636363637,0.0,0.0,0.008438818565400843,0.058823529411764705,0.028985507246376812,0.015151515151515152,0.02112676056338028,0.0,0.014285714285714285,0.08695652173913043,0.046357615894039736,0.014018691588785047,0.011976047904191617,0.0,0.04838709677419355,0.010526315789473684
-4,0.0,0.0,0.07692307692307693,0.015625,0.0,0.01702127659574468,0.01098901098901099,0.0,0.02631578947368421,0.03757225433526012,0.02857142857142857,0.039603960396039604,0.01639344262295082,0.0,0.0,0.025,0.011560693641618497,0.0,0.05531914893617021,0.0,0.0,0.0,0.02631578947368421,0.03007518796992481,0.025974025974025976,0.028368794326241134,0.0,0.0,0.20833333333333334,0.044444444444444446,0.02109704641350211,0.028985507246376812,0.01818181818181818,0.10909090909090909,0.007407407407407408
-3,0.014285714285714285,0.014492753623188406,0.08333333333333333,0.02631578947368421,0.0,0.021739130434782608,0.012232415902140673,0.0,0.02666666666666667,0.02284263959390863,0.0,0.03553299492385787,0.0,0.0,0.06666666666666667,0.04,0.010050251256281407,0.0,0.05263157894736842,0.0,0.0,0.015810276679841896,0.0425531914893617,0.03896103896103896,0.02531645569620253,0.031055900621118012,0.0,0.0,0.15151515151515152,0.025477707006369428,0.0199203187250996,0.030303030303030304,0.047619047619047616,0.05405405405405406,0.010101010101010102
-2,0.0,0.03125,0.1,0.041666666666666664,0.02631578947368421,0.024896265560165973,0.019943019943019943,0.043478260869565216,0.017543859649122806,0.04785894206549118,0.029411764705882353,0.05413105413105413,0.030303030303030304,0.0,0.0,0.078125,0.010526315789473684,0.0,0.05371900826446281,0.0,0.0,0.0034965034965034965,0.10869565217391304,0.02962962962962963,0.014705882352941176,0.007246376811594203,0.0,0.015384615384615385,0.1,0.033707865168539325,0.00796812749003984,0.013986013986013986,0.0,0.06779661016949153,0.0
-1,0.023529411764705882,0.0,0.16666666666666666,0.0,0.06382978723404255,0.00847457627118644,0.027950310559006212,0.07407407407407407,0.019230769230769232,0.029411764705882353,0.0,0.04381443298969072,0.0,0.0,0.1111111111111111,0.02631578947368421,0.016574585635359115,0.0,0.05327868852459016,0.0,0.0,0.003952569169960474,0.045454545454545456,0.030534351145038167,0.0,0.027972027972027972,0.0,0.016666666666666666,0.15789473684210525,0.07894736842105263,0.018050541516245487,0.015873015873015872,0.0,0.05194805194805195,0.04
0,0.0,0.02040816326530612,0.11538461538461539,0.03125,0.0,0.016129032258064516,0.013368983957219251,0.0,0.03225806451612903,0.030201342281879196,0.0,0.025,0.012345679012345678,0.0,0.0,0.037037037037037035,0.010050251256281407,1.0,0.06726457399103139,0.0,0.0,0.007722007722007722,0.022222222222222223,0.04950495049504951,0.015873015873015872,0.030303030303030304,0.0,0.017241379310344827,0.21428571428571427,0.03529411764705882,0.027131782945736434,0.031007751937984496,0.03773584905660377,0.03076923076923077,0.027777777777777776
1,0.0,0.025,0.08333333333333333,0.0,0.02564102564102564,0.02666666666666667,0.02586206896551724,0.0,0.0,0.03684210526315789,0.034482758620689655,0.022792022792022793,0.0,0.0,0.0,0.024096385542168676,0.0136986301369863,0.0,0.08839779005524862,0.0,0.0,0.007692307692307693,0.05,0.02666666666666667,0.01639344262295082,0.03888888888888889,0.0,0.0,0.24,0.016574585635359115,0.014388489208633094,0.011695906432748537,0.0,0.030303030303030304,0.022388059701492536
2,0.0,0.0425531914893617,0.0,0.02631578947368421,0.09523809523809523,0.011450381679389313,0.02197802197802198,0.045454545454545456,0.03636363636363636,0.04473684210526316,0.0,0.0463768115942029,0.014705882352941176,0.0,0.07692307692307693,0.0,0.015463917525773196,0.0,0.04285714285714286,0.0,0.0,0.0045662100456621,0.0,0.014492753623188406,0.017543859649122806,0.03870967741935484,0.0,0.0,0.3333333333333333,0.027932960893854747,0.024390243902439025,0.04819277108433735,0.0,0.0,0.0070921985815602835
