cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.21227197346600332,0.15934959349593497,0.21551724137931033,0.24222222222222223,0.413953488372093,0.1823943661971831,0.2412734944380514,0.3709677419354839,0.14596273291925466,0.2346125995655322,0.28063241106719367,0.2741806554756195,0.16862745098039217,0.09090909090909091,0.2028985507246377,0.2286902286902287,0.156,0.13333333333333333,0.2577951002227171,0.08108108108108109,0.42857142857142855,0.3333333333333333,0.112,0.24169741697416974,0.11637931034482758,0.4112478031634446,0.16666666666666666,0.19298245614035087,0.4268292682926829,0.23825136612021858,0.11773940345368916,0.21761658031088082,0.4221105527638191,0.3554006968641115,0.13368055555555555
-11,0.2247191011235955,0.16028955532574973,0.23404255319148937,0.25906735751295334,0.39473684210526316,0.13919597989949747,0.20683971981870622,0.3761467889908257,0.17575757575757575,0.2299298519095869,0.2842809364548495,0.2723521320495186,0.13860103626943004,0.625,0.20270270270270271,0.2579185520361991,0.1392757660167131,0.08695652173913043,0.26851851851851855,0.12195121951219512,0.48148148148148145,0.29109159347553326,0.14285714285714285,0.2462882096069869,0.18930041152263374,0.38873239436619716,0.20689655172413793,0.22966507177033493,0.45806451612903226,0.21904761904761905,0.1111111111111111,0.24068157614483493,0.36,0.37404580152671757,0.1286549707602339
-10,0.21764220939818632,0.16394279877425944,0.2597402597402597,0.25268817204301075,0.39215686274509803,0.13865730583589295,0.20112179487179488,0.2892561983471074,0.175,0.23378582202111614,0.2888086642599278,0.26050900772090363,0.1619047619047619,0.09090909090909091,0.21153846153846154,0.22417582417582418,0.1724137931034483,0.0,0.30297565374211,0.08,0.22857142857142856,0.353099730458221,0.14285714285714285,0.23784261715296198,0.14622641509433962,0.4134466769706337,0.12903225806451613,0.20535714285714285,0.43646408839779005,0.21238938053097345,0.12305025996533796,0.22234156820622986,0.40752351097178685,0.30434782608695654,0.15229885057471265
-9,0.2233169129720854,0.18557239937271303,0.2716049382716049,0.29464285714285715,0.44412607449856734,0.16590761223162004,0.1893424036281179,0.3018867924528302,0.18840579710144928,0.2285012285012285,0.2811881188118812,0.25502768872048964,0.20398773006134968,0.13333333333333333,0.2727272727272727,0.21231422505307856,0.14884979702300405,0.11764705882352941,0.28773584905660377,0.12903225806451613,0.32142857142857145,0.30739795918367346,0.12878787878787878,0.2350230414746544,0.17058823529411765,0.38748019017432644,0.16129032258064516,0.18112244897959184,0.36875,0.23164556962025318,0.11720226843100189,0.22991071428571427,0.39322033898305087,0.3323353293413174,0.13731825525040386
-8,0.19478098788443615,0.1803561171740379,0.2336448598130841,0.25609756097560976,0.38950276243093923,0.1462979482604817,0.22705078125,0.2717391304347826,0.18545454545454546,0.23091076356945722,0.22823984526112184,0.26627412495911024,0.2128,0.18181818181818182,0.3333333333333333,0.21635883905013192,0.15134370579915135,0.058823529411764705,0.30984555984555984,0.11764705882352941,0.30303030303030304,0.3015151515151515,0.16666666666666666,0.2131303520456708,0.16783216783216784,0.3930735930735931,0.12,0.1810810810810811,0.45625,0.25,0.13745019920318724,0.255729794933655,0.4259927797833935,0.3263157894736842,0.1294820717131474
-7,0.19977678571428573,0.16835443037974684,0.18823529411764706,0.28253968253968254,0.40359897172236503,0.1676545300592718,0.21683537559936067,0.3561643835616438,0.20863309352517986,0.20804710500490678,0.22300469483568075,0.2573743922204214,0.18780096308186195,0.15384615384615385,0.23076923076923078,0.20199501246882792,0.1474269819193324,0.09523809523809523,0.3041182682154171,0.029411764705882353,0.4782608695652174,0.2814207650273224,0.1937984496124031,0.23700623700623702,0.09316770186335403,0.375,0.125,0.21159420289855072,0.47019867549668876,0.1955085865257596,0.12627291242362526,0.26007802340702213,0.4708333333333333,0.3613138686131387,0.14198782961460446
-6,0.18128654970760233,0.1617161716171617,0.27884615384615385,0.27696793002915454,0.3945578231292517,0.13614522156967432,0.19916142557651992,0.23469387755102042,0.22590361445783133,0.21237458193979933,0.2622673434856176,0.25626658802713065,0.18624641833810887,0.3076923076923077,0.2808988764044944,0.22897196261682243,0.15193798449612403,0.07407407407407407,0.2900552486187845,0.07894736842105263,0.44680851063829785,0.2809123649459784,0.1875,0.23778801843317973,0.11931818181818182,0.40016233766233766,0.07407407407407407,0.17270194986072424,0.47126436781609193,0.1649214659685864,0.12605042016806722,0.2678375411635565,0.3765432098765432,0.3665338645418327,0.1210762331838565
-5,0.23692636072572038,0.16483516483516483,0.2553191489361702,0.24444444444444444,0.43031784841075793,0.1456140350877193,0.2179959100204499,0.1919191919191919,0.2155688622754491,0.25061425061425063,0.24345146379044685,0.24819855884707767,0.19220055710306408,0.3333333333333333,0.24242424242424243,0.21464646464646464,0.14007782101167315,0.1875,0.2749003984063745,0.06666666666666667,0.22857142857142856,0.31053351573187415,0.19875776397515527,0.2226762002042901,0.15789473684210525,0.4022801302931596,0.17142857142857143,0.1794871794871795,0.38571428571428573,0.16777041942604856,0.13344051446945338,0.2550561797752809,0.3929712460063898,0.35081967213114756,0.146218487394958
-4,0.20916481892091648,0.16630785791173305,0.29292929292929293,0.3103448275862069,0.39095744680851063,0.16313423249839434,0.2134453781512605,0.3584905660377358,0.20760233918128654,0.24591573516766982,0.34072900158478603,0.2568082788671024,0.2088888888888889,0.11764705882352941,0.2222222222222222,0.2529002320185615,0.13025210084033614,0.19047619047619047,0.25696594427244585,0.06666666666666667,0.3252279635258359,0.28966346153846156,0.18012422360248448,0.21861471861471862,0.1317365269461078,0.38,0.2608695652173913,0.17942583732057416,0.4583333333333333,0.1866235167206041,0.13333333333333333,0.23214285714285715,0.3724832214765101,0.31086142322097376,0.17128874388254486
-3,0.2200392927308448,0.1685205784204672,0.23931623931623933,0.2809917355371901,0.40786240786240785,0.16432748538011696,0.21213221939702143,0.3655913978494624,0.23204419889502761,0.19855884707766214,0.34991423670668953,0.2647941096263976,0.19811320754716982,0.2727272727272727,0.24210526315789474,0.2585812356979405,0.14625,0.2222222222222222,0.28205128205128205,0.034482758620689655,0.2853185595567867,0.3204633204633205,0.17777777777777778,0.22044728434504793,0.13872832369942195,0.35927152317880795,0.11363636363636363,0.2152230971128609,0.4835164835164835,0.18924731182795698,0.11826697892271663,0.22019334049409237,0.373134328358209,0.36298932384341637,0.11567164179104478
