cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.03648424543946932,0.04173441734417344,0.008620689655172414,0.06222222222222222,0.08837209302325581,0.022535211267605635,0.019946298427311087,0.0967741935483871,0.003105590062111801,0.036929761042722664,0.06587615283267458,0.05755395683453238,0.01568627450980392,0.0,0.014492753623188406,0.04365904365904366,0.021333333333333333,0.0,0.06347438752783964,0.02702702702702703,0.0,0.07367149758454106,0.04,0.03874538745387454,0.03017241379310345,0.10017574692442882,0.0,0.03508771929824561,0.12195121951219512,0.053551912568306013,0.023547880690737835,0.03316062176165803,0.11055276381909548,0.06968641114982578,0.010416666666666666
-11,0.048154093097913325,0.038262668045501554,0.06382978723404255,0.03367875647668394,0.07177033492822966,0.020100502512562814,0.016893283889575606,0.07339449541284404,0.02727272727272727,0.034294621979735,0.05016722408026756,0.05474552957359009,0.02461139896373057,0.0,0.04054054054054054,0.05656108597285068,0.016713091922005572,0.0,0.057692307692307696,0.0,0.07407407407407407,0.05144291091593475,0.03361344537815126,0.04978165938864629,0.06172839506172839,0.07793427230046948,0.0,0.03110047846889952,0.14838709677419354,0.04285714285714286,0.009950248756218905,0.04046858359957402,0.08,0.09541984732824428,0.017543859649122806
-10,0.04534212695795548,0.03472931562819203,0.03896103896103896,0.053763440860215055,0.06862745098039216,0.014041246160596753,0.025240384615384616,0.05785123966942149,0.041666666666666664,0.029411764705882353,0.06498194945848375,0.052330569059193595,0.02857142857142857,0.0,0.057692307692307696,0.04395604395604396,0.028735632183908046,0.0,0.08025247971145176,0.04,0.08571428571428572,0.0660377358490566,0.017857142857142856,0.03713527851458886,0.04245283018867924,0.08732612055641421,0.0,0.03273809523809524,0.10497237569060773,0.022756005056890013,0.02772963604852686,0.03759398496240601,0.08463949843260188,0.07023411371237458,0.020114942528735632
-9,0.03284072249589491,0.03920543648719289,0.024691358024691357,0.050595238095238096,0.09455587392550144,0.01951854261548471,0.015873015873015872,0.03773584905660377,0.03985507246376811,0.030303030303030304,0.061386138613861385,0.047216554940250656,0.03067484662576687,0.06666666666666667,0.030303030303030304,0.03821656050955414,0.018944519621109608,0.0,0.05817610062893082,0.0,0.0,0.04591836734693878,0.007575757575757576,0.03686635944700461,0.029411764705882353,0.08478605388272584,0.0,0.02295918367346939,0.05625,0.030379746835443037,0.020793950850661626,0.033482142857142856,0.09152542372881356,0.06287425149700598,0.017770597738287562
-8,0.0260950605778192,0.037334865020103386,0.028037383177570093,0.06402439024390244,0.0856353591160221,0.026761819803746655,0.02099609375,0.03260869565217391,0.02181818181818182,0.03863845446182153,0.05029013539651837,0.05135754007196598,0.0336,0.0,0.044444444444444446,0.023746701846965697,0.014144271570014143,0.0,0.07046332046332046,0.029411764705882353,0.030303030303030304,0.05606060606060606,0.0392156862745098,0.037107516650808754,0.013986013986013986,0.08744588744588745,0.0,0.024324324324324326,0.05625,0.03422619047619048,0.0199203187250996,0.04221954161640531,0.09747292418772563,0.07017543859649122,0.0099601593625498
-7,0.03236607142857143,0.04240506329113924,0.023529411764705882,0.047619047619047616,0.07197943444730077,0.021168501270110076,0.017581246670218435,0.0958904109589041,0.025179856115107913,0.04317958783120707,0.04225352112676056,0.05964343598055105,0.025682182985553772,0.0,0.038461538461538464,0.022443890274314215,0.025034770514603615,0.047619047619047616,0.07180570221752904,0.029411764705882353,0.08695652173913043,0.03961748633879782,0.08527131782945736,0.032224532224532226,0.024844720496894408,0.07450331125827815,0.041666666666666664,0.03768115942028986,0.16556291390728478,0.031704095112285335,0.016293279022403257,0.053315994798439535,0.1375,0.06934306569343066,0.028397565922920892
-6,0.024366471734892786,0.032453245324532455,0.04807692307692308,0.043731778425655975,0.08843537414965986,0.018152696209289908,0.02389937106918239,0.030612244897959183,0.02710843373493976,0.03511705685618729,0.043993231810490696,0.05396638159834857,0.011461318051575931,0.0,0.0449438202247191,0.05841121495327103,0.009302325581395349,0.037037037037037035,0.0649171270718232,0.0,0.02127659574468085,0.04201680672268908,0.05113636363636364,0.02857142857142857,0.011363636363636364,0.07142857142857142,0.0,0.05013927576601671,0.13218390804597702,0.03664921465968586,0.020168067226890758,0.03732162458836443,0.08950617283950617,0.055776892430278883,0.011210762331838564
-5,0.033084311632870865,0.04657247514390372,0.04964539007092199,0.06111111111111111,0.09535452322738386,0.021052631578947368,0.021676891615541923,0.050505050505050504,0.04491017964071856,0.03931203931203931,0.05238828967642527,0.05204163330664532,0.0403899721448468,0.0,0.030303030303030304,0.04040404040404041,0.011673151750972763,0.0,0.06706507304116865,0.022222222222222223,0.02857142857142857,0.05198358413132695,0.024844720496894408,0.03268641470888662,0.03684210526315789,0.0732899022801303,0.05714285714285714,0.03133903133903134,0.12857142857142856,0.03532008830022075,0.014469453376205787,0.0449438202247191,0.10223642172523961,0.06885245901639345,0.010084033613445379
-4,0.022172949002217297,0.02852529601722282,0.050505050505050504,0.06206896551724138,0.10372340425531915,0.01798330122029544,0.023865546218487396,0.07547169811320754,0.04093567251461988,0.03869303525365434,0.0491283676703645,0.049019607843137254,0.01925925925925926,0.0,0.013888888888888888,0.04640371229698376,0.022408963585434174,0.0,0.05820433436532508,0.022222222222222223,0.05167173252279635,0.04567307692307692,0.024844720496894408,0.03354978354978355,0.04790419161676647,0.074,0.0,0.03349282296650718,0.11805555555555555,0.04746494066882417,0.02638888888888889,0.0390625,0.087248322147651,0.06367041198501873,0.013050570962479609
-3,0.036345776031434185,0.040600667408231365,0.02564102564102564,0.0743801652892562,0.10073710073710074,0.014619883040935672,0.022520886305848167,0.053763440860215055,0.049723756906077346,0.03282626100880705,0.07204116638078903,0.06463048813744206,0.016172506738544475,0.09090909090909091,0.06315789473684211,0.057208237986270026,0.02,0.05555555555555555,0.07221350078492936,0.0,0.07202216066481995,0.06563706563706563,0.014814814814814815,0.029552715654952075,0.03468208092485549,0.07698675496688742,0.0,0.03937007874015748,0.13736263736263737,0.021505376344086023,0.01990632318501171,0.034371643394199784,0.08358208955223881,0.060498220640569395,0.020522388059701493
