cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.06887755102040816,0.049479166666666664,0.14516129032258066,0.11695906432748537,0.13157894736842105,0.10466321243523316,0.05610236220472441,0.06666666666666667,0.11024844720496894,0.14180206794682423,0.07156673114119923,0.06914344685242518,0.09262759924385633,0.13333333333333333,0.14285714285714285,0.16121495327102803,0.048728813559322036,0.0,0.11842105263157894,0.1038961038961039,0.0,0.14889123548046462,0.1079136690647482,0.11401425178147269,0.0903954802259887,0.19133192389006343,0.0,0.07586206896551724,0.362962962962963,0.08869179600886919,0.06102635228848821,0.12790697674418605,0.32098765432098764,0.05185185185185185,0.04096385542168675
-11,0.07377049180327869,0.05730994152046784,0.11764705882352941,0.155893536121673,0.09049773755656108,0.07709373266777593,0.05216284987277354,0.09090909090909091,0.19796954314720813,0.13784665579119088,0.07894736842105263,0.09446254071661238,0.10941475826972011,0.2222222222222222,0.08333333333333333,0.1585081585081585,0.1,0.0,0.11452513966480447,0.015873015873015872,0.0,0.1540084388185654,0.1510791366906475,0.10429880197322058,0.10256410256410256,0.22777101096224117,0.0,0.031055900621118012,0.2953020134228188,0.08189655172413793,0.06741573033707865,0.1141552511415525,0.2077922077922078,0.09782608695652174,0.05405405405405406
-10,0.06746987951807229,0.056580565805658053,0.11475409836065574,0.13304721030042918,0.1,0.0671602326811211,0.044167610419026046,0.1111111111111111,0.12034383954154727,0.14274322169059012,0.06319702602230483,0.08995327102803738,0.08796296296296297,0.06666666666666667,0.08,0.21374045801526717,0.08196721311475409,0.0,0.12854030501089325,0.0625,0.0,0.15334773218142547,0.11290322580645161,0.14923954372623574,0.11731843575418995,0.1856060606060606,0.0,0.06040268456375839,0.2887323943661972,0.08108108108108109,0.09090909090909091,0.08837209302325581,0.1638655462184874,0.08333333333333333,0.05417607223476298
-9,0.07142857142857142,0.055693069306930694,0.1111111111111111,0.11877394636015326,0.12831858407079647,0.07948094079480941,0.07625482625482626,0.16666666666666666,0.14659685863874344,0.163408913213448,0.09507042253521127,0.08180839612486544,0.0812807881773399,0.0,0.11764705882352941,0.14432989690721648,0.13064133016627077,0.0,0.13956043956043956,0.04285714285714286,0.0,0.15306122448979592,0.17424242424242425,0.14679715302491103,0.08860759493670886,0.21299254526091588,0.03571428571428571,0.05333333333333334,0.2689075630252101,0.07349665924276169,0.08156606851549755,0.104,0.10857142857142857,0.10112359550561797,0.05741626794258373
-8,0.06015037593984962,0.0502092050209205,0.1346153846153846,0.12195121951219512,0.14207650273224043,0.10946408209806158,0.04477611940298507,0.07142857142857142,0.17058823529411765,0.14732142857142858,0.06060606060606061,0.10084033613445378,0.05555555555555555,0.06666666666666667,0.125,0.1341772151898734,0.10101010101010101,0.0,0.1425287356321839,0.08,0.0,0.13885350318471337,0.14074074074074075,0.13390928725701945,0.0703125,0.2245810055865922,0.0,0.05,0.4214876033057851,0.07923497267759563,0.08517887563884156,0.11818181818181818,0.19642857142857142,0.07777777777777778,0.057692307692307696
-7,0.047619047619047616,0.0603448275862069,0.07142857142857142,0.13432835820895522,0.13333333333333333,0.09015421115065243,0.05345911949685535,0.16,0.20266666666666666,0.14451382694023193,0.08088235294117647,0.1135005973715651,0.11290322580645161,0.08333333333333333,0.16129032258064516,0.18469656992084432,0.0958904109589041,0.0,0.12666666666666668,0.0410958904109589,0.0,0.15367483296213807,0.15328467153284672,0.14585319351763584,0.058823529411764705,0.20562770562770563,0.0,0.04861111111111111,0.3333333333333333,0.058823529411764705,0.05511811023622047,0.11815561959654179,0.14792899408284024,0.05504587155963303,0.08374384236453201
-6,0.08379888268156424,0.053691275167785234,0.0847457627118644,0.1291866028708134,0.13306451612903225,0.07365439093484419,0.05436013590033975,0.10714285714285714,0.18597560975609756,0.12171052631578948,0.02564102564102564,0.09879518072289156,0.10401891252955082,0.2222222222222222,0.25,0.2205240174672489,0.13894736842105262,0.0,0.1616078753076292,0.06944444444444445,0.0,0.14482758620689656,0.16233766233766234,0.15033947623666344,0.16374269005847952,0.22972972972972974,0.05555555555555555,0.06944444444444445,0.33088235294117646,0.08830022075055188,0.08391608391608392,0.16795865633074936,0.1870967741935484,0.06796116504854369,0.05642633228840126
-5,0.07142857142857142,0.06233062330623306,0.06578947368421052,0.12727272727272726,0.10344827586206896,0.07742998352553541,0.051008303677342826,0.03571428571428571,0.19339622641509435,0.17032484635645304,0.06324110671936758,0.09889001009081735,0.1189873417721519,0.09090909090909091,0.16666666666666666,0.19213973799126638,0.1341222879684418,0.0,0.1449525452976704,0.0449438202247191,0.14285714285714285,0.143348623853211,0.17857142857142858,0.17318435754189945,0.10810810810810811,0.21749136939010358,0.08695652173913043,0.06578947368421052,0.3582089552238806,0.06479481641468683,0.16029593094944514,0.10024449877750612,0.21511627906976744,0.102803738317757,0.07971014492753623
-4,0.04234527687296417,0.03201024327784891,0.17307692307692307,0.15,0.11267605633802817,0.08846761453396525,0.04591836734693878,0.047619047619047616,0.1447721179624665,0.1702127659574468,0.0683453237410072,0.11124121779859485,0.12468193384223919,0.21428571428571427,0.1111111111111111,0.18414322250639387,0.08961303462321792,0.0,0.13004115226337448,0.13580246913580246,0.10256410256410256,0.15704387990762125,0.13333333333333333,0.13408393039918118,0.07738095238095238,0.2342007434944238,0.047619047619047616,0.06748466257668712,0.3357664233576642,0.07010309278350516,0.1134020618556701,0.0979498861047836,0.15789473684210525,0.06796116504854369,0.06666666666666667
-3,0.0675,0.057065217391304345,0.1206896551724138,0.12777777777777777,0.10648148148148148,0.09534706331045004,0.040774719673802244,0.10344827586206896,0.2,0.14947683109118087,0.09505703422053231,0.13841524573721165,0.1261682242990654,0.1,0.0975609756097561,0.15233415233415235,0.11392405063291139,0.0,0.16990640748740102,0.08620689655172414,0.10619469026548672,0.1354292623941959,0.13829787234042554,0.14597315436241612,0.11413043478260869,0.22994652406417113,0.08333333333333333,0.0684931506849315,0.35172413793103446,0.060498220640569395,0.11502347417840375,0.12244897959183673,0.17204301075268819,0.10638297872340426,0.0481283422459893
