cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.02998408276959809,0.021363090690821783,0.015941670785961443,0.01604491578290705,0.01420533288984977,0.027141403231836496,0.020720201437975913,0.005357142857142857,0.008298755186721992,0.06610436182669789,0.022062320368877033,0.04449925665630491,0.02819134142949847,0.06491361788617886,0.14365706757011107,0.02994296577946768,0.010699216395418928,0.0019767565272765866,0.008600095556617296,0.013736263736263736,0.022284358583290965,0.017973892545810354,0.0063850687622789785,0.006292517006802721,0.0355032083755488,0.01140970086664803,0.008103702310417255,0.0186112906701142,0.004513841692718953,0.015846891752092543,0.009769417475728156,0.04448957694665849,0.03630157098810747,0.009261451059296958,0.04122532734023842,0.014921991962808289,0.039786967418546364,0.022083368997688948,0.006804910570600947,0.00893186975565993,0.03914863510406226,0.022556390977443608
-11,0.027276464542651594,0.0273353243736519,0.024875196608083155,0.018981337076315243,0.01768970939374527,0.02742998716984471,0.020585491019360858,0.005999102937878448,0.0,0.011350168657124623,0.017789838685361072,0.01232789766624353,0.030094510128774756,0.06966639763249934,0.09394721744119335,0.028517110266159697,0.008915304606240713,0.0011261261261261261,0.012044752049455718,0.015546831573096165,0.013246753246753246,0.016593274127284806,0.001976284584980237,0.034482758620689655,0.02848335959951794,0.008924127142146056,0.005847064469684851,0.0170562411010916,0.01388835950602226,0.008015422077922078,0.006368102796674225,0.046166263115415655,0.024698396351331472,0.004781139230071717,0.048458550794999396,0.01704221334854535,0.012,0.033622522460736576,0.006362402443162538,0.010461192350956132,0.06425824175824177,0.0
-10,0.030582073160429164,0.02130325814536341,0.019793948243692704,0.020409148595707114,0.010592069527430744,0.016782958029389998,0.02312816345877135,0.00715430402930403,0.001812141347025068,0.01471912642125408,0.022085674925105506,0.017957604982921437,0.025394216848612903,0.059044808910688744,0.0336038961038961,0.01690051020408163,0.011455525606469003,0.006114782805174264,0.00701530612244898,0.01904982772329711,0.012597241867043847,0.019433034972340273,0.002496532593619972,0.030327214684756586,0.036766112067316885,0.01059322033898305,0.007204779756326148,0.028465782368822634,0.005513961958721166,0.011318999379780856,0.008641527677060673,0.046317606444188725,0.02161806790935107,0.006770015698587127,0.0480268474454521,0.021826510564933243,0.022222222222222223,0.028437510084223433,0.004794242396895587,0.006185231403613477,0.03387402071612598,0.2097902097902098
-9,0.027580906839723338,0.021835945591383,0.012759569677257944,0.01958050776214762,0.01495233941810479,0.027462776010694696,0.02348059454995871,0.0015026296018031556,0.015131286159323541,0.0213155345031758,0.020409787601764682,0.02172259961472169,0.029495329395172003,0.08517912888360339,0.08847736625514403,0.017953321364452424,0.009818360333824251,0.002823656280152109,0.01393859146865159,0.010379932131212988,0.015625,0.015770168337779413,0.0,0.005988023952095809,0.02749164181801753,0.013195639701663797,0.005319327731092437,0.03688418042376186,0.005593621149648315,0.014395338102930996,0.010521949011917333,0.06320598006644518,0.020064864020006252,0.00967524819114925,0.03903156003756176,0.01907053285006041,0.02711640211640212,0.024986623863028357,0.0050648490012307115,0.005824266792809839,0.026920180722891568,0.029411764705882353
-8,0.029909453583755435,0.01892262666910554,0.01405152224824356,0.01837915434139551,0.011729045861887189,0.025741796030654355,0.02468049214294882,0.0034873583260680036,0.01683087027914614,0.00713742943986105,0.020958711523283345,0.01315357689783417,0.026063841400842776,0.05970239211379283,0.059314033983637514,0.029253774680603948,0.009900990099009901,0.003791635069707753,0.01594896331738437,0.01306790425012213,0.01978021978021978,0.018243015383019014,0.00860493451111788,0.0009398496240601504,0.034030116901129386,0.010576075634965147,0.005988589564363169,0.025500910746812388,0.004216463755165867,0.014810648668916383,0.008668804180026125,0.04671447955030045,0.021818826868495744,0.005984440454817474,0.048507462686567165,0.0195323951920258,0.020066889632107024,0.024972025363670273,0.00638183125599233,0.005981861452370232,0.03132859657947686,0.014744429882044562
-7,0.028707052441229654,0.019516104980614377,0.009047895741678426,0.021174099788185456,0.01186095413326324,0.02830099941211052,0.021574632491519034,0.0018814675446848542,0.007902735562310031,0.007658477403700333,0.024854778183313626,0.023570831841508533,0.02423762159798885,0.05471505731922399,0.06848127600554785,0.017391926710563985,0.015669347209082307,0.0017079419299743809,0.029348393836510837,0.01831361378907391,0.013356562137049943,0.019637505351791068,0.002457002457002457,0.005319148936170213,0.03176260065612884,0.0,0.006314271817676487,0.023328641801548203,0.005013778322106552,0.016022620169651274,0.007517753005117626,0.0362078248384781,0.021834147109781068,0.00680057647270762,0.04185917575309554,0.018868956464668563,0.026473526473526472,0.017826842275371686,0.004941599281221923,0.005161895823557016,0.025784484310313795,0.0
-6,0.03216582452916858,0.019343822210140003,0.015873015873015872,0.01929245283018868,0.015306122448979593,0.02625085889187332,0.022955190504859377,0.005595523581135092,0.03966140384249572,0.012807881773399015,0.027671256754401255,0.011880114364586416,0.02689267378371771,0.05203196520243786,0.06203007518796992,0.022582972582972583,0.023923444976076555,0.0041356492969396195,0.015513287467961687,0.02553553695559654,0.011258955987717503,0.013258760951188987,0.002145922746781116,0.015463917525773196,0.04146876141761052,0.016839683850418778,0.006824335085204651,0.018759616522665404,0.0062116433685646105,0.017237208177089635,0.00878858053984283,0.0412621359223301,0.026795182548098772,0.003593762689840006,0.037297222350603135,0.02394387755102041,0.006872852233676976,0.025130693272286193,0.006582857142857144,0.007142857142857143,0.03545288197621226,0.0
-5,0.03472728833197442,0.01899092970521542,0.012259848994542872,0.01948114638788514,0.01897845853420394,0.029250208855472016,0.022859462773625865,0.00842911877394636,0.013888888888888888,0.01252260397830018,0.022735952338518727,0.017057201929703652,0.030351880907734108,0.06563834836260087,0.05102040816326531,0.026803535785571715,0.006215337540638745,0.002160864345738295,0.017305893358278764,0.01894195851541823,0.017259845114516392,0.017287084671893604,0.0,0.019494697442295695,0.036164565361645654,0.012121775793650792,0.009105161601543656,0.027075602968460108,0.0071651090342679125,0.01592115238817286,0.008478931140801645,0.035758106923751094,0.02119536598209584,0.009468346406782348,0.05473698705590746,0.016810796904992778,0.043265306122448985,0.024454205730020325,0.008915637718148583,0.008647626356759128,0.037977498691784406,0.0003401360544217687
-4,0.12263378528853082,0.020850310286466497,0.015078051087984864,0.02118831294358068,0.013259566050565618,0.02750923198207543,0.02275221953188055,0.005063518696069032,0.012185775597792766,0.012689127375087967,0.018804112554112552,0.012259758272240934,0.023390779342364203,0.0538972215392181,0.04424066924066924,0.02663551401869159,0.024206349206349204,0.0033543804262036307,0.021639218690157027,0.019633425553319917,0.008908507223113964,0.02106052344601963,0.0027361751152073736,0.011259676284306826,0.033430877006295996,0.014607405462184874,0.005239496749571461,0.025514240506329115,0.007084973373466081,0.017362637362637365,0.013298222514812377,0.05340336134453782,0.020226768724515346,0.0037058152793614596,0.045688038995125614,0.01783303113305814,0.022935779816513763,0.026968973747016706,0.006974058280028428,0.008737864077669903,0.03015309932785661,0.008620689655172414
-3,0.03769495603119297,0.01923758008950707,0.015827478532396567,0.02180310326377742,0.012435172088637435,0.021569469981613236,0.02382253921976954,0.0007698229407236335,0.01424963924963925,0.012300123001230012,0.019064546102815653,0.016785227051257064,0.02425876010781671,0.05749143329788491,0.07661960132890365,0.02309344790547798,0.031146179401993355,0.004844570044408559,0.014059533117390818,0.01897507751013594,0.01380897583429229,0.020111287758346582,0.0020833333333333333,0.0223463687150838,0.03416446348801167,0.014110506226143547,0.006969263759828449,0.02181208053691275,0.01198892754273744,0.017871743955145427,0.006191104410101772,0.06103596172880237,0.026517250935291673,0.004614656464463201,0.04944504117436448,0.0138642413487134,0.014823162274618587,0.02332227441447952,0.005741990258724698,0.011759360232642676,0.02360711807276693,0.0
