cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.010864345738295318,0.012291280148423006,0.0,0.002824858757062147,0.005295178008111762,0.017578520770010132,0.01672603003465537,0.008,0.013029315960912053,0.013119533527696793,0.011083743842364532,0.027640123034859878,0.031293063849333946,0.0,0.007936507936507936,0.0,0.0021691973969631237,0.010893246187363835,0.0,0.008043758043758044,0.0,0.007194244604316547,0.0,0.0027198549410698096,0.014204545454545454,0.0014925373134328358,0.004166666666666667,0.002176278563656148,0.07692307692307693,0.027472527472527472,0.005494505494505495,0.021843599825251202,0.005454372984253462,0.0,0.015355086372360844,0.001424707814160147,0.009389671361502348,0.03181063122923588,0.0
-11,0.016725352112676055,0.011736496718828874,0.0,0.009211822660098522,0.004523809523809524,0.013258390705679862,0.014676726511730366,0.0,0.0,0.005883240307738724,0.0,0.02643577027675572,0.03260869565217391,0.0,0.007692307692307693,0.0,0.0,0.013544018058690745,0.014925373134328358,0.00821304131408661,0.0,0.01444043321299639,0.007462686567164179,0.0009514747859181732,0.0,0.0012861736334405145,0.006003694581280788,0.0,0.0047619047619047615,0.013440860215053764,0.004,0.03534170747285501,0.003400212211825986,0.0,0.015283140283140283,0.0021079666602054664,0.0,0.050030138637733576,0.0
-10,0.021156832298136648,0.010652404526166902,0.0,0.006069802731411229,0.003401360544217687,0.010801571137620017,0.02066929133858268,0.0,0.00684931506849315,0.012970859985785359,0.004807692307692308,0.03439572031344183,0.02883845126835781,0.0,0.0,0.0024509803921568627,0.004784688995215311,0.016736401673640166,0.0,0.012238439679669337,0.0,0.03093112244897959,0.0,0.0033184386910237876,0.0110803324099723,0.0007102272727272727,0.008130081300813009,0.0,0.05921052631578947,0.018445839874411302,0.0,0.03063063063063063,0.009585962899215912,0.07142857142857142,0.021327967806841045,0.0028318666916307806,0.0,0.015584415584415584,0.0
-9,0.02240630092341119,0.006766297952459401,0.011363636363636364,0.010278239202657807,0.0003631961259079903,0.010920660398991058,0.012326656394453005,0.0,0.016129032258064516,0.0056625141562853904,0.009389671361502348,0.03160868797457178,0.022616797191466382,0.0,0.01020408163265306,0.0,0.005566974991435422,0.0069124423963133645,0.013888888888888888,0.007983576642335767,0.0,0.017543859649122806,0.01639344262295082,0.0,0.0136986301369863,0.0013531799729364006,0.014348097317529632,0.002366863905325444,0.020833333333333332,0.003125,0.0,0.014850449696716167,0.008970545908087883,0.0,0.012842284016132455,0.0016149528751456107,0.0,0.008201058201058202,0.0
-8,0.021285714285714286,0.011494252873563218,0.012658227848101266,0.004128819157720892,0.006872852233676976,0.011087968635138447,0.013349514563106795,0.0,0.0,0.006880733944954129,0.005376344086021506,0.03278688524590164,0.019106407995296885,0.0,0.018518518518518517,0.0,0.005235602094240838,0.015,0.0,0.008421052631578947,0.0,0.024515738498789345,0.013176144244105407,0.0025205521948192954,0.0034129692832764505,0.0004610044473370213,0.004968944099378881,0.0011337868480725624,0.022167487684729065,0.010161799526440411,0.012195121951219513,0.030659853365918685,0.009110547572086033,0.0,0.01651305683563748,0.0037425149700598802,0.0,0.020986745213549336,0.0
-7,0.023784513805522208,0.01241405653170359,0.0,0.01613958560523446,0.0035714285714285713,0.022303894063517002,0.01854714064914992,0.0,0.005208333333333333,0.007338551859099805,0.011494252873563218,0.025777649769585253,0.021739130434782608,0.0,0.0,0.0,0.012713282034125126,0.014204545454545454,0.0,0.013590033975084938,0.012987012987012988,0.016877637130801686,0.0,0.0032135553607946245,0.021640998406797663,0.0003017335966644722,0.021008403361344536,0.0012531328320802004,0.05015197568389058,0.01079499596448749,0.0,0.024464285714285716,0.011045655375552283,0.0,0.008435960591133005,0.001563721657544957,0.0,0.02630121816168328,0.0
-6,0.023978556940017385,0.018647281921618207,0.0,0.0014992503748125937,0.00655515370705244,0.012744200244200244,0.016734052111410602,0.0017468944099378882,0.00904977375565611,0.011742239557939217,0.004784688995215311,0.017122712774886688,0.026266061980347692,0.0,0.004884004884004884,0.0,0.00702576112412178,0.03596461949265688,0.0,0.00911168405015821,0.0,0.016581632653061226,0.007905138339920948,0.0009285051067780873,0.006771515945827873,0.0007741535920726672,0.0027124773960217,0.005287992190042303,0.011583011583011582,0.019662921348314606,0.0,0.022776055330312423,0.011340109166196124,0.0,0.012030075187969926,0.002452697967764541,0.0,0.03078078078078078,0.0
-5,0.012417014998770593,0.00430416068866571,0.0,0.004616132167152575,0.0,0.017555705604321403,0.0149752208575738,0.0,0.0008043758043758044,0.009518385942076147,0.007565095003518648,0.025114697041607337,0.02811059907834101,0.0,0.0,0.002849002849002849,0.004144620811287478,0.02780388471177945,0.0,0.006578102939288923,0.0,0.012672811059907833,0.010238907849829351,0.004455081001472754,0.014680105170902716,0.0007513148009015778,0.00392156862745098,0.0032985828310799804,0.0,0.00872093023255814,0.0,0.017799539170506914,0.0107357572287432,0.06976744186046512,0.013569410815173528,0.001463057790782736,0.005649717514124294,0.03736531108793883,0.0
-4,0.03491351697629724,0.012615493958777542,0.0,0.00889110889110889,0.005612244897959183,0.016013198757763976,0.015176443889708386,0.0,0.004524886877828055,0.009244723530437815,0.004629629629629629,0.015081206496519721,0.02120535714285714,0.06547619047619048,0.0,0.0,0.008500380614057345,0.011437426210153482,0.0,0.008593322386425834,0.0,0.021015987622485816,0.0,0.0009433962264150943,0.008955223880597015,5.7234432234432234e-05,0.014285714285714285,0.005037783375314861,0.0392156862745098,0.014699792960662525,0.0,0.03188180404354588,0.013518966908797416,0.0,0.013934606100504718,0.0028388928317956,0.0,0.03361904761904762,0.024553571428571428
-3,0.009840240796480666,0.018615086102352657,0.0,0.0040178571428571425,0.0033222591362126247,0.014239028944911298,0.015690376569037656,0.0,0.009615384615384616,0.006593406593406593,0.0005138746145940391,0.02443824831884533,0.01984126984126984,0.0,0.0,0.0,0.01050420168067227,0.014696586599241465,0.0,0.010621252842671076,0.0,0.03615886188500296,0.017123287671232876,0.0010183299389002036,0.010372899159663865,0.002387193409473881,0.012539682539682538,0.002247752247752248,0.02,0.006060606060606061,0.0,0.027823324451731912,0.0070551891124655585,0.045454545454545456,0.010016187778227438,0.0020445134575569355,0.011627906976744186,0.022427440633245383,0.0
-2,0.010055478502080445,0.010439560439560439,0.01282051282051282,0.005006675567423231,0.0,0.019085674575598136,0.012405429461504228,0.0,0.008803986710963455,0.003625424251774144,0.001955161626694473,0.015240328253223915,0.030379746835443037,0.0,0.003484320557491289,0.0,0.0,0.009663865546218486,0.0,0.007080383173677634,0.0,0.007305194805194805,0.0,0.0,0.002702702702702703,0.0029676627097830538,0.008511348464619492,0.002232142857142857,0.044444444444444446,0.002857142857142857,0.0004926108374384236,0.024128233970753657,0.012112965111091282,0.0,0.016423357664233577,0.0029585798816568047,0.0,0.04120138621486331,0.0
-1,0.01782312925170068,0.013030888030888031,0.0,0.005847953216374269,0.007199322416713721,0.011183506758727996,0.006874854346306222,0.008333333333333333,0.005025125628140704,0.007765882765882765,0.007220216606498195,0.021483657730444364,0.028036742528105292,0.0,0.0,0.0,0.00881057268722467,0.015100101798439092,0.0,0.008217210935006915,0.0,0.022727272727272728,0.0024378352023403218,0.0,0.0031187122736418514,0.0021652563464410156,0.014018691588785047,0.0011261261261261261,0.0,0.011797511797511798,0.0,0.0205228158679202,0.009059790050205387,0.0,0.015405031156242789,0.0,0.0,0.026410564225690276,0.0
0,0.014824797843665768,0.019888430754305117,0.0,0.005022321428571428,0.0,0.012431368486480887,0.014214046822742474,0.0,0.01142213642213642,0.005710975004138388,0.0,0.018001540238737006,0.025574583145561065,0.0,0.0,0.0,0.005076594228713929,0.010622710622710621,0.0,0.006168080185042405,0.0,0.011111111111111112,0.0020864015709376534,0.003774981495188749,0.00551948051948052,0.001427494074552898,0.013331138907175773,0.00019644821625019646,0.10334346504559269,0.0036363636363636364,0.0,0.035659340659340656,0.011351611351611352,0.0,0.006678281068524971,0.0014771048744460858,0.0,0.027809523809523812,0.0
