cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.00989510111387477,0.014435592017038732,0.00708128078817734,0.008695652173913044,0.01140950885848845,0.015992835209825997,0.014462508657456349,0.0,0.02380952380952381,0.016119196682657128,0.010650128314798973,0.024519426645431313,0.06323859386686612,0.0,0.0,0.005319148936170213,0.0011638056444573754,0.006230529595015576,0.00411522633744856,0.006588950836289914,0.0,0.01718213058419244,0.024793388429752067,0.005878438331854481,0.015723270440251572,0.002810055441634389,0.01079136690647482,0.0014204545454545455,0.06686046511627906,0.01460809993955269,0.010841836734693877,0.031841652323580036,0.010759919300605245,0.19047619047619047,0.013125281658404686,0.004024144869215292,0.001589825119236884,0.040054563492063495,0.0
-11,0.017716976900650373,0.020075421472937,0.010416666666666666,0.008723732407942934,0.009057555606512268,0.02060517563072929,0.012203626220362623,0.0,0.002898550724637681,0.01336278540810078,0.010773540185304891,0.0214190349036811,0.036949571283243714,0.0,0.006873879258816497,6.400409626216078e-05,0.002173913043478261,0.006794131794131794,0.0,0.007554945054945055,0.0,0.004098360655737705,0.004294755877034358,0.0036824877250409165,0.017180735930735932,0.004995914122279177,0.003436426116838488,0.0015932023366967605,0.03506493506493506,0.01430615164520744,0.008333333333333333,0.0324736068421756,0.006560250094732853,0.09090909090909091,0.025816122584943372,0.00423956209080176,0.005128205128205128,0.07341269841269842,0.0
-10,0.020491326114797998,0.023827923750644,0.0,0.006925207756232687,0.009479531457553437,0.011545056764427625,0.013697626721359508,0.005698005698005698,0.0,0.015508955875928354,0.008077544426494346,0.020745798319327734,0.05045467879143444,0.00974025974025974,0.0,0.005681818181818182,0.0,0.006692726841980573,0.0,0.01196822979001197,0.006944444444444444,0.034482758620689655,0.01818181818181818,0.0030249804839968773,0.022940563086548488,0.004519276915693489,0.0,0.0023257057313943543,0.04237867395762133,0.012698412698412698,0.009685230024213076,0.046250544978927485,0.009483178937103851,0.0,0.017231711525189784,0.0014295925661186562,0.0003301782962799912,0.027452791461412152,0.2153361344537815
-9,0.013075722092115535,0.015797430083144368,0.0,0.004823481116584565,0.006519526777763643,0.017672625881581104,0.013093206565902812,0.002840909090909091,0.010416666666666666,0.013443780554046714,0.010034904013961605,0.025846538099332596,0.046514482081492385,0.0,0.0006464124111182935,0.003578445130507999,0.004132231404958678,0.0053179579041648,0.006292517006802721,0.01002124987926205,0.0,0.02066115702479339,0.0072992700729927005,0.0009009009009009009,0.014084507042253521,0.0036382945248584018,0.004329004329004329,0.0014892032762472078,0.08724235963041933,0.007183908045977011,0.005128205128205128,0.03290719696969697,0.007794986753617282,0.0,0.01322219028456453,0.001440922190201729,0.0013780431786862655,0.02896376644357258,0.038461538461538464
-8,0.01457270408163265,0.013736263736263736,0.0,0.006772486772486772,0.0065685238975442305,0.018712844532516662,0.01222513948145717,0.003389830508474576,0.003472222222222222,0.02137212643678161,0.005309734513274336,0.01952608794714058,0.03976134846461949,0.0,0.0,0.0,0.008564139941690961,0.008514664143803216,0.0125,0.006707607917958502,0.0,0.009708737864077669,0.009708737864077669,0.0,0.01265466816647919,0.0017825311942959,0.028425655976676383,0.0003238723354139677,0.02946428571428571,0.008863399374348279,0.00273224043715847,0.03415470991890206,0.005227781926811053,0.0,0.017768553204414294,0.0014760147601476014,0.00294045577064445,0.037350597609561755,0.0
-7,0.011282051282051283,0.014303706369197554,0.0,0.006152003484320557,0.007697325505544684,0.013721351025331724,0.00890430900621118,0.0,0.010079641612742657,0.012464985994397758,0.01680672268907563,0.017681461667497848,0.024013272790778903,0.0,0.0,0.006038291605301915,0.006550218340611353,0.00967741935483871,0.0076403695806680876,0.008717660292463443,0.0,0.028169014084507043,0.041666666666666664,0.0009398496240601503,0.008020581113801453,0.0062560365264729125,0.008928571428571428,0.00234375,0.04020100502512563,0.008995502248875561,0.007906215921483098,0.04157096922370234,0.009224985540775015,0.0,0.010942012886025327,0.0007451564828614009,0.0020156210632401106,0.02868733700376702,0.0
-6,0.009969712266532055,0.012828068521137829,0.0,0.004569839062189549,0.00778577326884511,0.012407527113409466,0.011486001435750178,0.0,0.023391812865497075,0.012396694214876033,0.0016501650165016502,0.023546189518611236,0.02171244437624674,0.0,0.004081632653061225,0.0036968576709796672,0.004291845493562232,0.011564017377970866,0.0,0.003365617433414044,0.006711409395973154,0.03154327424400417,0.022392290249433105,0.0022159548751007254,0.0037348272642390287,0.0058554817275747505,0.015664160401002505,0.001383013342011064,0.03208556149732621,0.016749123891981035,0.002,0.028791692888609187,0.008270676691729323,0.0,0.00981675392670157,0.0028054254488680715,0.0011045655375552283,0.051089045483664317,0.0
-5,0.01020408163265306,0.017322497861420018,0.0,0.008579409417398244,0.007421921387008669,0.01725521669341894,0.011801934482346853,0.0023584905660377358,0.002881844380403458,0.01531580374085118,0.006473214285714286,0.022766988363318637,0.03528865500696486,0.0,0.0,0.0024699599465954607,0.0,0.011181068171949632,0.004499437570303712,0.004219507646400597,0.0,0.01702127659574468,0.0035335689045936395,0.004793650793650794,0.02000490918016691,0.0040987106139526944,0.011152416356877323,0.0,0.03962331201137172,0.013096991373869134,0.0020920502092050207,0.043626080325368584,0.008881454956652846,0.13616071428571427,0.014165743816906606,0.0036101083032490976,0.0019122609673790777,0.0528811524609844,0.0
-4,0.026174880432522356,0.01638996138996139,0.0,0.009236453201970444,0.009449210493596916,0.015940718609953615,0.007950703671672301,0.002325581395348837,0.002840909090909091,0.01801017044919484,0.0,0.024327262843163902,0.03175465838509317,0.0,0.005230125523012552,0.00186219739292365,0.009778085991678225,0.017444601603017446,0.006952017448200654,0.006708640903169779,0.0,0.027559055118110236,0.004878048780487805,0.003257328990228013,0.003246753246753247,0.0011535048802129547,0.004081632653061225,0.0027548209366391185,0.02617801047120419,0.013926630434782608,0.0027345044746436855,0.03940053178631859,0.007694074414331648,0.08333333333333333,0.01699795652981609,0.0033783783783783786,0.006147540983606557,0.03128641342344442,0.0
-3,0.01616312321273157,0.01546972049689441,0.024213075060532687,0.009523809523809523,0.003464818763326226,0.014199655765920825,0.015546953046953046,0.0,0.0,0.01978465083303793,0.00585480093676815,0.02383232362712527,0.03908662441085649,0.0,0.0035460992907801418,0.0018450184501845018,0.00199203187250996,0.00430416068866571,0.004171011470281543,0.008767951625094483,0.0,0.016576819407008083,0.008968609865470852,0.003527336860670194,0.0,0.0036064425770308125,0.011191573403554972,0.0007507507507507507,0.06172839506172839,0.011227392806340176,0.005964214711729622,0.04066850620845353,0.00552071973827699,0.0,0.014919461315025086,9.555661729574773e-05,0.0,0.03724110462028678,0.0
-2,0.013319889620038208,0.01304691618344755,0.0,0.00949136042832806,0.009243307712695468,0.013813303099017385,0.012308255686210684,0.0,0.005249343832020997,0.013565001836210063,0.007016434892541087,0.020817965740513072,0.03736343022057308,0.0,0.0,0.0057692307692307696,0.010889430399025284,0.0022033203525312563,0.007986738999397227,0.008765885775532079,0.0,0.01702127659574468,0.0034423407917383822,0.0013824884792626728,0.003912165572942958,0.004003592007782684,0.004347826086956522,0.0007836990595611285,0.03986710963455149,0.01597444089456869,0.0033774073009485484,0.03615365302535777,0.00867155372787413,0.0,0.01521585279547063,0.0016588602654176426,0.003115264797507788,0.043916957026713124,0.02040816326530612
