cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0,0.0002603488674824265,0.0,0.0,0.0008163265306122449,0.00044483985765124553,0.0007770870337477797,0.004341534008683068,0.0,0.00034246575342465754,0.0014785608674223755,0.0013280212483399733,0.0,0.0,0.0,0.002909796314258002,0.0010559662090813093,0.0,0.004651162790697674,0.0003435835767050335,0.003929273084479371,0.0,0.0,0.0004410143329658214,0.0008771929824561404,0.0008211528986697323,0.0009276437847866419,0.0,0.0,0.0015706806282722514,0.0017897091722595079,0.0006561679790026247,0.0007656967840735069,0.0,0.0012507817385866166,0.0005820721769499418,0.0,0.0,0.0
-11,0.00030339805825242716,0.0,0.0,0.0010114632501685772,0.0,0.0014211274277593558,0.0004892367906066536,0.0012091898428053204,0.0029917726252804786,0.0003529204164460914,0.0021660649819494585,0.0010819583446037328,0.0018005041411595247,0.0,0.0,0.0009832841691248771,0.000550357732526142,0.0,0.004746835443037975,0.0002035002035002035,0.003968253968253968,0.0,0.0,0.0,0.0,0.0005640157924421884,0.000946073793755913,0.0019347705914870095,0.0,0.001049317943336831,0.0018999366687777073,0.0006849315068493151,0.000315059861373661,0.0,0.002032004064008128,0.0,0.0,0.0,0.0
-10,0.0,0.0,0.0,0.000362844702467344,0.0004440497335701599,0.0006432246998284735,0.000744324525493115,0.0,0.004659832246039142,0.00036277888626881915,0.0,0.0012747875354107649,0.00036845983787767134,0.0,0.0,0.0010136847440446021,0.0005633802816901409,0.000962000962000962,0.003129890453834116,0.0006939625260235947,0.0,0.00176522506619594,0.0017123287671232876,0.0,0.0,0.000479463001438389,0.0009442870632672333,0.0008720930232558139,0.0,0.0016703786191536749,0.0,0.0007513148009015778,0.0003139717425431711,0.0,0.004952830188679245,0.000756000756000756,0.0,0.0,0.008130081300813009
-9,0.00031347962382445143,0.0,0.0,0.0,0.0004551661356395084,0.0004923682914820286,0.000844187168355041,0.006009615384615385,0.0025974025974025974,0.00018857250612860644,0.0030097817908201654,0.0014647722279185586,0.0003913894324853229,0.0,0.0,0.0010251153254741158,0.0011312217194570137,0.0,0.0016260162601626016,0.0026839633191679713,0.0022471910112359553,0.0,0.001694915254237288,0.0,0.0,0.0006164278008938204,0.0,0.001372495196266813,0.0,0.0005605381165919282,0.0006357279084551812,0.0003471017007983339,0.00032605151613955004,0.0,0.00472193074501574,0.0007964954201513341,0.0,0.0016129032258064516,0.0
-8,0.0006583278472679394,0.0005261773217574323,0.0,0.00037397157816005983,0.00048192771084337347,0.001053370786516854,0.0004005875283749499,0.0026954177897574125,0.002617801047120419,0.00040958427196395656,0.001607717041800643,0.0012578616352201257,0.0004137360364087712,0.0,0.0,0.0026609898882384245,0.0,0.0005002501250625312,0.0045871559633027525,0.0005073566717402334,0.002145922746781116,0.0,0.0,0.0002655337227827934,0.0,0.0008614748449345279,0.0,0.00029069767441860465,0.0,0.0011235955056179776,0.0013175230566534915,0.0,0.0,0.0,0.005209761447765287,0.0004087471898630697,0.0,0.0,0.0
-7,0.0003673769287288758,0.0,0.0,0.0,0.0009523809523809524,0.0003351768057650411,0.000684369011771147,0.0027739251040221915,0.0049586776859504135,0.00021635655560363478,0.0008787346221441124,0.0012578616352201257,0.0,0.0,0.0,0.0016438356164383563,0.0,0.0005249343832020997,0.005649717514124294,0.00028312570781426955,0.0,0.0,0.0,0.000244081034903588,0.0,0.00016972165648336727,0.0,0.0005815644082582146,0.0,0.0022675736961451248,0.004106776180698152,0.0003898635477582846,0.0003466204506065858,0.0,0.003875968992248062,0.001043187982474442,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.000725689404934688,0.0013066202090592336,0.0005934718100890207,0.0008710801393728223,0.0,0.0031746031746031746,0.0,0.0007251631617113851,0.0010238408658768466,0.0011498658489842851,0.0,0.0,0.0036344755970924196,0.0005167958656330749,0.0,0.004261363636363636,0.0,0.002145922746781116,0.0,0.0,0.00022431583669807088,0.0,0.00016531658125309968,0.0,0.0,0.0,0.0016295491580662683,0.0024706609017912293,0.0,0.000631811720107408,0.0,0.004278882456581928,0.000777000777000777,0.0007627765064836003,0.0,0.0
-5,0.0,0.0,0.0,0.0003616636528028933,0.0004464285714285714,0.0005969258319653783,0.000968405762014284,0.0035810205908683975,0.0036127167630057803,0.00018825301204819278,0.002175489485134155,0.002057048820625343,0.0011029411764705882,0.0,0.0,0.002663825253063399,0.0020942408376963353,0.0004420866489832007,0.0046875,0.00042078687144961075,0.0,0.0008216926869350862,0.0,0.0004841442749939482,0.0009487666034155598,0.0008680555555555555,0.0,0.0,0.0,0.001632208922742111,0.0018170805572380376,0.0010235414534288639,0.0,0.0,0.006047411707789066,0.000795070562512423,0.0,0.0,0.0
-4,0.0002501250625312656,0.0,0.0,0.0007366482504604051,0.0,0.001037344398340249,0.0008233356857210068,0.005305039787798408,0.004285714285714286,0.0005825242718446602,0.0007288629737609329,0.0015066429256266264,0.0,0.0,0.0,0.0,0.0013280212483399733,0.00045045045045045046,0.005988023952095809,0.001156737998843262,0.0020161290322580645,0.0008045052292839903,0.0,0.00045475216007276033,0.0018264840182648401,0.0003614022406938923,0.0009881422924901185,0.0,0.0,0.0005197505197505198,0.0018645121193287756,0.0006457862447529867,0.0005916284573287975,0.0,0.006009013520280421,0.0009633911368015414,0.0,0.0,0.0
-3,0.0,0.0002498750624687656,0.0,0.0,0.0,0.00014336917562724014,0.0006315523556902868,0.0032025620496397116,0.004216444132115249,0.0007182618064284432,0.0014245014245014246,0.00135666802333469,0.0003990422984836393,0.0,0.0,0.0005099439061703213,0.00043122035360068997,0.0,0.0,0.0005164400068858667,0.002105263157894737,0.0007980845969672786,0.0,0.0,0.0,0.0014452955629426219,0.0,0.00055005500550055,0.0,0.0016059957173447537,0.0012091898428053204,0.0006180469715698393,0.00029308323563892143,0.0,0.00361794500723589,0.000194325689856199,0.0,0.0006042296072507553,0.0
