cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0011733646230566149,0.0,0.011799410029498525,0.0042608980662078005,0.004081632653061225,0.003410438908659549,0.002997335701598579,0.008683068017366137,0.0029779630732578916,0.007020547945205479,0.0014785608674223755,0.004780876494023904,0.0006704659738518271,0.0,0.011283497884344146,0.00533462657613967,0.0031678986272439284,0.009411764705882352,0.006201550387596899,0.006528087957395637,0.021611001964636542,0.0,0.00392156862745098,0.00639470782800441,0.007017543859649123,0.006569223189357858,0.00463821892393321,0.009141696292534281,0.009216589861751152,0.0015706806282722514,0.014317673378076063,0.007545931758530184,0.005053598774885145,0.0,0.009380863039399626,0.00892510671323244,0.0030845157310302285,0.006597031335898846,0.015503875968992248
-11,0.0012135922330097086,0.0007132667617689016,0.0,0.0037086985839514496,0.002540220152413209,0.002526448760461077,0.0020792563600782778,0.012091898428053204,0.004487658937920718,0.004058584789130051,0.0021660649819494585,0.004192588585339464,0.0021606049693914295,0.0,0.011904761904761904,0.007374631268436578,0.008805723720418272,0.00400600901352028,0.011075949367088608,0.007529507529507529,0.003968253968253968,0.0,0.0016863406408094434,0.006964727027634239,0.0066985645933014355,0.0056401579244218835,0.002838221381267739,0.009673852957435046,0.0,0.002098635886673662,0.01836605446485117,0.010616438356164383,0.003938248267170762,0.0,0.01651003302006604,0.009020090200902008,0.009345794392523364,0.003218884120171674,0.0
-10,0.0012387736141220192,0.00023014959723820482,0.007017543859649123,0.0050798258345428155,0.0066607460035523975,0.0023584905660377358,0.00148864905098623,0.012106537530266344,0.0065237651444548,0.005623072737166697,0.0014705882352941176,0.006373937677053824,0.0007369196757553427,0.0,0.010362694300518135,0.007095793208312215,0.006197183098591549,0.002405002405002405,0.004694835680751174,0.008096229470275272,0.009727626459143969,0.0,0.0,0.00423230660710087,0.0018656716417910447,0.005114272015342816,0.0084985835694051,0.006686046511627907,0.0,0.0027839643652561247,0.017533252720677146,0.0101427498121713,0.00423861852433281,0.0,0.020283018867924527,0.00756000756000756,0.007947019867549669,0.003913894324853229,0.016260162601626018
-9,0.001567398119122257,0.0017271157167530224,0.0034965034965034965,0.003955411722402014,0.005006827492034593,0.0027900869850648285,0.00241196333815726,0.002403846153846154,0.0025974025974025974,0.0073543277390156515,0.004514672686230248,0.00424783946096382,0.0015655577299412916,0.0,0.012089810017271158,0.007175807278318811,0.006787330316742082,0.004748338081671415,0.0016260162601626016,0.008275553567434578,0.011235955056179775,0.0,0.001694915254237288,0.005897617362585515,0.0,0.004931422407150563,0.006237006237006237,0.009332967334614329,0.005390835579514825,0.003923766816143498,0.019071837253655435,0.010413051023950017,0.005379850016302576,0.0,0.017838405036726127,0.011350059737156512,0.005283018867924529,0.005913978494623656,0.0
-8,0.0013166556945358788,0.0015785319652722968,0.009615384615384616,0.0033657442034405387,0.005783132530120482,0.002282303370786517,0.0014688209373748165,0.012129380053908356,0.008726003490401396,0.007986893303297153,0.001607717041800643,0.005974842767295598,0.0016549441456350847,0.0,0.009966777408637873,0.005854177754124534,0.008206330597889801,0.004502251125562781,0.0022935779816513763,0.008625063419583967,0.008583690987124463,0.0,0.004347826086956522,0.0034519383961763143,0.004197271773347324,0.006030323914541696,0.008839779005524863,0.00813953488372093,0.0,0.003932584269662922,0.01844532279314888,0.009538344143456695,0.0026263952724885093,0.0,0.028790786948176585,0.008583690987124463,0.005686433793663688,0.002504696305572949,0.0380952380952381
-7,0.0003673769287288758,0.0013469827586206897,0.013029315960912053,0.0027216174183514776,0.004761904761904762,0.0015082956259426848,0.0026006022447303584,0.005547850208044383,0.005785123966942148,0.006707053223712679,0.0008787346221441124,0.005817610062893081,0.0008413967185527977,0.05555555555555555,0.006688963210702341,0.0027397260273972603,0.005497251374312844,0.004724409448818898,0.005649717514124294,0.00622876557191393,0.012315270935960592,0.0009074410163339383,0.0,0.004637539663168172,0.005707762557077625,0.006279701289884589,0.002398081534772182,0.009305030532131433,0.005494505494505495,0.0017006802721088435,0.028747433264887063,0.0101364522417154,0.0050259965337954935,0.0,0.02534287418008348,0.008762779052785313,0.004091653027823241,0.007207207207207207,0.03529411764705882
-6,0.0017001020061203672,0.00129366106080207,0.009259259259259259,0.00544267053701016,0.003048780487804878,0.0017804154302670622,0.0023643603782976604,0.015469613259668509,0.006349206349206349,0.006231117824773414,0.00435097897026831,0.005557993271902881,0.0007665772326561902,0.0,0.006546644844517185,0.004672897196261682,0.00516795865633075,0.002535496957403651,0.005681818181818182,0.0067410996418790815,0.006437768240343348,0.0,0.003393665158371041,0.005832211754149843,0.0018552875695732839,0.006612663250123987,0.0010834236186348862,0.012007819044959508,0.012232415902140673,0.0027159152634437804,0.01852995676343422,0.008942457231726283,0.0039488232506713,0.0,0.02693178957966272,0.00912975912975913,0.0015255530129672007,0.0029133284777858705,0.0
-5,0.0003194888178913738,0.000899685110211426,0.008403361344537815,0.00216998191681736,0.005803571428571429,0.0013430831219221012,0.001694710083524997,0.010743061772605193,0.007947976878612716,0.00809487951807229,0.0036258158085569255,0.007405375754251234,0.0011029411764705882,0.0,0.0026954177897574125,0.007458710708577517,0.005759162303664921,0.006631299734748011,0.0046875,0.006732589943193772,0.015151515151515152,0.0,0.002461033634126333,0.0045993706124425075,0.007590132827324478,0.004861111111111111,0.002938295788442703,0.0069424356378362745,0.0027624309392265192,0.001632208922742111,0.021804966686856452,0.013647219379051518,0.004677127338563669,0.010362694300518135,0.023222060957910014,0.010932220234545816,0.004181184668989547,0.003854625550660793,0.0
-4,0.0012506253126563281,0.0002450379808870375,0.018867924528301886,0.0033149171270718232,0.00411522633744856,0.0019264967397747482,0.0035285815102328866,0.014146772767462422,0.0035714285714285713,0.006213592233009709,0.002186588921282799,0.005615669086426517,0.0019297568506368198,0.0,0.007082152974504249,0.005022601707684581,0.004426737494466578,0.005405405405405406,0.011976047904191617,0.007133217659533449,0.008064516129032258,0.0,0.001455604075691412,0.005229649840836744,0.005479452054794521,0.006505240332490061,0.005928853754940711,0.006977481763399937,0.0027472527472527475,0.004158004158004158,0.018645121193287758,0.010332579916047788,0.005916284573287975,0.0,0.01902854281422133,0.011753371868978806,0.00862895493767977,0.0033112582781456954,0.0
-3,0.0012515644555694619,0.0007496251874062968,0.012461059190031152,0.00282585658777817,0.003036876355748373,0.0015770609318996416,0.002652519893899204,0.01200960768614892,0.008432888264230498,0.006643921709463099,0.002136752136752137,0.003798670465337132,0.0015961691939345571,0.0,0.005319148936170213,0.0056093829678735335,0.0034497628288055198,0.005152425933877201,0.010819165378670788,0.004992253399896712,0.004210526315789474,0.0,0.00205620287868403,0.004543280726924916,0.005964214711729622,0.005203064026593439,0.007194244604316547,0.006600660066006601,0.004987531172069825,0.0032119914346895075,0.015719467956469165,0.00896168108776267,0.003663540445486518,0.02040816326530612,0.019054510371442353,0.011659541391371939,0.007434944237918215,0.0030211480362537764,0.04395604395604396
