cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.08477559401584042,0.08305128872689403,0.12094395280235988,0.07177974434611603,0.1253061224489796,0.0653914590747331,0.09591474245115453,0.1447178002894356,0.03335318642048839,0.08339041095890411,0.11384918679152292,0.13147410358565736,0.06235333556821991,0.02631578947368421,0.08180535966149506,0.07953443258971872,0.06388595564941922,0.04423529411764706,0.10387596899224806,0.0963751932657619,0.11394891944990176,0.031432748538011694,0.021568627450980392,0.08643880926130099,0.07631578947368421,0.08999835769420265,0.04359925788497217,0.15515490096495682,0.11290322580645161,0.093717277486911,0.10246085011185682,0.09481627296587926,0.03614088820826952,0.00909090909090909,0.09318323952470293,0.09778812572759023,0.1307834669956817,0.05332600329851567,0.09302325581395349
-11,0.07645631067961164,0.08273894436519258,0.12349397590361445,0.0650708024275118,0.13209144792548688,0.06695089215221854,0.08243639921722114,0.16928657799274485,0.055347793567688854,0.08558320098817716,0.12129963898916968,0.1332161211793346,0.06697875405113432,0.15625,0.11011904761904762,0.0727630285152409,0.0654925701706109,0.04957436154231347,0.09651898734177215,0.0995115995115995,0.11706349206349206,0.0319744204636291,0.03709949409780776,0.08133003819366434,0.07368421052631578,0.07543711223914269,0.06338694418164617,0.13902708678828082,0.135,0.08866736621196222,0.13679544015199493,0.10342465753424658,0.03812224322621298,0.0,0.08458216916433833,0.0951209512095121,0.17990654205607476,0.0611587982832618,0.0859375
-10,0.07773304428615671,0.08216340621403913,0.0912280701754386,0.06204644412191582,0.1283303730017762,0.04652658662092624,0.08559732043170823,0.15375302663438256,0.05684995340167754,0.0774532922183929,0.12205882352941176,0.128328611898017,0.06890198968312454,0.02857142857142857,0.09671848013816926,0.07349214394323365,0.05971830985915493,0.05387205387205387,0.09389671361502347,0.10455702058755494,0.1245136186770428,0.03089143865842895,0.0410958904109589,0.08111920996943334,0.06436567164179105,0.07863193223589579,0.0453257790368272,0.14709302325581394,0.08967391304347826,0.08184855233853007,0.13422007255139057,0.0875281743050338,0.03108320251177394,0.0,0.09834905660377359,0.0979020979020979,0.12781456953642384,0.05675146771037182,0.07317073170731707
-9,0.08244514106583072,0.09351097952134221,0.08391608391608392,0.06220783890686803,0.15339098771051435,0.06072542261611685,0.0824891461649783,0.13942307692307693,0.05800865800865801,0.07863473505562889,0.12039127163280662,0.11937893657536253,0.07397260273972603,0.07894736842105263,0.10880829015544041,0.0814966683751922,0.06561085972850679,0.0446343779677113,0.07479674796747968,0.10199060612838291,0.1303370786516854,0.02610759493670886,0.04406779661016949,0.08964378391129983,0.0705521472392638,0.08583757127446448,0.04885654885654886,0.13313203403788088,0.1105121293800539,0.08576233183856502,0.12078830260648442,0.08399861159319681,0.040430388001304204,0.0,0.10230849947534103,0.09737156511350059,0.13811320754716983,0.0521505376344086,0.125
-8,0.07373271889400922,0.09392265193370165,0.1282051282051282,0.06282722513089005,0.13397590361445783,0.06478230337078651,0.08812925624248899,0.13881401617250674,0.06457242582897033,0.07515871390538603,0.11495176848874598,0.13018867924528302,0.07116259826230864,0.08108108108108109,0.08970099667774087,0.08249068653539117,0.05216881594372802,0.04752376188094047,0.10321100917431193,0.10451547437848807,0.13090128755364808,0.034482758620689655,0.04565217391304348,0.07727031332979288,0.07660020986358866,0.07356995175740869,0.041988950276243095,0.13430232558139535,0.12923076923076923,0.08651685393258426,0.12779973649538867,0.08813429988553988,0.03233749179251477,0.0,0.10255004112969564,0.10566114857960351,0.1510966693744923,0.057608015028177834,0.18095238095238095
-7,0.06245407788390889,0.08405172413793104,0.10749185667752444,0.059875583203732506,0.13333333333333333,0.060499413440589914,0.078154941144265,0.16920943134535368,0.06115702479338843,0.0789701427953267,0.08875219683655536,0.13144654088050314,0.07572570466975179,0.0,0.11204013377926421,0.07726027397260274,0.047976011994003,0.048818897637795275,0.1111111111111111,0.10334088335220838,0.13054187192118227,0.041742286751361164,0.2608695652173913,0.07444471564559434,0.07420091324200913,0.07756279701289885,0.03717026378896882,0.13375981389938935,0.06593406593406594,0.07199546485260772,0.12867898699520877,0.0783625730994152,0.03466204506065858,0.0,0.09332140727489564,0.11182975172126017,0.13502454991816695,0.04984984984984985,0.09411764705882353
-6,0.06596395783747025,0.08408796895213454,0.12345679012345678,0.0660377358490566,0.13501742160278746,0.06201780415430267,0.08262817322050771,0.14475138121546963,0.06825396825396825,0.08100453172205438,0.08121827411167512,0.13529325727658328,0.07129168263702568,0.13333333333333333,0.10474631751227496,0.06334371754932502,0.053746770025839795,0.04462474645030426,0.11931818181818182,0.10027385717295134,0.13733905579399142,0.03105095541401274,0.038461538461538464,0.08052938537460745,0.075139146567718,0.08166639113903125,0.04550379198266522,0.1329237643116448,0.09785932721712538,0.07876154263986963,0.16553428042001236,0.07737169517884915,0.03411783288580003,0.0,0.10445507173420589,0.10878010878010878,0.11289092295957284,0.05098324836125273,0.11711711711711711
-5,0.08115015974440895,0.09626630679262259,0.09803921568627451,0.06112115732368897,0.14776785714285715,0.06357260110431279,0.08316184481297664,0.1557743957027753,0.06502890173410404,0.08433734939759036,0.09934735315445975,0.12205156335710368,0.07757352941176471,0.06060606060606061,0.09568733153638814,0.07192328183271178,0.05445026178010471,0.038461538461538464,0.103125,0.11003576688407321,0.12121212121212122,0.038619556285949055,0.05332239540607055,0.0793996610990075,0.07210626185958255,0.0828125,0.05386875612144956,0.1446340757882557,0.10497237569060773,0.07834602829162132,0.14476075105996367,0.07130672125554419,0.03711526855763428,0.025906735751295335,0.098451862602806,0.10653945537666468,0.10034843205574913,0.06222466960352423,0.1188118811881188
-4,0.06803401700850426,0.07792207792207792,0.10377358490566038,0.07329650092081032,0.1444901691815272,0.06268524007113219,0.07821689014349564,0.138815207780725,0.08071428571428571,0.0858252427184466,0.13338192419825073,0.12258594713053006,0.0845233500578927,0.022222222222222223,0.08356940509915015,0.0743345052737318,0.05976095617529881,0.044144144144144144,0.09730538922155689,0.09600925390399075,0.10685483870967742,0.032180209171359615,0.07787481804949054,0.0768531150522965,0.06940639269406393,0.0775207806288399,0.037549407114624504,0.14113542657786235,0.11813186813186813,0.07952182952182953,0.13175885643256682,0.07878592185986438,0.03786422126904304,0.05785123966942149,0.09013520280420631,0.09845857418111753,0.09683604985618409,0.052980132450331126,0.07476635514018691
-3,0.08041301627033792,0.08620689655172414,0.07476635514018691,0.06817379018014835,0.14490238611713666,0.05835125448028674,0.08184918529746116,0.1521216973578863,0.07449051300070274,0.07074878793320165,0.14102564102564102,0.13322479989146654,0.07741420590582601,0.07692307692307693,0.11037234042553191,0.07700152983171851,0.060370849504096595,0.053671103477887505,0.07573415765069552,0.10569805474264073,0.1431578947368421,0.035115722266560255,0.06922549691569568,0.07747489239598278,0.06262425447316103,0.07703425350484173,0.040082219938335044,0.13586358635863585,0.10473815461346633,0.07922912205567452,0.15417170495767835,0.06736711990111248,0.03927315357561548,0.01020408163265306,0.08731307284129282,0.10221531286436067,0.12019826517967781,0.04350453172205438,0.0989010989010989
