cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.08864696734059098,0.06647398843930635,0.2127659574468085,0.0875,0.011976047904191617,0.07432432432432433,0.050256410256410255,0.09859154929577464,0.07216494845360824,0.07311827956989247,0.05985915492957746,0.07159716758457907,0.03854389721627409,0.0,0.12345679012345678,0.2006172839506173,0.1365079365079365,0.06372549019607843,0.13333333333333333,0.0976,0.1953125,0.02127659574468085,0.1111111111111111,0.0873015873015873,0.1794871794871795,0.13961407491486946,0.08108108108108109,0.136986301369863,0.08108108108108109,0.04406779661016949,0.25601374570446733,0.10476190476190476,0.07142857142857142,0.0,0.08663366336633663,0.1908713692946058,0.14130434782608695,0.01568627450980392,0.15625
-11,0.06591865357643759,0.04330175913396482,0.038461538461538464,0.1372093023255814,0.05844155844155844,0.09479166666666666,0.05931321540062435,0.04597701149425287,0.1377245508982036,0.0872210953346856,0.0736196319018405,0.06896551724137931,0.057007125890736345,0.0,0.057971014492753624,0.13333333333333333,0.1453900709219858,0.060948081264108354,0.08333333333333333,0.099601593625498,0.19047619047619047,0.04666666666666667,0.0967741935483871,0.11264822134387352,0.1797752808988764,0.12430939226519337,0.07253886010362694,0.1,0.02127659574468085,0.058394160583941604,0.3148148148148148,0.08421052631578947,0.06152433425160698,0.0,0.10036496350364964,0.18007662835249041,0.10236220472440945,0.0425531914893617,0.12
-10,0.05211726384364821,0.05076923076923077,0.16666666666666666,0.10432569974554708,0.07692307692307693,0.07062600321027288,0.0440251572327044,0.1414141414141414,0.15555555555555556,0.0773955773955774,0.06878306878306878,0.08783783783783784,0.04610951008645533,0.5,0.07017543859649122,0.1595744680851064,0.17253521126760563,0.06741573033707865,0.06329113924050633,0.09430255402750491,0.24242424242424243,0.06504065040650407,0.09285714285714286,0.10352422907488987,0.12987012987012986,0.13467656415694593,0.035897435897435895,0.11926605504587157,0.05,0.03103448275862069,0.3560606060606061,0.09395973154362416,0.062100456621004566,0.0,0.08870967741935484,0.1827956989247312,0.16470588235294117,0.0311284046692607,0.0625
-9,0.05747126436781609,0.051666666666666666,0.1111111111111111,0.0810126582278481,0.057971014492753624,0.08586956521739131,0.04559270516717325,0.07920792079207921,0.16153846153846155,0.09245742092457421,0.09883720930232558,0.0832553788587465,0.03225806451612903,0.0,0.13725490196078433,0.17049180327868851,0.14285714285714285,0.06928406466512702,0.04878048780487805,0.10151187904967603,0.21100917431192662,0.04,0.10759493670886076,0.13347921225382933,0.13924050632911392,0.1381509032943677,0.0707070707070707,0.14666666666666667,0.03333333333333333,0.06405693950177936,0.3743455497382199,0.06201550387596899,0.06737247353224254,0.0,0.10602910602910603,0.17870722433460076,0.12690355329949238,0.045627376425855515,0.2
-8,0.07269789983844911,0.06429780033840947,0.18604651162790697,0.0797872340425532,0.0847457627118644,0.09353348729792148,0.0628385698808234,0.05154639175257732,0.1702127659574468,0.09931972789115646,0.07303370786516854,0.07342007434944238,0.025362318840579712,0.0,0.16417910447761194,0.1685823754789272,0.11849710982658959,0.05739514348785872,0.0625,0.09352517985611511,0.20168067226890757,0.08737864077669903,0.12121212121212122,0.12039312039312039,0.1774193548387097,0.14176663031624864,0.09852216748768473,0.14285714285714285,0.12,0.05179282868525897,0.3463541666666667,0.1198501872659176,0.05829596412556054,0.0,0.14214463840399003,0.14942528735632185,0.10204081632653061,0.06770833333333333,0.047619047619047616
-7,0.04970178926441352,0.03896103896103896,0.16216216216216217,0.11549295774647887,0.0364963503649635,0.09593679458239278,0.04408352668213457,0.10465116279069768,0.14093959731543623,0.1092896174863388,0.08904109589041095,0.06546489563567362,0.03802281368821293,0.0,0.10909090909090909,0.13523131672597866,0.09090909090909091,0.06629834254143646,0.06666666666666667,0.11658031088082901,0.21052631578947367,0.043859649122807015,0.16666666666666666,0.12526997840172785,0.16455696202531644,0.13876146788990826,0.09523809523809523,0.09090909090909091,0.125,0.0611353711790393,0.3413173652694611,0.08333333333333333,0.071875,0.0,0.08629441624365482,0.1975806451612903,0.08333333333333333,0.04201680672268908,0.0
-6,0.05830388692579505,0.025510204081632654,0.32,0.09115281501340483,0.03597122302158273,0.08845437616387337,0.04961411245865491,0.10091743119266056,0.18181818181818182,0.1053864168618267,0.08490566037735849,0.08797127468581688,0.04391891891891892,0.0,0.16071428571428573,0.15845070422535212,0.2713864306784661,0.06510416666666667,0.07407407407407407,0.12055335968379446,0.20512820512820512,0.04,0.1513157894736842,0.08966861598440545,0.11224489795918367,0.13912009512485138,0.062146892655367235,0.08783783783783784,0.14285714285714285,0.08727272727272728,0.3268156424581006,0.07142857142857142,0.05373406193078324,0.0,0.14015151515151514,0.1543859649122807,0.08,0.025906735751295335,0.14814814814814814
-5,0.046251993620414676,0.0328515111695138,0.0851063829787234,0.07162534435261708,0.02,0.08226691042047532,0.05699481865284974,0.08333333333333333,0.18072289156626506,0.09534368070953436,0.08629441624365482,0.07533112582781457,0.05817174515235457,0.0,0.047619047619047616,0.1564625850340136,0.14393939393939395,0.055674518201284794,0.10714285714285714,0.10067114093959731,0.264,0.07462686567164178,0.1875,0.1288888888888889,0.13253012048192772,0.1344632768361582,0.08854166666666667,0.136986301369863,0.02631578947368421,0.04225352112676056,0.2981029810298103,0.08614232209737828,0.062280701754385964,0.06666666666666667,0.11743772241992882,0.18243243243243243,0.038461538461538464,0.03546099290780142,0.09523809523809523
-4,0.06940509915014165,0.03153153153153153,0.14,0.10077519379844961,0.03007518796992481,0.07077205882352941,0.05019305019305019,0.11409395973154363,0.1388888888888889,0.08848484848484849,0.07981220657276995,0.0799347471451876,0.05828220858895705,0.0,0.11904761904761904,0.17518248175182483,0.10940919037199125,0.03680981595092025,0.04477611940298507,0.10172413793103448,0.21323529411764705,0.05263157894736842,0.13846153846153847,0.11152416356877323,0.1111111111111111,0.14172185430463577,0.059907834101382486,0.11965811965811966,0.1,0.043478260869565216,0.4069767441860465,0.08865248226950355,0.06720430107526881,0.07894736842105263,0.08484848484848485,0.1390728476821192,0.059782608695652176,0.024096385542168676,0.13793103448275862
-3,0.07445008460236886,0.039705882352941174,0.16666666666666666,0.10757946210268948,0.041176470588235294,0.08371665133394664,0.03720405862457723,0.11731843575418995,0.12121212121212122,0.10139860139860139,0.0851063829787234,0.0819000819000819,0.05654761904761905,0.0,0.13333333333333333,0.09859154929577464,0.09691629955947137,0.047058823529411764,0.023809523809523808,0.08620689655172414,0.14285714285714285,0.09523809523809523,0.20754716981132076,0.08997955010224949,0.20481927710843373,0.13789473684210526,0.04736842105263158,0.16883116883116883,0.1111111111111111,0.045081967213114756,0.36056338028169016,0.0761904761904762,0.0720486111111111,0.037037037037037035,0.09640831758034027,0.15355805243445692,0.040983606557377046,0.03734439834024896,0.0
