cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0,0.0,0.05263157894736842,0.025179856115107913,0.022556390977443608,0.03389830508474576,0.029239766081871343,0.045454545454545456,0.03278688524590164,0.04935622317596566,0.0,0.053824362606232294,0.01098901098901099,0.0,0.10204081632653061,0.028169014084507043,0.05128205128205128,0.03614457831325301,0.06521739130434782,0.13168724279835392,0.09375,0.0,0.15384615384615385,0.039568345323741004,0.09433962264150944,0.05128205128205128,0.024691358024691357,0.09465020576131687,0.045454545454545456,0.0,0.09424083769633508,0.0891089108910891,0.018425460636515914,0.0,0.08294930875576037,0.04318181818181818,0.0380952380952381,0.018018018018018018,0.058823529411764705
-11,0.023255813953488372,0.0,0.045454545454545456,0.028985507246376812,0.007751937984496124,0.028,0.015527950310559006,0.08196721311475409,0.06349206349206349,0.02862595419847328,0.03333333333333333,0.056,0.0,0.0,0.09836065573770492,0.027210884353741496,0.08490566037735849,0.018518518518518517,0.07317073170731707,0.10714285714285714,0.058823529411764705,0.0,0.0,0.0456140350877193,0.08333333333333333,0.05860805860805861,0.0,0.08878504672897196,0.0,0.008264462809917356,0.16470588235294117,0.09595959595959595,0.01675977653631285,0.0,0.17045454545454544,0.049107142857142856,0.075,0.0,0.0
-10,0.01282051282051282,0.014492753623188406,0.1111111111111111,0.034482758620689655,0.01910828025477707,0.011889035667107,0.011940298507462687,0.05555555555555555,0.05454545454545454,0.03303964757709251,0.043478260869565216,0.06626506024096386,0.0,0.0,0.06521739130434782,0.03676470588235294,0.1125,0.006369426751592357,0.03636363636363636,0.10674157303370786,0.12,0.0,0.0,0.02348993288590604,0.05555555555555555,0.03571428571428571,0.02531645569620253,0.07653061224489796,0.0,0.0,0.13793103448275862,0.06806282722513089,0.015355086372360844,0.0,0.1994219653179191,0.0411522633744856,0.047619047619047616,0.04310344827586207,0.1111111111111111
-9,0.0,0.014084507042253521,0.0,0.014634146341463415,0.03007518796992481,0.035856573705179286,0.017045454545454544,0.0,0.0425531914893617,0.03870967741935484,0.04,0.03283582089552239,0.025,0.0,0.08108108108108109,0.04195804195804196,0.07317073170731707,0.023952095808383235,0.0,0.11734693877551021,0.16666666666666666,0.0,0.0,0.027607361963190184,0.0,0.06273062730627306,0.0379746835443038,0.08878504672897196,0.0,0.017391304347826087,0.1935483870967742,0.08163265306122448,0.015037593984962405,0.0,0.16293929712460065,0.06573705179282868,0.045454545454545456,0.03968253968253968,0.0
-8,0.011363636363636364,0.013513513513513514,0.08,0.010101010101010102,0.04424778761061947,0.012987012987012988,0.0030303030303030303,0.05454545454545454,0.07272727272727272,0.06208425720620843,0.0,0.06567164179104477,0.0,0.0,0.08064516129032258,0.04477611940298507,0.06172839506172839,0.013513513513513514,0.0,0.14942528735632185,0.045454545454545456,0.0,0.0,0.003663003663003663,0.05405405405405406,0.06046511627906977,0.04597701149425287,0.059113300492610835,0.0,0.036036036036036036,0.16346153846153846,0.04736842105263158,0.009433962264150943,0.0,0.25617283950617287,0.04821802935010482,0.08,0.007692307692307693,0.125
-7,0.0,0.03571428571428571,0.08,0.010869565217391304,0.024390243902439025,0.03065134099616858,0.017699115044247787,0.04838709677419355,0.043478260869565216,0.041666666666666664,0.0,0.0521978021978022,0.0,0.0,0.037037037037037035,0.03508771929824561,0.03571428571428571,0.02857142857142857,0.07407407407407407,0.050955414012738856,0.13333333333333333,0.0,0.0,0.022151898734177215,0.1388888888888889,0.06333333333333334,0.01282051282051282,0.1076923076923077,0.0,0.01639344262295082,0.35789473684210527,0.056962025316455694,0.027932960893854747,0.0,0.21474358974358973,0.05321507760532151,0.01098901098901099,0.05128205128205128,0.0
-6,0.013333333333333334,0.0,0.03571428571428571,0.0380952380952381,0.009009009009009009,0.0299625468164794,0.02040816326530612,0.08641975308641975,0.04477611940298507,0.045346062052505964,0.0975609756097561,0.06172839506172839,0.0,0.0,0.05357142857142857,0.02459016393442623,0.07608695652173914,0.015748031496062992,0.075,0.08658008658008658,0.023809523809523808,0.0,0.0,0.0169971671388102,0.020833333333333332,0.05017921146953405,0.0,0.12556053811659193,0.05555555555555555,0.017094017094017096,0.1935483870967742,0.09154929577464789,0.01576182136602452,0.0,0.24571428571428572,0.05148514851485148,0.020833333333333332,0.015873015873015872,0.0
-5,0.0,0.03529411764705882,0.09090909090909091,0.004761904761904762,0.008264462809917356,0.02074688796680498,0.0031847133757961785,0.1125,0.05263157894736842,0.046875,0.05555555555555555,0.07416267942583732,0.0,0.0,0.02,0.0390625,0.044642857142857144,0.04395604395604396,0.0625,0.09803921568627451,0.0625,0.0,0.011363636363636364,0.025806451612903226,0.09259259259259259,0.036734693877551024,0.012987012987012988,0.05084745762711865,0.0,0.017857142857142856,0.16831683168316833,0.07111111111111111,0.02304964539007092,0.0,0.19289340101522842,0.05152671755725191,0.038834951456310676,0.021052631578947368,0.0
-4,0.011235955056179775,0.0,0.11538461538461539,0.015544041450777202,0.025210084033613446,0.033210332103321034,0.022408963585434174,0.09090909090909091,0.039473684210526314,0.04640371229698376,0.030303030303030304,0.05623471882640587,0.012195121951219513,0.0,0.03508771929824561,0.008130081300813009,0.04040404040404041,0.006493506493506494,0.11764705882352941,0.09917355371900827,0.0,0.0,0.011627906976744186,0.013793103448275862,0.02040816326530612,0.05693950177935943,0.03296703296703297,0.04477611940298507,0.0,0.0,0.23655913978494625,0.06563706563706563,0.021922428330522766,0.0,0.16712328767123288,0.05859375,0.0963855421686747,0.007407407407407408,0.0
-3,0.0,0.025,0.125,0.0196078431372549,0.0,0.023166023166023165,0.021341463414634148,0.06666666666666667,0.05063291139240506,0.03571428571428571,0.0,0.04358974358974359,0.03409090909090909,0.0,0.045454545454545456,0.05357142857142857,0.0898876404494382,0.0223463687150838,0.0851063829787234,0.07755102040816327,0.07407407407407407,0.0,0.01282051282051282,0.024464831804281346,0.0784313725490196,0.05136986301369863,0.022988505747126436,0.056074766355140186,0.0,0.015151515151515152,0.16304347826086957,0.06363636363636363,0.00909090909090909,0.1,0.18808777429467086,0.04970178926441352,0.047619047619047616,0.020202020202020204,0.06666666666666667
-2,0.0,0.0297029702970297,0.09523809523809523,0.014084507042253521,0.022556390977443608,0.029197080291970802,0.015151515151515152,0.10891089108910891,0.017543859649122806,0.05785123966942149,0.03225806451612903,0.06976744186046512,0.046875,0.0,0.023255813953488372,0.007874015748031496,0.12658227848101267,0.012345679012345678,0.06976744186046512,0.07346938775510205,0.08695652173913043,0.0,0.0,0.00819672131147541,0.1111111111111111,0.05166051660516605,0.012345679012345678,0.038461538461538464,0.0,0.018518518518518517,0.23170731707317074,0.06751054852320675,0.037243947858473,0.0,0.18394648829431437,0.04597701149425287,0.11290322580645161,0.011363636363636364,0.08333333333333333
-1,0.0,0.0,0.2,0.01020408163265306,0.0410958904109589,0.019157088122605363,0.021341463414634148,0.09401709401709402,0.018867924528301886,0.05274725274725275,0.0,0.05614973262032086,0.013157894736842105,0.0,0.08823529411764706,0.007751937984496124,0.03260869565217391,0.012195121951219513,0.10526315789473684,0.09956709956709957,0.04,0.0,0.0,0.01812688821752266,0.05454545454545454,0.04814814814814815,0.031578947368421054,0.05,0.0,0.010416666666666666,0.22,0.0990990990990991,0.026362038664323375,0.25,0.22962962962962963,0.03937007874015748,0.044444444444444446,0.04,0.0
0,0.0,0.010638297872340425,0.11538461538461539,0.012048192771084338,0.0,0.017857142857142856,0.02,0.12037037037037036,0.0625,0.03125,0.0,0.028481012658227847,0.008849557522123894,0.0,0.034482758620689655,0.046875,0.06944444444444445,0.0273224043715847,0.10526315789473684,0.12734082397003746,0.0,0.0,0.0,0.018867924528301886,0.05660377358490566,0.046948356807511735,0.03896103896103896,0.05365853658536585,0.0625,0.017094017094017096,0.13541666666666666,0.048034934497816595,0.038869257950530034,0.07142857142857142,0.19243986254295534,0.054613935969868174,0.05128205128205128,0.037037037037037035,0.125
1,0.011235955056179775,0.013333333333333334,0.08333333333333333,0.01762114537444934,0.016,0.04184100418410042,0.027848101265822784,0.07407407407407407,0.016129032258064516,0.03991596638655462,0.03225806451612903,0.027247956403269755,0.0,0.0,0.030303030303030304,0.03669724770642202,0.041666666666666664,0.013824884792626729,0.22580645161290322,0.155,0.0,0.14285714285714285,0.0,0.023323615160349854,0.06976744186046512,0.03076923076923077,0.013333333333333334,0.06779661016949153,0.0,0.020833333333333332,0.09569377990430622,0.04897959183673469,0.018363939899833055,0.0,0.16831683168316833,0.053169734151329244,0.041666666666666664,0.029850746268656716,0.21052631578947367
2,0.013888888888888888,0.041237113402061855,0.07142857142857142,0.031746031746031744,0.01818181818181818,0.017361111111111112,0.015345268542199489,0.10101010101010101,0.03571428571428571,0.05139186295503212,0.02040816326530612,0.05747126436781609,0.01098901098901099,0.0,0.1282051282051282,0.03759398496240601,0.06481481481481481,0.01764705882352941,0.08571428571428572,0.10121457489878542,0.09523809523809523,0.16666666666666666,0.02127659574468085,0.0189873417721519,0.018867924528301886,0.05116279069767442,0.015873015873015872,0.046948356807511735,0.0,0.007518796992481203,0.275,0.053061224489795916,0.021922428330522766,0.14285714285714285,0.19741100323624594,0.03656307129798903,0.0,0.014184397163120567,0.0625
3,0.022727272727272728,0.02,0.125,0.03048780487804878,0.061946902654867256,0.025,0.023121387283236993,0.17073170731707318,0.04225352112676056,0.03794642857142857,0.0,0.059322033898305086,0.015873015873015872,0.0,0.04878048780487805,0.025423728813559324,0.07142857142857142,0.02577319587628866,0.10810810810810811,0.08,0.04,0.3333333333333333,0.0,0.02456140350877193,0.1,0.05263157894736842,0.047619047619047616,0.06486486486486487,0.11764705882352941,0.0,0.26881720430107525,0.07174887892376682,0.028380634390651086,0.0,0.24723247232472326,0.03468208092485549,0.04918032786885246,0.006622516556291391,0.0
4,0.0,0.012048192771084338,0.18518518518518517,0.025510204081632654,0.007633587786259542,0.027149321266968326,0.012048192771084338,0.08333333333333333,0.05357142857142857,0.05012531328320802,0.0,0.05405405405405406,0.0,0.0,0.05405405405405406,0.023076923076923078,0.04716981132075472,0.013333333333333334,0.125,0.105,0.041666666666666664,0.0,0.0,0.02287581699346405,0.03571428571428571,0.09333333333333334,0.0,0.0660377358490566,0.05263157894736842,0.019417475728155338,0.18181818181818182,0.06403940886699508,0.025906735751295335,0.0,0.19322033898305085,0.03838771593090211,0.06,0.040697674418604654,0.0
