cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0,0.0,0.10526315789473684,0.04316546762589928,0.045112781954887216,0.05084745762711865,0.043859649122807015,0.06818181818181818,0.08196721311475409,0.09227467811158799,0.04878048780487805,0.0764872521246459,0.01098901098901099,0.0,0.12244897959183673,0.035211267605633804,0.07692307692307693,0.04819277108433735,0.06521739130434782,0.14814814814814814,0.125,0.0,0.15384615384615385,0.07194244604316546,0.18867924528301888,0.09157509157509157,0.037037037037037035,0.13991769547325103,0.045454545454545456,0.010869565217391304,0.09947643979057591,0.15346534653465346,0.04020100502512563,0.0,0.16129032258064516,0.08409090909090909,0.047619047619047616,0.018018018018018018,0.11764705882352941
-11,0.023255813953488372,0.0,0.09090909090909091,0.05314009661835749,0.03875968992248062,0.036,0.027950310559006212,0.11475409836065574,0.09523809523809523,0.05534351145038168,0.06666666666666667,0.06933333333333333,0.013888888888888888,0.25,0.11475409836065574,0.06802721088435375,0.11320754716981132,0.037037037037037035,0.07317073170731707,0.13095238095238096,0.058823529411764705,0.14285714285714285,0.0,0.09473684210526316,0.1875,0.10622710622710622,0.011235955056179775,0.14018691588785046,0.0,0.03305785123966942,0.21176470588235294,0.15151515151515152,0.0335195530726257,0.0,0.23106060606060605,0.08482142857142858,0.1125,0.0,0.0
-10,0.02564102564102564,0.028985507246376812,0.16666666666666666,0.04926108374384237,0.07006369426751592,0.01453104359313078,0.020895522388059702,0.14814814814814814,0.10909090909090909,0.06828193832599119,0.08695652173913043,0.09337349397590361,0.0,0.0,0.10869565217391304,0.058823529411764705,0.1625,0.01910828025477707,0.07272727272727272,0.15168539325842698,0.16,0.0,0.0,0.05704697986577181,0.05555555555555555,0.06349206349206349,0.05063291139240506,0.11224489795918367,0.041666666666666664,0.0,0.1839080459770115,0.11518324607329843,0.03262955854126679,0.0,0.24566473988439305,0.0720164609053498,0.08571428571428572,0.05172413793103448,0.1111111111111111
-9,0.04,0.014084507042253521,0.0,0.02926829268292683,0.03759398496240601,0.05976095617529881,0.02556818181818182,0.05660377358490566,0.06382978723404255,0.07096774193548387,0.12,0.03880597014925373,0.025,0.0,0.08108108108108109,0.06293706293706294,0.0975609756097561,0.03592814371257485,0.0,0.12755102040816327,0.2222222222222222,0.0,0.0,0.05521472392638037,0.0625,0.08856088560885608,0.06329113924050633,0.14018691588785046,0.0,0.02608695652173913,0.21505376344086022,0.11734693877551021,0.02443609022556391,0.0,0.19488817891373802,0.09561752988047809,0.07272727272727272,0.047619047619047616,0.16666666666666666
-8,0.022727272727272728,0.013513513513513514,0.08,0.030303030303030304,0.09734513274336283,0.021645021645021644,0.021212121212121213,0.10909090909090909,0.12727272727272726,0.09312638580931264,0.1,0.08358208955223881,0.009615384615384616,0.0,0.11290322580645161,0.08955223880597014,0.09876543209876543,0.02702702702702703,0.0,0.1896551724137931,0.045454545454545456,0.0,0.0,0.029304029304029304,0.10810810810810811,0.10232558139534884,0.08045977011494253,0.11822660098522167,0.0,0.036036036036036036,0.21153846153846154,0.10526315789473684,0.02830188679245283,0.0,0.2932098765432099,0.0880503144654088,0.09333333333333334,0.015384615384615385,0.125
-7,0.0,0.07142857142857142,0.12,0.03260869565217391,0.04878048780487805,0.038314176245210725,0.02359882005899705,0.11290322580645161,0.06521739130434782,0.07598039215686274,0.03225806451612903,0.07417582417582418,0.020833333333333332,0.0,0.05555555555555555,0.043859649122807015,0.07142857142857142,0.03571428571428571,0.14814814814814814,0.07643312101910828,0.23333333333333334,0.0,0.0,0.04746835443037975,0.16666666666666666,0.09333333333333334,0.038461538461538464,0.15897435897435896,0.0,0.01639344262295082,0.37894736842105264,0.12025316455696203,0.040968342644320296,0.0,0.2403846153846154,0.08647450110864745,0.03296703296703297,0.05982905982905983,0.07142857142857142
-6,0.04,0.0,0.03571428571428571,0.05714285714285714,0.08108108108108109,0.033707865168539325,0.026239067055393587,0.12345679012345678,0.08955223880597014,0.07398568019093078,0.0975609756097561,0.07716049382716049,0.0,0.0,0.07142857142857142,0.040983606557377046,0.10869565217391304,0.03937007874015748,0.075,0.08658008658008658,0.047619047619047616,0.0,0.0,0.04815864022662889,0.041666666666666664,0.08602150537634409,0.015151515151515152,0.16143497757847533,0.2222222222222222,0.017094017094017096,0.22580645161290322,0.176056338028169,0.03152364273204904,0.0,0.3,0.0891089108910891,0.03125,0.031746031746031744,0.0
-5,0.024096385542168676,0.03529411764705882,0.09090909090909091,0.014285714285714285,0.0743801652892562,0.02074688796680498,0.012738853503184714,0.1375,0.08771929824561403,0.08705357142857142,0.08333333333333333,0.09808612440191387,0.0,0.0,0.02,0.046875,0.0625,0.06593406593406594,0.125,0.11274509803921569,0.0625,0.0,0.011363636363636364,0.04516129032258064,0.09259259259259259,0.053061224489795916,0.05194805194805195,0.10734463276836158,0.047619047619047616,0.026785714285714284,0.21782178217821782,0.13777777777777778,0.0549645390070922,0.0,0.23857868020304568,0.10114503816793893,0.04854368932038835,0.031578947368421054,0.1111111111111111
-4,0.02247191011235955,0.0,0.15384615384615385,0.04145077720207254,0.058823529411764705,0.03690036900369004,0.03361344537815126,0.13131313131313133,0.09210526315789473,0.08352668213457076,0.06060606060606061,0.06601466992665037,0.012195121951219513,0.0,0.03508771929824561,0.016260162601626018,0.1111111111111111,0.01948051948051948,0.14705882352941177,0.11570247933884298,0.0625,0.0,0.011627906976744186,0.04827586206896552,0.08163265306122448,0.10320284697508897,0.06593406593406594,0.0845771144278607,0.06666666666666667,0.017543859649122806,0.2903225806451613,0.1274131274131274,0.04215851602023609,0.0,0.19726027397260273,0.083984375,0.12048192771084337,0.014814814814814815,0.08333333333333333
-3,0.0125,0.0375,0.16666666666666666,0.03431372549019608,0.0390625,0.03088803088803089,0.03048780487804878,0.1111111111111111,0.11392405063291139,0.058823529411764705,0.0,0.05897435897435897,0.03409090909090909,0.0,0.045454545454545456,0.07142857142857142,0.11235955056179775,0.0223463687150838,0.1276595744680851,0.09795918367346938,0.07407407407407407,0.0,0.01282051282051282,0.045871559633027525,0.13725490196078433,0.09931506849315068,0.022988505747126436,0.09813084112149532,0.125,0.022727272727272728,0.1956521739130435,0.08181818181818182,0.03090909090909091,0.2,0.21630094043887146,0.08349900596421471,0.05952380952380952,0.050505050505050504,0.13333333333333333
-2,0.0,0.0297029702970297,0.19047619047619047,0.028169014084507043,0.05263157894736842,0.043795620437956206,0.017676767676767676,0.1782178217821782,0.08771929824561403,0.08471074380165289,0.03225806451612903,0.0872093023255814,0.0625,0.0,0.046511627906976744,0.031496062992125984,0.189873417721519,0.030864197530864196,0.11627906976744186,0.08571428571428572,0.13043478260869565,0.0,0.0,0.040983606557377046,0.14814814814814814,0.06642066420664207,0.012345679012345678,0.08173076923076923,0.0,0.037037037037037035,0.2926829268292683,0.11814345991561181,0.0595903165735568,0.0,0.22408026755852842,0.08620689655172414,0.12903225806451613,0.03409090909090909,0.08333333333333333
-1,0.0,0.0,0.25,0.015306122448979591,0.07534246575342465,0.02681992337164751,0.04878048780487805,0.1282051282051282,0.03773584905660377,0.08571428571428572,0.025,0.0748663101604278,0.013157894736842105,0.0,0.11764705882352941,0.031007751937984496,0.10869565217391304,0.036585365853658534,0.13157894736842105,0.12121212121212122,0.08,0.14285714285714285,0.013888888888888888,0.03625377643504532,0.12727272727272726,0.08888888888888889,0.031578947368421054,0.11,0.08333333333333333,0.010416666666666666,0.24,0.13063063063063063,0.050966608084358524,0.25,0.26296296296296295,0.05905511811023622,0.06666666666666667,0.04,0.08695652173913043
0,0.0,0.02127659574468085,0.23076923076923078,0.030120481927710843,0.014388489208633094,0.03571428571428571,0.022222222222222223,0.16666666666666666,0.09375,0.078125,0.03571428571428571,0.04746835443037975,0.008849557522123894,0.0,0.06896551724137931,0.09375,0.09722222222222222,0.03825136612021858,0.15789473684210525,0.149812734082397,0.08,0.0,0.0,0.04043126684636118,0.07547169811320754,0.07511737089201878,0.03896103896103896,0.15609756097560976,0.0625,0.017094017094017096,0.22916666666666666,0.08733624454148471,0.05123674911660778,0.21428571428571427,0.23711340206185566,0.0847457627118644,0.0641025641025641,0.06481481481481481,0.125
1,0.011235955056179775,0.02666666666666667,0.125,0.03524229074889868,0.024,0.04602510460251046,0.035443037974683546,0.1574074074074074,0.016129032258064516,0.07563025210084033,0.06451612903225806,0.035422343324250684,0.0,0.0,0.030303030303030304,0.045871559633027525,0.11458333333333333,0.02304147465437788,0.22580645161290322,0.18,0.03125,0.2857142857142857,0.0,0.04081632653061224,0.13953488372093023,0.046153846153846156,0.02666666666666667,0.09745762711864407,0.0,0.03125,0.1339712918660287,0.10612244897959183,0.03672787979966611,0.058823529411764705,0.20132013201320131,0.08793456032719836,0.08333333333333333,0.06716417910447761,0.21052631578947367
2,0.013888888888888888,0.07216494845360824,0.07142857142857142,0.06349206349206349,0.10909090909090909,0.027777777777777776,0.020460358056265986,0.16161616161616163,0.05357142857142857,0.0835117773019272,0.02040816326530612,0.08620689655172414,0.01098901098901099,0.0,0.15384615384615385,0.06766917293233082,0.07407407407407407,0.01764705882352941,0.08571428571428572,0.12550607287449392,0.14285714285714285,0.16666666666666666,0.02127659574468085,0.04113924050632911,0.11320754716981132,0.06046511627906977,0.031746031746031744,0.07511737089201878,0.05,0.015037593984962405,0.3625,0.11836734693877551,0.04384485666104553,0.2857142857142857,0.23624595469255663,0.06764168190127971,0.0,0.06382978723404255,0.0625
3,0.022727272727272728,0.03,0.1875,0.04878048780487805,0.13274336283185842,0.03333333333333333,0.031791907514450865,0.21951219512195122,0.04225352112676056,0.0625,0.0,0.07344632768361582,0.015873015873015872,0.0,0.12195121951219512,0.0423728813559322,0.14285714285714285,0.04639175257731959,0.13513513513513514,0.09333333333333334,0.08,0.3333333333333333,0.017543859649122806,0.0456140350877193,0.12,0.08133971291866028,0.06349206349206349,0.10810810810810811,0.11764705882352941,0.0,0.3118279569892473,0.11210762331838565,0.04006677796327212,0.0,0.28044280442804426,0.07707129094412331,0.08196721311475409,0.046357615894039736,0.0
4,0.0,0.024096385542168676,0.18518518518518517,0.04591836734693878,0.061068702290076333,0.04072398190045249,0.02108433734939759,0.09523809523809523,0.125,0.07518796992481203,0.0,0.06606606606606606,0.019230769230769232,0.0,0.08108108108108109,0.06923076923076923,0.11320754716981132,0.03333333333333333,0.125,0.125,0.041666666666666664,0.0,0.016666666666666666,0.06535947712418301,0.08928571428571429,0.13333333333333333,0.028169014084507043,0.09433962264150944,0.05263157894736842,0.04854368932038835,0.29545454545454547,0.09852216748768473,0.04145077720207254,0.18181818181818182,0.2305084745762712,0.07485604606525911,0.12,0.06395348837209303,0.058823529411764705
5,0.0375,0.03488372093023256,0.08695652173913043,0.03571428571428571,0.06140350877192982,0.03162055335968379,0.02702702702702703,0.189873417721519,0.0967741935483871,0.09278350515463918,0.05555555555555555,0.06020066889632107,0.02564102564102564,0.0,0.11538461538461539,0.08064516129032258,0.05063291139240506,0.03205128205128205,0.16129032258064516,0.1,0.1111111111111111,0.0,0.03389830508474576,0.05194805194805195,0.043478260869565216,0.07731958762886598,0.017543859649122806,0.08421052631578947,0.1,0.012987012987012988,0.32,0.07547169811320754,0.04194630872483222,0.0,0.22727272727272727,0.09148936170212765,0.12195121951219512,0.04032258064516129,0.058823529411764705
