cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0806697108066971,0.04588394062078273,0.09375,0.08726415094339622,0.06772908366533864,0.06658946149392009,0.045425867507886436,0.1171875,0.0843558282208589,0.11263916175507531,0.06355140186915888,0.059940059940059943,0.0703851261620186,0.06666666666666667,0.11891891891891893,0.1524008350730689,0.1342281879194631,0.03614457831325301,0.05161290322580645,0.11602209944751381,0.15053763440860216,0.04152823920265781,0.07142857142857142,0.1123076923076923,0.12871287128712872,0.10610079575596817,0.0673076923076923,0.1670995670995671,0.04477611940298507,0.07432432432432433,0.26194690265486725,0.08964451313755796,0.06699147381242387,0.0,0.11793214862681745,0.15135929463629685,0.07874015748031496,0.033734939759036145,0.0
-11,0.07167235494880546,0.05116279069767442,0.10294117647058823,0.09722222222222222,0.0511727078891258,0.07665301345816267,0.05069124423963134,0.0972972972972973,0.13592233009708737,0.10886806056236481,0.06666666666666667,0.06808943089430894,0.07952622673434856,0.2222222222222222,0.12658227848101267,0.1425531914893617,0.12222222222222222,0.08615384615384615,0.05263157894736842,0.09897070467141726,0.1686746987951807,0.043726235741444866,0.06451612903225806,0.12364760432766615,0.11935483870967742,0.09587020648967552,0.09547738693467336,0.18154761904761904,0.0967741935483871,0.04,0.20794392523364486,0.08346709470304976,0.0645367412140575,0.07142857142857142,0.11152882205513784,0.1377101681345076,0.07936507936507936,0.04054054054054054,0.08695652173913043
-10,0.08076358296622614,0.052948255114320095,0.08196721311475409,0.09943181818181818,0.05963302752293578,0.04987102321582115,0.04855072463768116,0.11180124223602485,0.10306406685236769,0.1179736294240111,0.0498220640569395,0.07403189066059225,0.08358662613981763,0.06666666666666667,0.08275862068965517,0.16252821670428894,0.1687344913151365,0.07297297297297298,0.03508771929824561,0.10261026102610261,0.1,0.030303030303030304,0.0297029702970297,0.11334405144694534,0.152317880794702,0.12437810945273632,0.08181818181818182,0.18782791185729275,0.04285714285714286,0.0546875,0.25790754257907544,0.0824561403508772,0.08271604938271605,0.0,0.10120481927710843,0.1473463687150838,0.12949640287769784,0.045146726862302484,0.0
-9,0.0873634945397816,0.04836759371221282,0.1111111111111111,0.09274193548387097,0.06813186813186813,0.05405405405405406,0.05113636363636364,0.13924050632911392,0.12276214833759591,0.1289198606271777,0.08163265306122448,0.06918238993710692,0.07290015847860538,0.0,0.07643312101910828,0.13228699551569506,0.12807881773399016,0.10649350649350649,0.03184713375796178,0.12110091743119267,0.14772727272727273,0.0374331550802139,0.09090909090909091,0.11278195488721804,0.10344827586206896,0.12893815635939324,0.07142857142857142,0.1868344627299129,0.014084507042253521,0.05106382978723404,0.23224043715846995,0.08426073131955485,0.06984553391537945,0.0,0.1142433234421365,0.1564327485380117,0.14691943127962084,0.0477326968973747,0.05263157894736842
-8,0.06346749226006192,0.04401650618982118,0.11538461538461539,0.08484848484848485,0.06960556844547564,0.07083599234205488,0.041181041181041184,0.16417910447761194,0.14488636363636365,0.1111111111111111,0.05327868852459016,0.08333333333333333,0.044905008635578586,0.06666666666666667,0.1111111111111111,0.1471264367816092,0.1075,0.09550561797752809,0.07758620689655173,0.12863849765258217,0.09859154929577464,0.03571428571428571,0.11458333333333333,0.09780621572212066,0.13261648745519714,0.10746685275645498,0.056962025316455694,0.181723779854621,0.02040816326530612,0.046948356807511735,0.25210084033613445,0.09107468123861566,0.059846903270702856,0.0,0.10925644916540213,0.1328125,0.11059907834101383,0.054945054945054944,0.07142857142857142
-7,0.06514657980456026,0.05276073619631902,0.05357142857142857,0.09803921568627451,0.06053811659192825,0.056355666875391355,0.043225270157938485,0.1118421052631579,0.17142857142857143,0.12097407698350353,0.08571428571428572,0.09722222222222222,0.08919382504288165,0.08333333333333333,0.07947019867549669,0.14870689655172414,0.1282051282051282,0.09090909090909091,0.04032258064516129,0.11166500498504486,0.08620689655172414,0.03838383838383838,0.0,0.10260723296888141,0.13478260869565217,0.11485642946317104,0.04878048780487805,0.16850551654964896,0.08333333333333333,0.0391304347826087,0.24581005586592178,0.0724907063197026,0.07152496626180836,0.0,0.11217948717948718,0.1386806596701649,0.057692307692307696,0.0665024630541872,0.2
-6,0.09076175040518639,0.05186170212765957,0.06557377049180328,0.08528198074277854,0.07036247334754797,0.0633147113594041,0.051224944320712694,0.10119047619047619,0.14583333333333334,0.09489575844716032,0.02527075812274368,0.0780885780885781,0.06497622820919176,0.2222222222222222,0.176,0.14285714285714285,0.2020618556701031,0.1282051282051282,0.046153846153846156,0.11435726210350584,0.17105263157894737,0.030965391621129327,0.04597701149425287,0.1096234309623431,0.16981132075471697,0.13186119873817034,0.10526315789473684,0.19787234042553192,0.058823529411764705,0.06276150627615062,0.27298850574712646,0.09492635024549918,0.07306501547987616,0.0,0.16759002770083103,0.14794732765298219,0.07258064516129033,0.046875,0.1
-5,0.0799347471451876,0.13859020310633213,0.05128205128205128,0.07402031930333818,0.06295399515738499,0.053069053708439895,0.059087509349289455,0.14678899082568808,0.1550925925925926,0.14044512663085187,0.06896551724137931,0.08108108108108109,0.08548387096774193,0.09090909090909091,0.09595959595959595,0.1570048309178744,0.1716101694915254,0.12723214285714285,0.07692307692307693,0.10066555740432612,0.06756756756756757,0.03783783783783784,0.10443037974683544,0.11158432708688246,0.1449814126394052,0.1368496079828938,0.12041884816753927,0.18971061093247588,0.10909090909090909,0.04435483870967742,0.29476584022038566,0.06168831168831169,0.07593457943925233,0.06818181818181818,0.11095305832147938,0.14708171206225681,0.03875968992248062,0.06038647342995169,0.08333333333333333
-4,0.04503676470588235,0.03282828282828283,0.14814814814814814,0.08006042296072508,0.06911447084233262,0.07168458781362007,0.05052631578947368,0.15263157894736842,0.12928759894459102,0.13411078717201166,0.050359712230215826,0.09327036599763873,0.0907563025210084,0.14285714285714285,0.0989010989010989,0.1525096525096525,0.14317673378076062,0.07777777777777778,0.07092198581560284,0.10108864696734059,0.10638297872340426,0.05523809523809524,0.0945945945945946,0.11411665257819104,0.12087912087912088,0.10926694329183956,0.03626943005181347,0.19481981981981983,0.1111111111111111,0.048,0.23809523809523808,0.0794392523364486,0.07629107981220658,0.043478260869565216,0.08559782608695653,0.13465952563121653,0.03067484662576687,0.05,0.0
-3,0.07578008915304606,0.04645161290322581,0.06779661016949153,0.07240437158469945,0.060215053763440864,0.06651108518086347,0.04911032028469751,0.14634146341463414,0.18876404494382024,0.12292358803986711,0.08270676691729323,0.11491935483870967,0.08391608391608392,0.1,0.105,0.14412416851441243,0.0967741935483871,0.10588235294117647,0.044444444444444446,0.11837577426015142,0.18666666666666668,0.04247787610619469,0.10089020771513353,0.09913793103448276,0.15161290322580645,0.1107986501687289,0.09345794392523364,0.2019704433497537,0.05555555555555555,0.05240174672489083,0.2909604519774011,0.08571428571428572,0.07960808328230251,0.12,0.10970996216897856,0.1461944235116805,0.07339449541284404,0.0427807486631016,0.1
