cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.01908482142857143,0.012039431157078215,0.0,0.0005175983436853001,0.005598455598455599,0.020414201183431954,0.015202124015073655,0.0,0.014164648910411623,0.011806375442739079,0.01598762248581743,0.030441958554923897,0.04106790645252184,0.0,0.0,0.0024096385542168677,0.011170547514159848,0.0,0.009287718829346519,0.0,0.0,0.0012836970474967907,0.013157894736842105,0.00261437908496732,0.004807692307692308,0.002197802197802198,0.0,0.03322259136212625,0.008264462809917356,0.03932874354561102,0.010062358276643991,0.026039783001808314,0.0,0.048809523809523817,0.03845514950166113
-11,0.028420523138832997,0.015625,0.0,0.013192612137203167,0.0078125,0.009951636904761906,0.014384920634920636,0.0,0.0,0.0050264550264550265,0.001717032967032967,0.034865965388530706,0.04851120776179325,0.0,0.03225806451612903,0.0018221574344023325,0.01396103896103896,0.0,0.012785178380033686,0.0,0.0,0.000836284927194018,0.0,0.002861279646993933,0.01,0.0,0.0642857142857143,0.01761252446183953,0.010869565217391304,0.054819277108433734,0.01003734827264239,0.005714285714285714,0.0,0.0,0.05907172995780591
-10,0.021897810218978103,0.01091644204851752,0.0,0.0030959752321981426,0.006097560975609756,0.0072251362748123014,0.018239405854084755,0.0,0.006944444444444444,0.013793103448275862,0.005025125628140704,0.03771845438512105,0.03883149269682935,0.0,0.0,0.005235602094240838,0.019172932330827067,0.0,0.012910798122065728,0.022222222222222223,0.0,0.0013054830287206266,0.011049723756906077,0.0,0.011965192168237854,0.0,0.125,0.03524229074889868,0.0,0.038214285714285715,0.013137193203272498,0.029459241323648105,0.0045662100456621,0.0,0.01818181818181818
-9,0.03481822836661547,0.008595641646489103,0.011494252873563218,0.0061162079510703364,0.0,0.01707005116096025,0.011744608157164212,0.0,0.01675977653631285,0.00782967032967033,0.0104739010989011,0.03585289225651451,0.03308823529411765,0.0,0.058823529411764705,0.0079155672823219,0.0077129443326626424,0.0,0.012370784612777496,0.0,0.0,0.0,0.018508863399374346,0.0038185085354896673,0.016574585635359115,0.0015930113052415212,0.1,0.013260254596888262,0.0,0.027572168763878607,0.019459206001875586,0.02592816787732042,0.011627906976744186,0.0,0.01596119929453263
-8,0.029509100937672363,0.010885518590998044,0.012658227848101266,0.003236245954692557,0.002304147465437788,0.011353615520282188,0.014650597080937636,0.0,0.0,0.0069686411149825775,0.0055248618784530384,0.03533026113671275,0.0262996316004912,0.0,0.0,0.0057306590257879654,0.018125,0.0,0.010891922213911743,0.0,0.0,0.0,0.0018083182640144665,0.00117096018735363,0.016666666666666666,0.0013679890560875513,0.0,0.01282051282051282,0.018518518518518517,0.05495264404104183,0.00890937019969278,0.029585798816568046,0.005,0.0,0.0273379970544919
-7,0.021310993533215757,0.012939001848428836,0.0,0.02077922077922078,0.00046992481203007516,0.022587159863945577,0.020476190476190474,0.0,0.005405405405405406,0.006456241032998565,0.011695906432748537,0.021469563435130148,0.03460686600221484,0.0,0.0,0.0,0.02207977207977208,0.0,0.014382896015549077,0.0,0.0,0.003945770942938081,0.025570583262890953,0.0,0.03598901098901099,0.0015625,0.0,0.013761467889908258,0.0,0.03123783573374854,0.01207983193277311,0.00949367088607595,0.0,0.0,0.02849740932642487
-6,0.04256559766763848,0.019891500904159132,0.0,0.0009246417013407304,0.0036945812807881776,0.01326390253487915,0.022080838323353294,0.0,0.009523809523809525,0.010747137225455228,0.004975124378109453,0.025160313501959384,0.03513824884792627,0.0,0.0,0.005494505494505495,0.037642521797451374,0.0,0.010063559322033898,0.01818181818181818,0.0,0.0,0.014686248331108143,0.0021810250817884407,0.01694606413994169,0.0056657223796034,0.0,0.01834862385321101,0.0,0.03226099600145402,0.0167937811674978,0.025021385799828915,0.004094631483166515,0.0,0.04163080895008606
-5,0.009287925696594427,0.005084745762711864,0.0,0.005622657226155768,0.009615384615384616,0.017552892716719715,0.02413404386144702,0.0,0.004629629629629629,0.012808526551982051,0.01,0.03044358239163434,0.037334315169366715,0.0,0.0,0.0056179775280898875,0.02982818962774419,0.0,0.00770385587863464,0.03180803571428571,0.0,0.002976190476190476,0.024271844660194174,0.0011587485515643105,0.009774436090225564,0.0028089887640449437,0.0,0.008888888888888889,0.0008854781582054308,0.03256029684601113,0.006276150627615063,0.0335195530726257,0.0,0.02443609022556391,0.05083420229405631
-4,0.05487012987012987,0.015297310634098199,0.0,0.00946372239747634,0.005952380952380952,0.02028498820112543,0.01796703296703297,0.0,0.008480104370515329,0.00866109639290809,0.004830917874396135,0.016713581984517945,0.028169014084507043,0.16666666666666666,0.0,0.00963855421686747,0.01793217286914766,0.0,0.013414299437354194,0.021739130434782608,0.0,0.0012953367875647669,0.015,0.0012578616352201257,0.022857142857142857,0.006417410714285714,0.15384615384615385,0.025015733165512904,0.0,0.050469924812030074,0.013461538461538462,0.030141037306642405,0.004113687359760658,0.0,0.04819047619047619
-3,0.024363233665559248,0.01824817518248175,0.000510204081632653,0.0036900369003690036,0.0026455026455026454,0.014360313315926894,0.024018712916476496,0.0,0.010050251256281407,0.007198228128460687,0.005316248636859324,0.02896682138559395,0.02761904761904762,0.0,0.0,0.011142061281337047,0.018855864493448386,0.0,0.012644188110026619,0.020833333333333332,0.011627906976744186,0.0,0.01980014803849001,0.0010398737808376363,0.017352703793381757,0.0014204545454545455,0.058823529411764705,0.008597883597883597,0.0,0.053093112244897954,0.008431587606251713,0.012578616352201259,0.005917159763313609,0.015625,0.03100263852242744
-2,0.012952380952380951,0.011976047904191617,0.01282051282051282,0.014698298091799896,0.006265664160401002,0.02376460017969452,0.018582589285714286,0.0,0.009345794392523364,0.005494505494505495,0.004043126684636119,0.016442048517520215,0.0352622061482821,0.0,0.0,0.0011614401858304297,0.020212401507365536,0.0,0.008810987081399723,0.0,0.0,0.0001347708894878706,0.005952380952380953,0.0022624434389140274,0.011764705882352941,0.0034693877551020403,0.15384615384615385,0.00708128078817734,0.007633587786259542,0.03349282296650718,0.013108614232209739,0.02843915343915344,0.00625,0.0,0.047747400847131305
-1,0.017964071856287425,0.011570247933884297,0.006568144499178982,0.00496031746031746,0.0064516129032258064,0.01441717791411043,0.011040057915057916,0.0,0.005025125628140704,0.008525020177562551,0.009426447158789165,0.027253049980322706,0.036524133462908975,0.0,0.0,0.011106855610877058,0.022235576923076924,0.0,0.007681564245810056,0.009896729776247849,0.0,0.0,0.013392857142857144,0.003105590062111801,0.017346938775510204,0.0,0.07692307692307693,0.02415966386554622,0.0,0.03253968253968254,0.009570041608876562,0.032234957020057305,0.0,0.015037593984962405,0.031312525010004005
0,0.031206657420249653,0.022598870056497175,0.0,0.0038910505836575876,0.014014466546112117,0.01831242411978956,0.018803418803418803,0.0,0.013636363636363636,0.006590424500872261,0.0,0.019943019943019943,0.036375661375661374,0.0,0.0,0.016958670260557054,0.02048872180451128,0.0,0.009227614490772385,0.0,0.0,0.0014064697609001407,0.008035714285714287,0.0037325161087537325,0.025117739403453687,0.001519756838905775,0.27891156462585037,0.0,0.0,0.05159590951348001,0.002273393957172191,0.017267267267267267,0.0,0.0,0.03219047619047619
1,0.019171779141104295,0.013669257571696595,0.00935374149659864,0.004081632653061224,0.0,0.010612244897959184,0.017829542945462573,0.0,0.004366812227074236,0.0065051020408163265,0.003424657534246575,0.029889455782312925,0.025639097744360902,0.0,0.0,0.005952380952380952,0.015615962984384037,0.0,0.009176587301587302,0.016129032258064516,0.0,0.0,0.019803656059580232,0.001990049751243781,0.0,0.0012195121951219512,0.3076923076923077,0.01633275261324042,0.0021321961620469083,0.03196385952949199,0.01044405492258253,0.021085552865213884,0.0,0.01694915254237288,0.040065681444991785
2,0.02968460111317254,0.0125140607424072,0.0,0.012834821428571428,0.006060606060606061,0.015012642225031606,0.028169014084507043,0.0,0.009615384615384616,0.009767581646964537,0.00980392156862745,0.022244897959183673,0.03763135472877023,0.0,0.010869565217391304,0.013392857142857142,0.01990049751243781,0.0,0.005136986301369863,0.0,0.0,0.0013717421124828531,0.004761904761904762,0.0,0.005208333333333333,0.0011862396204033216,0.07142857142857142,0.014018691588785047,0.0,0.03571428571428571,0.014463942966822045,0.010142425550280535,0.0,0.02263581488933602,0.019062688366485836
3,0.01513317191283293,0.015540347875677216,0.012230919765166342,0.003745318352059925,0.00684931506849315,0.006641808436261943,0.012218045112781956,0.0,0.0008973438621679828,0.007532659081331647,0.0035211267605633804,0.03438124861141968,0.029709228824273074,0.0,0.0,0.008635394456289979,0.004488680718188915,0.0,0.004329004329004329,0.020833333333333332,0.0,0.001567398119122257,0.0,0.0,0.011834319526627219,0.0,0.23928571428571427,0.0,0.0,0.01331313775510204,0.0038102820746132846,0.012053571428571429,0.0,0.0,0.019323308270676694
4,0.024941451990632316,0.01369314541960282,0.0,0.007380073800738007,0.0,0.010497302369223553,0.01092896174863388,0.0,0.0,0.0075466256489136714,0.016736401673640166,0.010328332246140465,0.032252617359000334,0.0,0.020833333333333332,0.0,0.02577319587628866,0.0,0.007299768044753718,0.0,0.0,0.0,0.0016828721017202693,0.001343867079328881,0.0037593984962406017,0.0027796495956873314,0.14285714285714285,0.011834319526627219,0.008771929824561403,0.02545060080106809,0.003937007874015748,0.00936768149882904,0.0,0.0,0.01568483063328424
5,0.011252446183953033,0.008095238095238095,0.01282051282051282,0.008190118152524168,0.00641025641025641,0.01441623160892264,0.00894489422825803,0.0,0.0,0.002933874971789664,0.007782101167315175,0.01610027270820222,0.021846504559270515,0.0,0.019230769230769232,0.005177907594264472,0.010050251256281407,0.0,0.002908116586067181,0.020833333333333332,0.0,0.0017331022530329288,0.0111731843575419,4.236570072869005e-05,0.004743303571428571,0.0007580862533692723,0.19642857142857142,0.016216216216216217,0.0,0.03042328042328042,0.012720156555772993,0.012256193990511335,0.0,0.0,0.022996515679442508
6,0.010621348911311737,0.00029928172386272945,0.0,0.0014159848961611077,0.007751937984496124,0.006231248557581352,0.02428272564255828,0.0,0.0,0.006588072122052704,0.0,0.012957710159876226,0.005952380952380953,0.0,0.038629737609329445,0.0,0.01096579476861167,0.0,0.004206098843322818,0.0,0.0,0.0016473379019504482,0.0017946877243359657,0.0009424603174603175,0.006423432682425488,0.0,0.0,0.012987012987012988,0.0,0.02742529676627098,0.0,0.01048951048951049,0.0,0.0392156862745098,0.019305019305019305
