cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.303311120366514,0.25532670454545453,0.3352534562211981,0.28921568627450983,0.22023809523809523,0.3927461139896373,0.39197033215091903,0.2714285714285714,0.5372670807453416,0.33300801856931844,0.5512422360248448,0.3703127372096554,0.48035363457760316,0.6428571428571428,0.38392857142857145,0.3467797190818774,0.2713077984817115,0.05,0.23182152038193168,0.22356215213358072,0.0,0.21903756222658016,0.4984583761562179,0.21873939599592804,0.2584745762711864,0.29851253397765026,0.18181818181818182,0.28694581280788173,0.26455026455026454,0.29458346531517265,0.3764852169107488,0.4788205980066445,0.1865079365079365,0.3858958837772397,0.31841652323580033
-11,0.29126447876447875,0.3014769390222837,0.33560924369747897,0.3217001629549158,0.27957336780866193,0.3647933284989122,0.3736542443064182,0.4715909090909091,0.20485859318346628,0.34586926124446515,0.3258073344280241,0.3687845303867403,0.3744844394450693,0.5396825396825398,0.37202380952380953,0.37413314840499307,0.34071869488536155,0.7857142857142857,0.23516320474777447,0.13151927437641725,0.09126984126984126,0.20644966847498494,0.48201438848920863,0.4099969797644217,0.3541666666666667,0.2730120062641378,0.4,0.2757320319432121,0.2586289549376798,0.29310344827586204,0.3758230747208703,0.4651826484018265,0.09137291280148423,0.4056437389770723,0.6595881595881595
-10,0.30528946272386503,0.31068709209572154,0.3653395784543325,0.37155119558553035,0.3214285714285714,0.20535154500671743,0.32174744897959184,0.1997354497354497,0.23331968890708146,0.31069150148097513,0.30841741901221453,0.3623704094183799,0.4243498817966903,0.5428571428571428,0.31714285714285717,0.32640750670241286,0.3640147115756872,0.19047619047619047,0.27786044973544977,0.2708333333333333,0.0,0.21536562789262573,0.5504032258064516,0.24399103747963066,0.32985553772070625,0.2931721326662961,0.3732142857142857,0.23202301054650046,0.2422032193158954,0.34222534222534223,0.41004043126684636,0.4581108144192257,0.3401860744297719,0.329177897574124,0.3823766526926798
-9,0.2592924317062248,0.2731733914940022,0.24206349206349206,0.3342911877394636,0.26785714285714285,0.34750332397695377,0.32570857903747386,0.2988095238095238,0.20259910246821242,0.3208142522059645,0.31501509054325955,0.36057616416732435,0.3674484719260839,0.7797619047619048,0.3004201680672269,0.36825607902735563,0.314248414770608,0.25892857142857145,0.259755291005291,0.25,0.125,0.21716067379332685,0.48971861471861466,0.23446237925775293,0.40393309222423146,0.2810353708791209,0.2806122448979592,0.23523809523809522,0.2533013205282113,0.267260579064588,0.48504803222807563,0.47144766997708176,0.1773469387755102,0.35569498069498073,0.33578263841421735
-8,0.3011083743842365,0.26793400286944047,0.25824175824175827,0.3142857142857143,0.2933255269320843,0.3637807460498452,0.34252763605442177,0.07653061224489796,0.16995798319327732,0.3139349489795918,0.34230055658627084,0.36163494040206373,0.39285714285714285,0.6142857142857142,0.3229166666666667,0.37616560984707204,0.2896378269617706,0.11904761904761905,0.26897053785542996,0.19642857142857142,0.011904761904761904,0.23230209281164696,0.5375661375661376,0.27688213514347426,0.32003348214285715,0.2777979981801638,0.0625,0.3066326530612245,0.2730224321133412,0.3034738485558158,0.4022233893557423,0.5013066202090593,0.24383503401360546,0.3161196911196911,0.3516483516483517
-7,0.30220655141037306,0.2565476190476191,0.3494897959183674,0.3585643212508884,0.32875457875457875,0.3812913065582105,0.350697729422895,0.30857142857142855,0.17838095238095236,0.3252835478526826,0.34637605042016806,0.3629130966952264,0.3660226385636222,0.8720238095238094,0.3836405529953917,0.3610248447204969,0.3113413304252999,1.0,0.2608440797186401,0.25489236790606656,0.09821428571428571,0.23918230989500477,0.4997393117831074,0.2583753234372872,0.44383860414394766,0.296319018404908,0.12321428571428569,0.2566964285714286,0.24070847851335656,0.2952137376689806,0.3958199871877002,0.5454170107349299,0.16990701606086223,0.43471582181259605,0.33304011259676286
-6,0.3035150968904912,0.2774074810982889,0.28026634382566584,0.3104921394395078,0.3008352534562212,0.38241091138442135,0.36899563318777295,0.11989795918367345,0.19838850174216027,0.3200481672932331,0.3238544474393531,0.3599038118988244,0.40755793842960913,0.6190476190476191,0.3482142857142857,0.4033613445378151,0.29943124790899966,0.0,0.29174550614947964,0.15773809523809523,0.08163265306122448,0.2286535303776683,0.5169294990723562,0.2622344322344322,0.3515166340508806,0.31260341974627687,0.2777777777777778,0.30505952380952384,0.22872899159663865,0.2588264138607388,0.39943435937911076,0.49443413729128016,0.19516129032258064,0.3555008210180624,0.3662113748320645
-5,0.3112918434700613,0.2710531655844156,0.3848684210526316,0.3158008658008658,0.26706544686840256,0.3443233944954128,0.3405789126128109,0.22448979591836735,0.1848045822102426,0.32334127680923114,0.3345481049562682,0.37473769168684423,0.36545729402872257,0.5616883116883117,0.23214285714285715,0.350561797752809,0.2893978219090327,0.0,0.31585743801652894,0.1492776886035313,0.03469387755102041,0.2493856487549148,0.5127551020408163,0.2800880626223092,0.35954157782515994,0.265474617852425,0.3198757763975155,0.2542293233082707,0.26199360341151384,0.3172541743970316,0.4854671687455872,0.5190359762486901,0.25062292358803984,0.4619047619047619,0.37060041407867494
-4,0.6971781305114638,0.27254641909814326,0.4189560439560439,0.2978174603174603,0.2505030181086519,0.31198952072738484,0.3544541396103896,0.16156462585034012,0.176177709689774,0.3204056581716156,0.3570090957731407,0.3622961104140527,0.3067116610423697,0.6989795918367346,0.3560090702947846,0.3652980877390326,0.29950738916256153,0.25,0.313212927756654,0.22354497354497355,0.023809523809523808,0.25197954470471795,0.42748917748917753,0.2811791383219955,0.34404761904761905,0.3630952380952381,0.38095238095238093,0.2254601226993865,0.2051616266944734,0.27119146413752226,0.4129586260733802,0.47766811642689866,0.2784043441938179,0.4339080459770115,0.32661564625850337
-3,0.4029048945483486,0.23211745580166632,0.4390394088669951,0.4263888888888889,0.29117063492063494,0.33255797308903523,0.3475765306122449,0.06280788177339901,0.15487012987012985,0.31072496263079225,0.298828125,0.37912673056443025,0.36916208791208793,0.6178571428571429,0.328397212543554,0.3434630921777451,0.28294707713593914,0.49107142857142855,0.2457432677212897,0.3158866995073892,0.012326169405815423,0.20042321644498187,0.4532674772036474,0.2681279469861093,0.3991228070175439,0.2806244653550043,0.5892857142857143,0.2928082191780822,0.19236453201970444,0.29936224489795915,0.40445665445665446,0.4787371134020619,0.2513440860215054,0.37622309197651665,0.37480901451489684
