cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.005763688760806916,0.003252914068853348,0.0029850746268656717,0.0037965072133637054,0.0020855057351407717,0.0020780420226275687,0.0015331544653123803,0.009009009009009009,0.0006150061500615006,0.0028524857375713123,0.0032751091703056767,0.0035092644581695676,0.0017953321364452424,0.0,0.00510204081632653,0.002844141069397042,0.0018948365703458077,0.0,0.0026859504132231405,0.0049504950495049506,0.0,0.00550696469063816,0.005484460694698354,0.005234079674323932,0.0065717415115005475,0.000968054211035818,0.0,0.0018365472910927456,0.0243161094224924,0.005471956224350205,0.0004510599909788002,0.0021204410517387615,0.0023094688221709007,0.0035587188612099642,0.0010995052226498076
-11,0.005065856129685917,0.0027147087857847976,0.006097560975609756,0.004225352112676056,0.0,0.0022271714922048997,0.0010504201680672268,0.0,0.004694835680751174,0.003178639542275906,0.0016038492381716118,0.0012901376146788992,0.0014910536779324055,0.0,0.00558659217877095,0.0035863717872086074,0.0015136226034308778,0.0,0.0027603513174404015,0.01,0.0,0.0035924232527759633,0.0,0.0041448516579406635,0.002277904328018223,0.0010578279266572638,0.0,0.004306632213608958,0.035256410256410256,0.0014150943396226414,0.002455795677799607,0.0013123359580052493,0.0,0.005870841487279843,0.0
-10,0.0005184033177812338,0.0009505703422053232,0.01056338028169014,0.002352941176470588,0.0022396416573348264,0.0018664752333094042,0.0016055045871559634,0.0,0.001937984496124031,0.0019400732916576848,0.000792393026941363,0.003127792672028597,0.0020855057351407717,0.0,0.0,0.006642512077294686,0.001936108422071636,0.0,0.0026817640047675805,0.0,0.021739130434782608,0.0033222591362126247,0.00375234521575985,0.002720751916893396,0.0,0.00037750094375235937,0.0,0.0018484288354898336,0.027700831024930747,0.0055,0.0023430178069353325,0.0021987686895338612,0.0,0.00546448087431694,0.0
-9,0.0026219192448872575,0.0017907393195190585,0.0,0.0031545741324921135,0.0011862396204033216,0.0022658610271903325,0.002152389151958674,0.009478672985781991,0.00804289544235925,0.001573387278040009,0.004893964110929853,0.0021419828641370867,0.0011086474501108647,0.0,0.0,0.0030321406913280777,0.0019193857965451055,0.0,0.0019880715705765406,0.0,0.0,0.002288329519450801,0.005780346820809248,0.004197530864197531,0.0013003901170351106,0.0010398613518197574,0.0,0.005597014925373134,0.023333333333333334,0.002535496957403651,0.0024437927663734115,0.004158964879852125,0.0014044943820224719,0.00530035335689046,0.002151694459386767
-8,0.0010869565217391304,0.001638001638001638,0.0032258064516129032,0.0025684931506849314,0.0024783147459727386,0.0016830294530154279,0.002384358607534573,0.0,0.0036363636363636364,0.002459419576979833,0.0,0.0031624500665778962,0.0006067961165048543,0.0,0.0,0.0,0.0015060240963855422,0.0,0.0031857279388340237,0.0,0.0,0.005,0.0,0.0038240917782026767,0.0054869684499314125,0.0003676470588235294,0.0,0.004646840148698885,0.028169014084507043,0.001718213058419244,0.002631578947368421,0.0031233732431025507,0.0,0.0020920502092050207,0.0031308703819661866
-7,0.0019218449711723255,0.0014013452914798206,0.009836065573770493,0.005628517823639775,0.0,0.0024944567627494456,0.0012294074256208507,0.0,0.0008539709649871904,0.0033316248077908763,0.001869158878504673,0.003642384105960265,0.0011940298507462687,0.0,0.0,0.002526847757422615,0.0015873015873015873,0.0,0.002982107355864811,0.0,0.0,0.004092769440654843,0.0017730496453900709,0.0016220600162206002,0.003076923076923077,0.0018443378827001106,0.0,0.004008016032064128,0.024263431542461005,0.0064759848893685915,0.004201680672268907,0.0010678056593699946,0.0,0.0020408163265306124,0.0036079374624173183
-6,0.002304147465437788,0.0010758472296933835,0.0,0.002540220152413209,0.002014098690835851,0.003143893591293833,0.0031854379977246873,0.00904977375565611,0.0016542597187758478,0.0038910505836575876,0.003924646781789639,0.0021708792060784617,0.0005422993492407809,0.0,0.0,0.012352941176470587,0.0015282730514518594,0.0,0.002717391304347826,0.0,0.0,0.004161331626120359,0.002805049088359046,0.003188097768331562,0.00554016620498615,0.0007089684509039348,0.0,0.0074142724745134385,0.01529051987767584,0.004843918191603875,0.0013186813186813187,0.0036363636363636364,0.0013831258644536654,0.004106776180698152,0.00145985401459854
-5,0.001658374792703151,0.0015286624203821656,0.0,0.006200177147918512,0.0021645021645021645,0.002204801567858893,0.002449343130705856,0.004975124378109453,0.0074850299401197605,0.0015819209039548022,0.0007739938080495357,0.002019619157530294,0.0005157297576070139,0.0,0.0,0.006232294617563739,0.0044444444444444444,0.0,0.002607561929595828,0.0,0.0,0.0037761757638173706,0.0057553956834532375,0.0017196904557179708,0.00261437908496732,0.001467351430667645,0.0,0.0027522935779816515,0.026101141924959218,0.002810304449648712,0.0029374737725556023,0.0008669267446900737,0.002717391304347826,0.0051813471502590676,0.0011013215859030838
-4,0.002099370188943317,0.0020844189682126106,0.0,0.007220216606498195,0.0034802784222737818,0.0029006526468455403,0.002464709836432893,0.0,0.0022156573116691287,0.003024662633783155,0.0030464584920030465,0.0030351206821795057,0.0016685205784204673,0.0,0.0,0.0033333333333333335,0.002300966405890474,0.0,0.003538570417551309,0.0,0.005119453924914676,0.0032258064516129032,0.01023391812865497,0.0027967681789931634,0.0,0.0008316008316008316,0.0,0.0016652789342214821,0.026771653543307086,0.004986400725294651,0.0033655868742111907,0.0027397260273972603,0.001326259946949602,0.0018867924528301887,0.0016565433462175593
-3,0.004793863854266539,0.0,0.0031446540880503146,0.003089598352214212,0.0010845986984815619,0.0018717828731867104,0.0007109004739336493,0.0,0.002890173410404624,0.003027681660899654,0.004484304932735426,0.002438324727481354,0.0020232675771370764,0.0,0.0,0.00556398583712696,0.0013181019332161687,0.0,0.004314772960756112,0.011627906976744186,0.0032310177705977385,0.004372687521022536,0.0029585798816568047,0.0039608574091332715,0.004026845637583893,0.0017289073305670815,0.0,0.004420866489832007,0.026200873362445413,0.0021141649048625794,0.005235602094240838,0.002770083102493075,0.0013089005235602095,0.0,0.0018148820326678765
