cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0005749329244921426,0.0,0.0006150061500615006,0.0014262428687856561,0.0,0.0008422234699606962,0.0004488330341113106,0.0,0.0,0.0005688282138794084,0.0014211274277593558,0.0,0.002892561983471074,0.0,0.0,0.0006478781988986071,0.0,0.0002907822041291073,0.0,0.002904162633107454,0.011904761904761904,0.0009182736455463728,0.004559270516717325,0.0031919744642042863,0.0013531799729364006,0.0008481764206955047,0.0023094688221709007,0.0017793594306049821,0.0005497526113249038
-11,0.0,0.00024679170779861795,0.0,0.0,0.0,0.00024746349913387774,0.0002100840336134454,0.0,0.000782472613458529,0.000847637211273575,0.0,0.0012901376146788992,0.0,0.0,0.0,0.0035863717872086074,0.0005045408678102926,0.0,0.002509410288582183,0.0,0.0,0.0,0.0,0.0004363001745200698,0.002277904328018223,0.003526093088857546,0.0,0.0,0.004807692307692308,0.0023584905660377358,0.0014734774066797642,0.0026246719160104987,0.0,0.009784735812133072,0.0
-10,0.0,0.0,0.0035211267605633804,0.0,0.0011198208286674132,0.0002871500358937545,0.00022935779816513763,0.0045871559633027525,0.003875968992248062,0.0012933821944384565,0.0,0.0014894250819183796,0.0,0.0,0.008771929824561403,0.0030193236714975845,0.0,0.0,0.0026817640047675805,0.0,0.0,0.0,0.0,0.0002473410833539451,0.0,0.0011325028312570782,0.0,0.0009242144177449168,0.00554016620498615,0.001,0.00046860356138706655,0.001759014951627089,0.0,0.0018214936247723133,0.0009789525208027412
-9,0.0,0.0,0.0,0.0,0.0011862396204033216,0.0007552870090634441,0.00021523891519586742,0.0,0.0,0.001573387278040009,0.0008156606851549756,0.0012239902080783353,0.0005543237250554324,0.0,0.014184397163120567,0.002425712553062462,0.0,0.0,0.0025560920193126954,0.0,0.0,0.0,0.0,0.0004938271604938272,0.0013003901170351106,0.0027729636048526864,0.0,0.0,0.005,0.002028397565922921,0.0009775171065493646,0.0004621072088724584,0.0014044943820224719,0.0035335689045936395,0.0010758472296933835
-8,0.0,0.000273000273000273,0.0032258064516129032,0.0008561643835616438,0.0024783147459727386,0.0,0.0,0.0,0.0,0.0012297097884899164,0.0,0.0008322237017310253,0.0,0.0,0.0,0.0,0.001004016064257028,0.0,0.001911436763300414,0.0,0.0,0.0003846153846153846,0.0,0.0005462988254575252,0.0027434842249657062,0.0029411764705882353,0.0,0.0009293680297397769,0.004694835680751174,0.001145475372279496,0.0010526315789473684,0.0,0.0,0.0020920502092050207,0.0
-7,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.00024588148512417015,0.006802721088435374,0.0008539709649871904,0.0010251153254741158,0.0,0.0011589403973509935,0.0,0.0,0.0,0.0006317119393556538,0.0010582010582010583,0.0,0.0013253810470510272,0.0,0.0,0.0006821282401091405,0.0,0.0,0.0,0.0033198081888601992,0.0,0.0,0.008665511265164644,0.0010793308148947653,0.0,0.0037373198077949813,0.0,0.0020408163265306124,0.0012026458208057728
-6,0.0,0.0,0.0,0.000846740050804403,0.0,0.0004836759371221282,0.0,0.0,0.0008271298593879239,0.0016021972991531242,0.0015698587127158557,0.0012405024034734067,0.0,0.0,0.0,0.001176470588235294,0.0005094243504839531,0.0,0.0016304347826086956,0.0,0.0,0.0003201024327784891,0.0,0.0010626992561105207,0.0,0.002835873803615739,0.0,0.0,0.0030581039755351682,0.0032292787944025836,0.0008791208791208791,0.0013636363636363637,0.0013831258644536654,0.002053388090349076,0.00072992700729927
-5,0.0,0.0,0.0,0.0008857395925597874,0.0010822510822510823,0.0002449779519843214,0.00044533511467379205,0.0,0.0,0.0013559322033898306,0.0,0.0018753606462781304,0.0,0.0,0.0,0.0011331444759206798,0.0008888888888888889,0.0,0.0015645371577574967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009174311926605505,0.004893964110929853,0.000936768149882904,0.000839278220730172,0.0,0.0,0.0034542314335060447,0.0005506607929515419
-4,0.0,0.0,0.0,0.0,0.001160092807424594,0.0,0.00044812906116961686,0.0,0.0007385524372230429,0.0018613308515588647,0.0,0.001734354675531146,0.0005561735261401557,0.0,0.0,0.0011111111111111111,0.0009203865623561896,0.0,0.0021231422505307855,0.0,0.0,0.0006451612903225806,0.0,0.00031075201988812925,0.0,0.0,0.0,0.0008326394671107411,0.004724409448818898,0.001813236627379873,0.0016827934371055953,0.00045662100456621003,0.001326259946949602,0.007547169811320755,0.0
-3,0.0,0.0,0.006289308176100629,0.0,0.0,0.0002339728591483388,0.0007109004739336493,0.0,0.002167630057803468,0.0021626297577854673,0.0007473841554559044,0.001004016064257028,0.0,0.0,0.0,0.0,0.0008787346221441124,0.0,0.0014382576535853708,0.0,0.0,0.0006727211570803902,0.004437869822485207,0.0009319664492078285,0.0013422818791946308,0.0,0.0,0.0,0.008733624454148471,0.00042283298097251583,0.0008726003490401396,0.0,0.0013089005235602095,0.007462686567164179,0.0006049606775559589
