cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.03602305475504323,0.02683654106804012,0.06865671641791045,0.0683371298405467,0.06047966631908238,0.055414453936735164,0.0346876197776926,0.02702702702702703,0.1039360393603936,0.08475957620211899,0.05458515283842795,0.03537338573834924,0.057899461400359065,0.05263157894736842,0.07142857142857142,0.08816837315130831,0.03694931312174325,0.0,0.07148760330578513,0.054455445544554455,0.02631578947368421,0.08940719144800778,0.0603290676416819,0.07066007560337308,0.04819277108433735,0.12423362374959665,0.023809523809523808,0.030303030303030304,0.12006079027355623,0.04331965344277246,0.04510599909788002,0.05937234944868533,0.08545034642032333,0.0498220640569395,0.034084661902144035
-11,0.03343465045592705,0.0315893385982231,0.04878048780487805,0.057746478873239436,0.05161290322580645,0.0633506557782727,0.03172268907563025,0.06167400881057269,0.12441314553990611,0.08391608391608392,0.04731355252606255,0.03153669724770642,0.053180914512922464,0.0625,0.05027932960893855,0.07650926479378362,0.03834510595358224,0.0,0.07553324968632372,0.07,0.0,0.09470934030045722,0.09636363636363636,0.0824607329842932,0.04669703872437358,0.13011283497884343,0.0,0.024978466838931956,0.1266025641025641,0.04150943396226415,0.05157170923379175,0.04505686789151356,0.07125890736342043,0.06457925636007827,0.04721030042918455
-10,0.03732503888024884,0.027566539923954372,0.056338028169014086,0.05411764705882353,0.06270996640537514,0.03460157932519742,0.026376146788990827,0.03211009174311927,0.10852713178294573,0.08277646044406121,0.05229793977812995,0.031724754244861486,0.05787278415015641,0.17142857142857143,0.05263157894736842,0.08635265700483091,0.04017424975798645,0.0,0.0867103694874851,0.0457516339869281,0.0,0.09169435215946845,0.05628517823639775,0.08261192184021766,0.060240963855421686,0.11966779916949792,0.0,0.030499075785582256,0.0817174515235457,0.0475,0.037019681349578254,0.044415127528583995,0.08554913294797688,0.058287795992714025,0.047968673519334315
-9,0.040377556371263765,0.02686108979278588,0.0812720848056537,0.07176656151419558,0.06168446026097272,0.05412890231621349,0.029487731381833835,0.02843601895734597,0.11081322609472744,0.09687570240503483,0.049755301794453505,0.034730722154222765,0.05931263858093126,0.10526315789473684,0.0851063829787234,0.07640994542146756,0.05422264875239923,0.0,0.08378301618858279,0.06857142857142857,0.03636363636363636,0.08434128800261523,0.06358381502890173,0.08493827160493828,0.04291287386215865,0.13310225303292894,0.022988505747126436,0.026119402985074626,0.12,0.0486815415821501,0.04887585532746823,0.05730129390018484,0.07724719101123595,0.05830388692579505,0.05002689618074233
-8,0.03315217391304348,0.02620802620802621,0.08064516129032258,0.04708904109589041,0.06319702602230483,0.06255259467040673,0.027896995708154508,0.04371584699453552,0.1009090909090909,0.09444171175602557,0.04130808950086059,0.03478695073235686,0.05279126213592233,0.08108108108108109,0.04032258064516129,0.06941838649155722,0.04467871485943775,0.041666666666666664,0.081554635234151,0.05555555555555555,0.05660377358490566,0.08923076923076922,0.08498023715415019,0.07129199672220704,0.039780521262002745,0.13014705882352942,0.028985507246376812,0.032527881040892194,0.11424100156494522,0.045819014891179836,0.05368421052631579,0.05778240499739719,0.09655172413793103,0.056485355648535567,0.046336881653099564
-7,0.025624599615631006,0.028307174887892375,0.06229508196721312,0.06378986866791744,0.07021791767554479,0.054046563192904656,0.029505778214900417,0.047619047619047616,0.13236549957301452,0.08200922603792926,0.04392523364485981,0.035927152317880795,0.05970149253731343,0.027777777777777776,0.06201550387596899,0.07201516108654453,0.05185185185185185,0.0,0.08614976805831677,0.054455445544554455,0.022222222222222223,0.09106412005457026,0.07624113475177305,0.08596918085969181,0.052307692307692305,0.1350055330136481,0.014492753623188406,0.031062124248496994,0.11091854419410745,0.03453858607663249,0.05619747899159664,0.05766150560597971,0.07286821705426356,0.05918367346938776,0.05171377029464823
-6,0.04032258064516129,0.024475524475524476,0.05,0.05080440304826418,0.07250755287009064,0.049334945586457075,0.030034129692832763,0.04072398190045249,0.11910669975186104,0.08720531013962005,0.03139717425431711,0.032097999689874396,0.06995661605206074,0.06666666666666667,0.06666666666666667,0.08941176470588236,0.05705552725420275,0.0,0.09375,0.05583756345177665,0.029411764705882353,0.0880281690140845,0.07994389901823282,0.08395324123273114,0.05955678670360111,0.1336405529953917,0.02857142857142857,0.03614457831325301,0.1162079510703364,0.04090419806243272,0.053626373626373625,0.057727272727272724,0.07330567081604426,0.045174537987679675,0.043065693430656936
-5,0.032061912658927584,0.026496815286624203,0.0480225988700565,0.06288751107174491,0.05519480519480519,0.047280744732974035,0.03184146069917613,0.024875621890547265,0.11077844311377245,0.09265536723163842,0.033281733746130034,0.034333525678015,0.0665291387313048,0.12121212121212122,0.1039426523297491,0.09235127478753541,0.06266666666666666,0.0,0.07718383311603651,0.046875,0.06361323155216285,0.09200137315482321,0.09064748201438849,0.08340498710232158,0.0457516339869281,0.1210564930300807,0.03409090909090909,0.03486238532110092,0.1402936378466558,0.035597189695550355,0.07007973143096936,0.05158214130905939,0.08559782608695653,0.0535405872193437,0.051211453744493395
-4,0.03778866340097971,0.02344971339239187,0.07911392405063292,0.05776173285198556,0.06148491879350348,0.048344210780759005,0.0345059377100605,0.043689320388349516,0.09896602658788774,0.10027919962773384,0.05255140898705255,0.03728862552391964,0.07174638487208009,0.08888888888888889,0.06938775510204082,0.07888888888888888,0.051081454210768526,0.0,0.07973578674215617,0.09216589861751152,0.06484641638225255,0.09129032258064516,0.06432748538011696,0.08359229334990677,0.04183535762483131,0.1338877338877339,0.012987012987012988,0.028309741881765195,0.11811023622047244,0.03943789664551224,0.05931846865797223,0.055251141552511415,0.08090185676392574,0.052830188679245285,0.041965764770844835
-3,0.03355704697986577,0.0293713972001098,0.050314465408805034,0.061791967044284246,0.052060737527114966,0.0542817033224146,0.03364928909952607,0.03317535545023697,0.11921965317919075,0.09515570934256055,0.05455904334828102,0.039873780837636257,0.06929691451694486,0.07692307692307693,0.0711743772241993,0.06272129489124936,0.056678383128295255,0.0,0.08280254777070063,0.0755813953488372,0.05654281098546042,0.07971745711402624,0.07692307692307693,0.08224603914259086,0.053691275167785234,0.13243430152143845,0.031914893617021274,0.03713527851458886,0.10771470160116449,0.034249471458773786,0.05017452006980803,0.060941828254847646,0.08507853403141362,0.04477611940298507,0.039927404718693285
