cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.0,0.0,0.1111111111111111,0.0603448275862069,0.1724137931034483,0.04830917874396135,0.07352941176470588,0.0,0.1,0.14066496163682865,0.058823529411764705,0.09202453987730061,0.03225806451612903,0.0,0.0,0.09333333333333334,0.048484848484848485,0.0,0.12,0.0,0.2,0.08762886597938144,0.2857142857142857,0.0873015873015873,0.04285714285714286,0.20689655172413793,0.07692307692307693,0.021739130434782608,0.23076923076923078,0.15151515151515152,0.05228758169934641,0.15172413793103448,0.2,0.06976744186046512,0.02702702702702703
-11,0.0,0.0,0.09090909090909091,0.05154639175257732,0.15625,0.03977272727272727,0.04081632653061224,0.16666666666666666,0.11666666666666667,0.09268292682926829,0.037037037037037035,0.08163265306122448,0.046511627906976744,0.25,0.15384615384615385,0.12121212121212122,0.043478260869565216,0.0,0.11442786069651742,0.0,0.0,0.12871287128712872,0.2,0.05426356589147287,0.025,0.2047244094488189,0.0,0.05333333333333334,0.20689655172413793,0.1643835616438356,0.06086956521739131,0.14393939393939395,0.05,0.1694915254237288,0.0
-10,0.0,0.03333333333333333,0.16666666666666666,0.03260869565217391,0.18604651162790697,0.01639344262295082,0.02247191011235955,0.2916666666666667,0.1568627450980392,0.11232876712328767,0.14285714285714285,0.10126582278481013,0.0,0.0,0.09090909090909091,0.17105263157894737,0.03821656050955414,0.0,0.17293233082706766,0.0,0.0,0.07207207207207207,0.06666666666666667,0.055944055944055944,0.06451612903225806,0.16666666666666666,0.0,0.0,0.25,0.11428571428571428,0.05,0.11409395973154363,0.0975609756097561,0.20833333333333334,0.05172413793103448
-9,0.0,0.015873015873015872,0.0,0.021739130434782608,0.05405405405405406,0.07692307692307693,0.042328042328042326,0.09523809523809523,0.0851063829787234,0.09809264305177112,0.13043478260869565,0.045307443365695796,0.037037037037037035,0.0,0.16666666666666666,0.11392405063291139,0.05521472392638037,0.0,0.1111111111111111,0.0,0.0,0.1,0.07692307692307693,0.072,0.08108108108108109,0.13333333333333333,0.0,0.03125,0.35714285714285715,0.1103448275862069,0.05,0.1,0.10256410256410256,0.1568627450980392,0.047619047619047616
-8,0.04081632653061224,0.014285714285714285,0.08,0.02666666666666667,0.21428571428571427,0.025,0.032407407407407406,0.21739130434782608,0.1509433962264151,0.13687150837988826,0.15384615384615385,0.09061488673139159,0.01694915254237288,0.0,0.2631578947368421,0.12,0.0410958904109589,0.0,0.18045112781954886,0.0,0.0,0.05527638190954774,0.15151515151515152,0.0967741935483871,0.08,0.1415929203539823,0.0,0.04838709677419355,0.25,0.112,0.04065040650406504,0.1188118811881188,0.08108108108108109,0.21428571428571427,0.038461538461538464
-7,0.020833333333333332,0.07692307692307693,0.12,0.029850746268656716,0.08571428571428572,0.05405405405405406,0.020202020202020204,0.2,0.06666666666666667,0.10461538461538461,0.034482758620689655,0.08163265306122448,0.0,0.0,0.07692307692307693,0.08450704225352113,0.036231884057971016,0.2,0.07142857142857142,0.0,0.0,0.06694560669456066,0.1875,0.11333333333333333,0.056338028169014086,0.19298245614035087,0.0,0.02702702702702703,0.3793103448275862,0.14953271028037382,0.07051282051282051,0.13953488372093023,0.05555555555555555,0.10526315789473684,0.06896551724137931
-6,0.05128205128205128,0.0,0.10714285714285714,0.08433734939759036,0.10526315789473684,0.04932735426008968,0.03211009174311927,0.22580645161290322,0.12121212121212122,0.10795454545454546,0.1282051282051282,0.0784313725490196,0.0,0.0,0.14285714285714285,0.11904761904761904,0.05555555555555555,0.0,0.08620689655172414,0.0,0.0,0.06589147286821706,0.045454545454545456,0.0851063829787234,0.05357142857142857,0.168,0.0,0.0,0.2727272727272727,0.1935483870967742,0.03592814371257485,0.16666666666666666,0.14285714285714285,0.06521739130434782,0.047619047619047616
-5,0.044444444444444446,0.039473684210526314,0.09090909090909091,0.014285714285714285,0.09302325581395349,0.04145077720207254,0.0213903743315508,0.2,0.1320754716981132,0.11405835543766578,0.1,0.10649350649350649,0.0,0.0,0.07142857142857142,0.08571428571428572,0.07692307692307693,0.0,0.1111111111111111,0.0,0.0,0.06751054852320675,0.09803921568627451,0.06504065040650407,0.06153846153846154,0.11458333333333333,0.0,0.05714285714285714,0.08695652173913043,0.12582781456953643,0.052941176470588235,0.12574850299401197,0.04878048780487805,0.10526315789473684,0.031578947368421054
-4,0.0,0.01,0.15384615384615385,0.078125,0.15151515151515152,0.05504587155963303,0.024630541871921183,0.16666666666666666,0.11842105263157894,0.10982658959537572,0.06451612903225806,0.06735751295336788,0.017857142857142856,0.0,0.0,0.125,0.019867549668874173,0.0,0.11229946524064172,0.0,0.0,0.0730593607305936,0.10526315789473684,0.136,0.05714285714285714,0.11650485436893204,0.0,0.0136986301369863,0.4166666666666667,0.1348314606741573,0.06707317073170732,0.10869565217391304,0.07272727272727272,0.2037037037037037,0.02962962962962963
-3,0.03773584905660377,0.04411764705882353,0.25,0.02631578947368421,0.030303030303030304,0.050505050505050504,0.03296703296703297,0.12,0.14666666666666667,0.08883248730964467,0.0,0.06233062330623306,0.03278688524590164,0.0,0.06666666666666667,0.12,0.017142857142857144,0.0,0.10752688172043011,0.0,0.0,0.07114624505928854,0.1702127659574468,0.1111111111111111,0.056338028169014086,0.10236220472440945,0.0,0.0,0.24242424242424243,0.07741935483870968,0.05806451612903226,0.11450381679389313,0.19047619047619047,0.07575757575757576,0.0707070707070707
-2,0.0,0.03225806451612903,0.25,0.10416666666666667,0.15789473684210525,0.056074766355140186,0.027649769585253458,0.30434782608695654,0.08771929824561403,0.12342569269521411,0.06666666666666667,0.11455108359133127,0.06349206349206349,0.0,0.1,0.171875,0.02631578947368421,0.0,0.09644670050761421,0.0,0.0,0.055944055944055944,0.21739130434782608,0.06299212598425197,0.015625,0.045871559633027525,0.0,0.06153846153846154,0.2,0.11299435028248588,0.08860759493670886,0.15384615384615385,0.06818181818181818,0.19230769230769232,0.04597701149425287
-1,0.0,0.0,0.2777777777777778,0.03636363636363636,0.14893617021276595,0.03902439024390244,0.05699481865284974,0.18518518518518517,0.038461538461538464,0.0962566844919786,0.02631578947368421,0.08547008547008547,0.0,0.0,0.2222222222222222,0.10666666666666667,0.046052631578947366,1.0,0.12234042553191489,0.0,0.0,0.05928853754940711,0.09090909090909091,0.1487603305785124,0.0,0.11764705882352941,0.16666666666666666,0.03333333333333333,0.2631578947368421,0.11920529801324503,0.0736196319018405,0.09523809523809523,0.022222222222222223,0.0945945945945946,0.04
0,0.017241379310344827,0.020833333333333332,0.23076923076923078,0.046875,0.023809523809523808,0.04424778761061947,0.021739130434782608,0.15384615384615385,0.11290322580645161,0.10067114093959731,0.041666666666666664,0.04421768707482993,0.013513513513513514,0.0,0.25,0.1346153846153846,0.04678362573099415,1.0,0.12735849056603774,0.0,0.0,0.0694980694980695,0.06666666666666667,0.10638297872340426,0.047619047619047616,0.16129032258064516,0.0,0.034482758620689655,0.4642857142857143,0.08284023668639054,0.06547619047619048,0.10852713178294573,0.03773584905660377,0.0847457627118644,0.06481481481481481
1,0.0,0.02564102564102564,0.16666666666666666,0.06521739130434782,0.07692307692307693,0.054187192118226604,0.021645021645021644,0.047619047619047616,0.016129032258064516,0.10526315789473684,0.07142857142857142,0.03880597014925373,0.0,0.0,0.0,0.1566265060240964,0.03398058252427184,0.0,0.15060240963855423,0.0,0.0,0.06538461538461539,0.175,0.07042253521126761,0.05084745762711865,0.10526315789473684,0.0,0.023255813953488372,0.4,0.061452513966480445,0.0440251572327044,0.058823529411764705,0.057692307692307696,0.11290322580645161,0.07462686567164178
2,0.0,0.10638297872340426,0.07142857142857142,0.18421052631578946,0.19047619047619047,0.013100436681222707,0.01327433628318584,0.09090909090909091,0.09090909090909091,0.10789473684210527,0.024390243902439025,0.09404388714733543,0.015625,0.0,0.15384615384615385,0.05952380952380952,0.017857142857142856,0.0,0.10714285714285714,0.0,0.0,0.0593607305936073,0.15555555555555556,0.0703125,0.07407407407407407,0.088,0.0,0.0,0.4444444444444444,0.07865168539325842,0.07272727272727272,0.12727272727272726,0.019230769230769232,0.023809523809523808,0.07092198581560284
3,0.03389830508474576,0.06451612903225806,0.25,0.17142857142857143,0.18181818181818182,0.037037037037037035,0.035,0.1,0.07142857142857142,0.08743169398907104,0.0,0.08206686930091185,0.018867924528301886,0.0,0.15384615384615385,0.13513513513513514,0.046875,0.0,0.08205128205128205,0.0,0.0,0.056338028169014086,0.15217391304347827,0.06451612903225806,0.07017543859649122,0.14545454545454545,0.0,0.0,0.29411764705882354,0.11643835616438356,0.08108108108108109,0.1103448275862069,0.09803921568627451,0.10204081632653061,0.052980132450331126
4,0.0,0.034482758620689655,0.2222222222222222,0.07692307692307693,0.0,0.05847953216374269,0.03910614525139665,0.0,0.14285714285714285,0.10828025477707007,0.0,0.06557377049180328,0.022727272727272728,0.0,0.0,0.09195402298850575,0.040268456375838924,0.0,0.10759493670886076,0.0,0.25,0.07239819004524888,0.10869565217391304,0.13385826771653545,0.015873015873015872,0.09016393442622951,0.0,0.06557377049180328,0.25925925925925924,0.09210526315789473,0.047058823529411764,0.12751677852348994,0.061224489795918366,0.125,0.06976744186046512
5,0.05084745762711865,0.020833333333333332,0.13043478260869565,0.06060606060606061,0.06666666666666667,0.03783783783783784,0.03398058252427184,0.125,0.11290322580645161,0.11180124223602485,0.06451612903225806,0.06227106227106227,0.027777777777777776,0.0,0.3333333333333333,0.043478260869565216,0.03205128205128205,0.0,0.09090909090909091,0.0,0.3333333333333333,0.08695652173913043,0.023255813953488372,0.0625,0.019230769230769232,0.10909090909090909,0.0,0.02127659574468085,0.35,0.07534246575342465,0.062111801242236024,0.10218978102189781,0.10416666666666667,0.15151515151515152,0.04032258064516129
6,0.017857142857142856,0.04081632653061224,0.16666666666666666,0.16666666666666666,0.07407407407407407,0.028901734104046242,0.02040816326530612,0.14285714285714285,0.1527777777777778,0.10410094637223975,0.07142857142857142,0.06164383561643835,0.038461538461538464,0.0,0.0,0.11594202898550725,0.031446540880503145,0.0,0.1390728476821192,0.0,0.0,0.10747663551401869,0.14705882352941177,0.09375,0.024390243902439025,0.11666666666666667,0.0,0.01639344262295082,0.3333333333333333,0.1322314049586777,0.030534351145038167,0.09174311926605505,0.1,0.18181818181818182,0.047619047619047616
7,0.0,0.09615384615384616,0.15384615384615385,0.0975609756097561,0.0967741935483871,0.0658682634730539,0.04838709677419355,0.3333333333333333,0.12280701754385964,0.09912536443148688,0.07407407407407407,0.04946996466431095,0.017543859649122806,0.0,0.15384615384615385,0.1320754716981132,0.03870967741935484,0.0,0.12234042553191489,0.0,0.0,0.07881773399014778,0.21428571428571427,0.07079646017699115,0.07692307692307693,0.13709677419354838,0.0,0.037037037037037035,0.3333333333333333,0.10236220472440945,0.07092198581560284,0.0851063829787234,0.043478260869565216,0.1590909090909091,0.07428571428571429
