cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.13125,0.06334841628959276,0.14772727272727273,0.23550724637681159,0.0918918918918919,0.18224852071005918,0.0803357314148681,0.0,0.15254237288135594,0.19952774498229045,0.1299638989169675,0.11553273427471117,0.14003944773175542,0.3333333333333333,0.08571428571428572,0.2457831325301205,0.11233480176211454,0.0,0.21608980355472404,0.17307692307692307,0.125,0.2901155327342747,0.17105263157894737,0.18823529411764706,0.16346153846153846,0.35244755244755244,0.1,0.13953488372093023,0.3305785123966942,0.1783132530120482,0.10317460317460317,0.1670886075949367,0.21138211382113822,0.06666666666666667,0.12093023255813953
-11,0.1443661971830986,0.07720588235294118,0.19318181818181818,0.1503957783641161,0.14375,0.18359375,0.06944444444444445,0.14285714285714285,0.17982456140350878,0.18888888888888888,0.14903846153846154,0.13657957244655583,0.14754098360655737,0.2,0.12903225806451613,0.22959183673469388,0.1340909090909091,0.0,0.23258306538049303,0.15789473684210525,0.125,0.2865013774104683,0.21052631578947367,0.18243243243243243,0.175,0.3086232980332829,0.13333333333333333,0.1780821917808219,0.33695652173913043,0.18072289156626506,0.11328976034858387,0.13142857142857142,0.2589928057553957,0.1527777777777778,0.07172995780590717
-10,0.12408759124087591,0.09056603773584905,0.13414634146341464,0.17337461300309598,0.11585365853658537,0.1007919366450684,0.07951070336391437,0.06666666666666667,0.2152777777777778,0.19195402298850575,0.1306532663316583,0.11447811447811448,0.16957605985037408,0.2,0.125,0.28272251308900526,0.10105263157894737,0.0,0.23943661971830985,0.08888888888888889,0.0,0.2845953002610966,0.20441988950276244,0.2040169133192389,0.1319796954314721,0.326984126984127,0.0,0.1277533039647577,0.2818181818181818,0.1675,0.0947136563876652,0.11581920903954802,0.2191780821917808,0.13636363636363635,0.08484848484848485
-9,0.12544802867383512,0.09830508474576272,0.21839080459770116,0.1529051987767584,0.14102564102564102,0.1487603305785124,0.053811659192825115,0.10526315789473684,0.18994413407821228,0.21666666666666667,0.10096153846153846,0.10478654592496765,0.16176470588235295,0.2222222222222222,0.11764705882352941,0.21108179419525067,0.11267605633802817,0.0,0.2277580071174377,0.11363636363636363,0.0,0.27892030848329047,0.19708029197080293,0.18238993710691823,0.14917127071823205,0.3496402877697842,0.0,0.08415841584158416,0.27722772277227725,0.16839378238341968,0.1050328227571116,0.17231638418079095,0.23255813953488372,0.10909090909090909,0.06172839506172839
-8,0.09652509652509653,0.09075342465753425,0.189873417721519,0.1941747572815534,0.0967741935483871,0.2037037037037037,0.07275541795665634,0.0,0.2471264367816092,0.21951219512195122,0.09392265193370165,0.12231182795698925,0.17191977077363896,0.5,0.0,0.28653295128939826,0.105,0.0,0.19764397905759162,0.17647058823529413,0.2857142857142857,0.28637770897832815,0.2088607594936709,0.21428571428571427,0.1388888888888889,0.32968536251709984,0.125,0.13675213675213677,0.3333333333333333,0.15469613259668508,0.10752688172043011,0.15976331360946747,0.25,0.14,0.08247422680412371
-7,0.13580246913580246,0.09796672828096119,0.21212121212121213,0.19272727272727272,0.09210526315789473,0.18452380952380953,0.0637037037037037,0.125,0.23783783783783785,0.20229555236728838,0.08771929824561403,0.0975609756097561,0.13953488372093023,0.0,0.29411764705882354,0.22012578616352202,0.11396011396011396,0.0,0.20136054421768707,0.14,0.3333333333333333,0.26912181303116145,0.23076923076923078,0.21867881548974943,0.17692307692307693,0.3296875,0.0,0.10550458715596331,0.38235294117647056,0.16621253405994552,0.12990196078431374,0.13924050632911392,0.3157894736842105,0.20754716981132076,0.09067357512953368
-6,0.12653061224489795,0.07956600361663653,0.2222222222222222,0.21359223300970873,0.13793103448275862,0.17056396148555708,0.0688622754491018,0.14814814814814814,0.20952380952380953,0.2233902759526938,0.07960199004975124,0.10723192019950124,0.16359447004608296,0.0,0.047619047619047616,0.27472527472527475,0.13849765258215962,0.0,0.2330508474576271,0.14545454545454545,0.25,0.26854219948849106,0.21962616822429906,0.20828789531079608,0.15816326530612246,0.3413597733711048,0.14285714285714285,0.16055045871559634,0.3473684210526316,0.13740458015267176,0.0944558521560575,0.15269461077844312,0.31210191082802546,0.07547169811320754,0.09939759036144578
-5,0.07739938080495357,0.08644067796610169,0.25,0.18950437317784258,0.13186813186813187,0.15465268676277852,0.07890961262553801,0.2,0.24537037037037038,0.1950261780104712,0.06,0.09445100354191263,0.15670103092783505,0.0,0.34782608695652173,0.25842696629213485,0.11581291759465479,0.0,0.23008849557522124,0.171875,0.2191780821917808,0.27529761904761907,0.21359223300970873,0.20625724217844726,0.12631578947368421,0.35674157303370785,0.125,0.10666666666666667,0.32231404958677684,0.13506493506493505,0.1297071129707113,0.13966480446927373,0.2857142857142857,0.12280701754385964,0.1070559610705596
-4,0.08863636363636364,0.1070811744386874,0.21176470588235294,0.17981072555205047,0.1130952380952381,0.15501905972045743,0.07384615384615385,0.14285714285714285,0.2374429223744292,0.2225392296718973,0.12077294685990338,0.12438423645320197,0.19718309859154928,0.0,0.2727272727272727,0.3204819277108434,0.12184873949579832,0.0,0.20941402497598463,0.17391304347826086,0.3225806451612903,0.2655440414507772,0.21,0.21509433962264152,0.18285714285714286,0.3125,0.15384615384615385,0.09691629955947137,0.39285714285714285,0.12894736842105264,0.13846153846153847,0.08598726114649681,0.2670157068062827,0.10909090909090909,0.09866666666666667
-3,0.1111111111111111,0.09854014598540146,0.24285714285714285,0.2029520295202952,0.13227513227513227,0.1422976501305483,0.07188498402555911,0.09090909090909091,0.24623115577889448,0.20801033591731266,0.13740458015267176,0.11913357400722022,0.17555555555555555,1.0,0.18867924528301888,0.233983286908078,0.15436241610738255,0.0,0.22715173025732033,0.14583333333333334,0.19767441860465115,0.28898426323319026,0.22279792746113988,0.22389558232931728,0.15819209039548024,0.3522727272727273,0.0,0.11574074074074074,0.41228070175438597,0.125,0.14395393474088292,0.14465408805031446,0.22485207100591717,0.109375,0.11345646437994723
-2,0.10133333333333333,0.0998003992015968,0.14102564102564102,0.21660649819494585,0.1695906432748538,0.18490566037735848,0.0703125,0.09090909090909091,0.26635514018691586,0.19975186104218362,0.13584905660377358,0.11446540880503145,0.17721518987341772,0.25,0.14705882352941177,0.25203252032520324,0.09592326139088729,0.0,0.21422300263388938,0.1694915254237288,0.2375,0.27044025157232704,0.23333333333333334,0.19796380090497737,0.14705882352941177,0.37142857142857144,0.07692307692307693,0.11206896551724138,0.4351145038167939,0.1291866028708134,0.13295880149812733,0.08950617283950617,0.23125,0.09803921568627451,0.11320754716981132
-1,0.12874251497005987,0.10082644628099173,0.14942528735632185,0.2048611111111111,0.05806451612903226,0.17423312883435582,0.07094594594594594,0.21052631578947367,0.23618090452261306,0.21610169491525424,0.13011152416356878,0.10330578512396695,0.19727891156462585,0.2222222222222222,0.33962264150943394,0.2386058981233244,0.11298076923076923,0.0,0.25139664804469275,0.14457831325301204,0.26136363636363635,0.24795640326975477,0.185,0.21842650103519667,0.14285714285714285,0.37945205479452054,0.0,0.1323529411764706,0.3557692307692308,0.1111111111111111,0.1941747572815534,0.1174785100286533,0.2620320855614973,0.07017543859649122,0.10084033613445378
0,0.18446601941747573,0.0847457627118644,0.1791044776119403,0.22568093385214008,0.13291139240506328,0.16288951841359772,0.06153846153846154,0.17857142857142858,0.2545454545454545,0.21438263229308005,0.12142857142857143,0.10113960113960115,0.18930041152263374,0.0,0.2608695652173913,0.25157232704402516,0.11315789473684211,0.0,0.22966507177033493,0.11666666666666667,0.2222222222222222,0.26019690576652604,0.235,0.22882288228822883,0.15384615384615385,0.3617021276595745,0.0,0.1301775147928994,0.35772357723577236,0.11496746203904555,0.19507186858316222,0.0960960960960961,0.20212765957446807,0.15873015873015872,0.128
1,0.11349693251533742,0.12382739212007504,0.09523809523809523,0.22142857142857142,0.11594202898550725,0.16142857142857142,0.07264296754250386,0.05263157894736842,0.2445414847161572,0.19642857142857142,0.11643835616438356,0.08571428571428572,0.16210526315789472,0.0,0.28,0.2526041666666667,0.10121457489878542,0.0,0.2230902777777778,0.11290322580645161,0.22826086956521738,0.25308641975308643,0.17061611374407584,0.20497512437810944,0.11724137931034483,0.3719512195121951,0.0,0.2073170731707317,0.2537313432835821,0.11694510739856802,0.1390593047034765,0.11864406779661017,0.27319587628865977,0.11864406779661017,0.1103448275862069
2,0.12337662337662338,0.1141732283464567,0.2,0.23046875,0.09696969696969697,0.1430678466076696,0.07394366197183098,0.25,0.2403846153846154,0.1879382889200561,0.11437908496732026,0.1,0.12127236580516898,0.0,0.25,0.234375,0.08706467661691543,0.0,0.22003424657534246,0.22916666666666666,0.22857142857142856,0.2578875171467764,0.23333333333333334,0.219,0.11979166666666667,0.3867141162514828,0.07142857142857142,0.14018691588785046,0.36666666666666664,0.13747228381374724,0.11516314779270634,0.1268882175226586,0.32275132275132273,0.15492957746478872,0.10970464135021098
3,0.08813559322033898,0.08383233532934131,0.1780821917808219,0.20599250936329588,0.11643835616438356,0.15171288743882544,0.0824561403508772,0.0,0.2914572864321608,0.23008849557522124,0.09859154929577464,0.1057542768273717,0.1747787610619469,0.0,0.2698412698412698,0.2298507462686567,0.14207650273224043,0.0,0.21700879765395895,0.1875,0.3023255813953488,0.274294670846395,0.14361702127659576,0.2025183630640084,0.15384615384615385,0.42191435768261965,0.0,0.10112359550561797,0.3925233644859813,0.11607142857142858,0.10509554140127389,0.140625,0.32275132275132273,0.08333333333333333,0.13894736842105262
4,0.12786885245901639,0.08744394618834081,0.2597402597402597,0.23247232472324722,0.15833333333333333,0.13793103448275862,0.051001821493624776,0.21052631578947367,0.24752475247524752,0.20592193808882908,0.13389121338912133,0.1111111111111111,0.14657210401891252,0.0,0.2708333333333333,0.20680628272251309,0.13402061855670103,0.0,0.23782234957020057,0.0851063829787234,0.1746031746031746,0.27843803056027167,0.2094240837696335,0.2291904218928164,0.19883040935672514,0.40212264150943394,0.0,0.11242603550295859,0.43859649122807015,0.09579439252336448,0.15354330708661418,0.1180327868852459,0.25806451612903225,0.15254237288135594,0.13195876288659794
5,0.0821917808219178,0.09866666666666667,0.1794871794871795,0.24812030075187969,0.08974358974358974,0.1511627906976744,0.054844606946983544,0.23529411764705882,0.27358490566037735,0.2259083728278041,0.07392996108949416,0.09251101321585903,0.18351063829787234,0.0,0.3269230769230769,0.275092936802974,0.10804020100502512,0.0,0.23604757548032937,0.20833333333333334,0.2823529411764706,0.23743500866551126,0.18994413407821228,0.2099644128113879,0.1171875,0.43160377358490565,0.0625,0.13513513513513514,0.26881720430107525,0.11375661375661375,0.1506849315068493,0.12177121771217712,0.24444444444444444,0.25,0.13902439024390245
6,0.137546468401487,0.09217877094972067,0.1927710843373494,0.22026431718061673,0.08527131782945736,0.17609046849757673,0.06276150627615062,0.3,0.2804232804232804,0.23300970873786409,0.1297071129707113,0.12454873646209386,0.1638418079096045,0.0,0.32653061224489793,0.24354243542435425,0.12112676056338029,0.0,0.2513144058885384,0.16666666666666666,0.2073170731707317,0.2564575645756458,0.23618090452261306,0.20555555555555555,0.19424460431654678,0.43333333333333335,0.0,0.13636363636363635,0.4230769230769231,0.12607449856733524,0.14824120603015076,0.15034965034965034,0.20634920634920634,0.1568627450980392,0.14054054054054055
7,0.14423076923076922,0.11286681715575621,0.13793103448275862,0.18725099601593626,0.08547008547008547,0.154434250764526,0.0603448275862069,0.15789473684210525,0.2801724137931034,0.23563218390804597,0.1145374449339207,0.11221590909090909,0.13043478260869565,0.0,0.2361111111111111,0.24853801169590642,0.13793103448275862,0.2,0.2513274336283186,0.21153846153846154,0.20512820512820512,0.2612312811980033,0.1971153846153846,0.21744627054361568,0.11904761904761904,0.38428417653390745,0.0,0.21176470588235294,0.39325842696629215,0.11733333333333333,0.15151515151515152,0.08605341246290801,0.335,0.14583333333333334,0.13819095477386933
