cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,38.36309844002152,37.303116147308785,36.35114503816794,37.249022164276404,37.225382932166305,37.54132328702614,36.19781718963165,36.77133105802048,37.206896551724135,36.50857381848599,36.38107752956636,36.882,36.68348250610252,37.310344827586206,,36.984848484848484,37.949186991869915,35.57213930348259,35.53125,37.04713178294573,36.81,38.84573002754821,35.55294117647059,36.34724292101341,37.67590027700831,36.04302925989673,37.33501683501684,36.828540423223004,36.55849056603773,37.27272727272727,34.51338199513382,37.680436477007014,36.024006001500375,36.613707165109034,37.08491142333537,37.15425531914894,36.95290858725762,35.84615384615385
-12,38.00566893424036,37.40854392298436,36.05277777777778,37.685202205882355,37.70105421686747,37.544391025641026,35.66370332740666,37.4400871459695,36.1335952848723,36.22630370613316,36.85158371040724,37.0822454308094,36.49521126760563,36.886792452830186,,35.71232876712329,38.19360269360269,35.488198757763975,37.067567567567565,37.036078965282506,33.45384615384615,37.75053304904051,36.61194029850746,36.12582014666152,36.47942386831276,36.86395348837209,37.8421052631579,37.172811059907836,36.986666666666665,37.26672384219554,33.886547811993516,38.20462232243518,35.29055386269941,36.624712202609366,37.01770956316411,36.95204262877442,36.443636363636365,37.30612244897959
-11,37.875280898876404,37.111705120990436,36.77472527472528,37.38608695652174,37.01863354037267,37.22950279881462,35.6086323957323,36.617511520737324,35.87456445993031,36.28002947678703,37.173598553345386,36.494858611825194,37.14554794520548,36.84507042253521,,34.614583333333336,38.09949409780776,35.21904761904762,35.01587301587302,37.44563758389262,34.36470588235294,37.868821292775664,36.41873804971319,36.267020335985855,37.13757700205339,35.40820980615735,38.03174603174603,37.54973173751548,36.29512893982808,36.65311418685121,34.25753012048193,38.18127962085308,35.33738120380148,36.69186875891583,36.81087202718007,36.28151260504202,35.96383363471971,39.44642857142857
-10,37.986486486486484,36.97753120665742,37.725641025641025,37.25405636208369,37.19903303787268,37.37384690079301,35.92780818347667,36.53947368421053,36.195035460992905,36.34120250829952,37.32569245463228,37.447513812154696,36.8117128463476,36.86440677966102,,38.009009009009006,37.3349358974359,35.12564901349948,39.648648648648646,37.28955555555556,34.608938547486034,37.91942148760331,36.116279069767444,35.7976483456385,36.81578947368421,37.0,37.50930996714129,37.067311737484225,35.99410029498525,36.685936151855046,35.49826989619377,37.580664652567975,35.66422152943334,37.04746044962531,36.29064919594997,36.98540145985402,36.987588652482266,37.74576271186441
-9,37.9588403722262,37.5557719054242,36.892761394101875,37.53906572964035,37.02472089314195,37.36336939721793,36.0412675018423,36.78102189781022,36.322638146167556,36.376666666666665,36.7219730941704,36.988286969253295,36.82342233009709,36.92,,36.216,37.35632183908046,35.2978021978022,36.21666666666667,37.225010725010726,36.20754716981132,38.65987780040733,36.459958932238195,36.03493207651788,37.62925851703407,35.772619047619045,37.941489361702125,37.10793357933579,36.810888252149,37.23390894819466,34.23723723723724,37.78029445073613,35.60700671628245,36.523668639053255,36.3765100671141,36.808411214953274,36.647469458987786,37.04761904761905
-8,38.39578947368421,37.17660475724992,37.07692307692308,37.29363548698168,37.06384892086331,37.280443475099965,35.94798657718121,36.763803680981596,36.32688588007737,36.48887973640856,36.73389355742297,37.29037520391517,36.34895104895105,37.1875,,35.76146788990825,37.53199268738574,35.478941034897716,36.38461538461539,37.210135970333745,35.168067226890756,38.49159663865546,35.57403189066059,35.9476472421315,37.33021077283372,36.21219512195122,37.824817518248175,37.03092783505155,35.958333333333336,37.21780104712042,34.79602888086642,38.43729694606888,35.8733164983165,36.28393005828476,37.464905037159376,37.97796143250689,36.403688524590166,37.945454545454545
-7,38.14785812989406,37.28002842928216,37.42970822281167,37.72743207712533,37.68409586056645,37.838978240302744,36.468192824125026,37.37119113573407,37.69432314410481,37.06897652882005,36.68677042801556,38.75707987112091,36.81072796934866,36.84444444444444,,36.34272300469483,37.94794520547945,36.4268336314848,37.191489361702125,37.2953922106418,34.8125,38.2,36.6,36.65468138127447,36.65495867768595,37.3774011299435,38.249283667621775,36.81547619047619,36.0859872611465,38.24192059095106,34.955963302752295,38.29375,36.38820190553416,37.357598978288635,38.01070409134158,38.092592592592595,37.96813725490196,35.611111111111114
-6,37.98342541436464,37.73526993696903,37.54830287206266,37.65305371596762,37.117559523809526,38.184193914909734,36.7615861618799,37.2326139088729,36.052083333333336,37.042719167904906,37.32814122533749,38.17475467132679,37.32426778242678,36.43010752688172,37.44827586206897,37.86864406779661,37.44467750393288,35.94951534733441,36.411764705882355,37.79593175853018,35.351724137931036,38.10526315789474,36.94695787831513,36.47500730780474,37.053054662379424,36.55566905005107,38.38405036726128,37.81602587136184,37.10471204188482,36.9339762611276,35.2972972972973,38.408038444735695,35.87599188042074,36.70046439628483,37.32541806020067,37.60633484162896,36.72050816696915,38.86440677966102
-5,38.07056043214045,37.69578231292517,37.369680851063826,38.332417582417584,37.480671043034285,37.98555401874904,36.32345849121598,36.79601990049751,36.1534749034749,36.90910777221295,37.09338521400778,38.492894843686564,37.012109920819746,37.26732673267327,39.61734693877551,37.61538461538461,37.01580611169652,36.010317787866285,38.71875,37.61019776030498,36.03846153846154,38.3705035971223,37.512903225806454,36.8717277486911,37.052830188679245,36.32663316582914,38.056291390728475,37.834621848739495,36.76056338028169,37.181551976573935,34.39874411302983,38.55249650023332,35.821872713972205,36.57287157287157,37.71315426997245,36.163716814159294,37.05458089668616,38.8
-4,38.49594927791476,37.25222893298821,37.4269340974212,37.64750542299349,37.44050632911392,38.18889210297946,36.09139000364831,36.78782608695652,36.651162790697676,37.10340843443097,37.55457025920873,38.621617832609,37.53360910031024,37.702127659574465,38.3125,37.096774193548384,37.71557054525014,36.31780940060371,36.49230769230769,37.83664021164021,36.28823529411765,37.78136882129277,37.51094890510949,36.97711217858152,36.82330827067669,36.89961759082218,38.49333333333333,37.6233153638814,36.822916666666664,36.93745346239762,34.83380681818182,37.99619047619048,35.84081715210356,37.257184966838615,37.33560152422428,37.06276150627615,37.880514705882355,37.026315789473685
